資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
113753,國史館臺灣文獻館108年度11月份會計月報,國史館臺灣文獻館,公共資訊,國史館臺灣文獻館108年度11月份會計月報資料,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2019/12/25 00:00,
113747,文資局口述傳統,文化部文化資產局,公共資訊,文化資產網之口述傳統資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypeCode;assetsTypeName;computeType;computeOther;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;historyDevelopment;holdCalendarType;holdPeriod;hostUnitName;hostContactorName ;hostContactorPhone ;hostContactorAddress ;ceremonyFeature,每10年,政府資料開放授權條款-第1版,,2019/12/25 00:00,
113750,文資局傳統知識與實踐,文化部文化資產局,公共資訊,國家文化資產網之傳統知識與實踐資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypeCode;assetsTypeName;computeType;computeOther;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;historyDevelopment;holdCalendarType;holdPeriod;hostUnitName;hostContactorName ;hostContactorPhone ;hostContactorAddress ;ceremonyFeature,每10年,政府資料開放授權條款-第1版,,2019/12/25 00:00,
113762,107年度新竹市稅務局全功能服務櫃臺績效統計表,新竹市政府,公共資訊,提供107年度新竹市稅務局全功能服務櫃臺績效統計表,單位;全局;就地小計;跨機關小計;合計,每日,政府資料開放授權條款-第1版,,2019/12/25 00:00,提供107年度新竹市稅務局全功能服務櫃臺績效統計表
113748,金融聯合徵信中心購置住宅貸款統計分析表-性別(流量),金融監督管理委員會銀行局,公共資訊,購置住宅貸款統計分析表-性別(流量)(金融聯合徵信中心),期別;性別;樣本數;平均授信餘額[千元];平均授信額度[千元];平均鑑估值[千元];平均核貸成數[%];平均貸款利率[%];平均建物面積[平方公尺],每季,政府資料開放授權條款-第1版,,2019/12/25 00:00,
113749,金融聯合徵信中心購置住宅貸款統計分析表-性別(存量),金融監督管理委員會銀行局,公共資訊,購置住宅貸款統計分析表-性別(存量)(金融聯合徵信中心),期別;性別;樣本數;平均授信餘額[千元];平均授信額度[千元];平均鑑估值[千元];平均核貸成數[%];平均貸款利率[%];平均建物面積[平方公尺],每年,政府資料開放授權條款-第1版,,2019/12/25 00:00,
