資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
108612,水資源作業基金預算案,經濟部水利署,公共資訊,本資料集經濟部水利署「水資源作業基金預算案」(WaterResourcesOperationFund) 為加強水資源、溫泉之管理及永續利用，特依水利法第八十九條之一規定，設置水資源作業基金。基於透明課責將預決算與財政收支公布，其資料內容包括：「收支預計表及說明、現金流量預計表及補充說明、預計平衡表、餘絀撥補預計表」。主要欄位說明有收支預計表及說明、現金流量預計表、餘絀撥補預計表等。本資料集由經濟部水利署主計室持續更新中。料類型屬於Word、PDF、PNG、JPG等電腦無法解析之檔案類型。格式標準分類為/社會經濟/水經濟/水資源投資，採每年更新一次之方式辦理。,收支預計表及說明;現金流量預計表;餘絀撥補預計表,每年,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=167,2019/10/03 11:15,
107798,行政院原子能委員會核能研究所單位預算法定預算,行政院原子能委員會核能研究所,公共資訊,行政院原子能委員會核能研究所單位預算法定預算XML:歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、轉帳收支對照表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-開會等,核能研究所;,每年,政府資料開放授權條款-第1版,,2019/10/05 00:00,
108608,109年度行政院農業委員會臺南區農業改良場單位預算,行政院農業委員會,公共資訊,109年度行政院農業委員會臺南區農業改良場單位預算下載網址,檔案名稱;下載連結,不更新,政府資料開放授權條款-第1版,https://www.tndais.gov.tw/ws.php?id=2652,2019/10/03 00:00,
