資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
96223,臺灣新竹地方法院107年11月會計月報,臺灣新竹地方法院,公共資訊,歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表、資本資產表、資本資產變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2018/12/12 00:00,2018/12/12 18:16,
96233,臺灣宜蘭地方法院107年度11月份會計月報,臺灣宜蘭地方法院,公共資訊,會計月報10張： 平衡表、歲入累計表、經費累計表、以前年度歲入轉入數累計表、資本資產表、資本資產變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表。,,每月,政府資料開放授權條款-第1版,http://ild.judicial.gov.tw/?struID=2&navID=157&contentID=872,2018/12/13 00:00,2018/12/13 11:08,
96243,臺灣桃園地方法院107年11月份會計報告,臺灣桃園地方法院,公共資訊,臺灣桃園地方法院107年11月份會計報告,,不更新,政府資料開放授權條款-第1版,,2018/12/13 00:00,2018/12/13 16:13,
96234,106年度各級檢察署及其檢察分署團體績效評比結果情形表,法務部檢察司,公共資訊,106年度各級檢察署及其檢察分署團體績效評比結果情形表,資料集名稱;資料集連結,不更新,政府資料開放授權條款-第1版,,2018/12/13 00:00,2018/12/13 17:47,
96236,法務部組織架構-檢察司簡介,法務部檢察司,公共資訊,法務部組織架構-檢察司簡介,組織架構圖;主管簡介;業務職掌,不更新,政府資料開放授權條款-第1版,,2018/12/13 00:00,2018/12/13 17:47,
95807,第六河川局常見問題,經濟部水利署,公共資訊,經濟部水利署第六河川局業務區域位於台灣西南部，北至台南市急水溪，南至高屏溪，涵蓋嘉義縣、台南市及高雄市為使民眾能瞭解本局轄管業務，以及使民眾向本局洽辦業務時能節省時間，避免錯誤的資訊造成不必要的資源浪費。本局針對民眾洽辦業務常出現之問題，例如河川公地種植許可使用申請、河川公地許可種植植物其種類及高度限制、水道治理計畫用地範圍圖、水權登記申請、防洪等等問題，予以整理提出說明，並歸納為申請案件、水文資料提供、防汛、河川排水管理等4個類型，以提供民眾能藉由本局全球資訊網所設置常見問題得到說明，解決民眾疑惑以提高行政效益。,avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每年,政府資料開放授權條款-第1版,https://www.wra06.gov.tw/;https://www.wra06.gov.tw/;https://www.wra06.gov.tw/,2018/11/20 13:46,2018/12/01 14:52,
95808,第七河川局最新消息,經濟部水利署,公共資訊,提供經濟部水利署第七河川局最新公告之訊息，包括最新新聞稿之發佈、最新公告、即時及歷史疏濬公告、即時河川水位資訊、各項標案之招標公告、政府機關各單位發布之重要資訊政策及本局職缺徵才等相關訊息，使民眾透過本局全球資訊網之最新消息，除可於颱風豪雨期間，隨時了解本局轄區之河川水位之即時情況，進而了解居家附近有無淹水等情事外，亦可提升民眾之防災意識，達到防災減災之效果與全民防災之目的;且也可經由本局公告之招標及歷史疏濬等公告事項等，了解本局河川疏濬及工程案件之進度，隨時了解及掌握全局即時之重要事項及資訊，以達資料透明化之目的。,avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每日,政府資料開放授權條款-第1版,https://www.wra07.gov.tw/12594/12612/12613/;https://www.wra07.gov.tw/12594/12612/12613/;https://www.wra07.gov.tw/12594/12612/12613/,2018/11/20 13:46,2018/12/04 13:54,
95995,FINDIT平台-研究專區,經濟部中小企業處,公共資訊,提供全球早期資金趨勢觀測月報-研究報告,研究專區主題;研究專區類別;發佈時間,每年,政府資料開放授權條款-第1版,,2018/12/06 00:00,2018/12/10 09:59,
95996,FINDIT平台-新創企業補給站-中央各部會,經濟部中小企業處,公共資訊,提供國內政府相關創業資源介紹,單位;工具類別;內容;網址,每年,政府資料開放授權條款-第1版,,2018/12/10 00:00,2018/12/10 14:33,
95846,基隆市不動產租賃實價登錄Open Data(107年10月租賃登記案件),基隆市政府地政處,購屋及遷徙,購屋及遷徙: 係指各種房屋租賃、房屋遷移、移民等相關資料集,鄉鎮市區;交易標的;土地區段位置建物區段門牌;土地面積平方公尺;都市土地使用分區;非都市土地使用分區;非都市土地使用編定;租賃年月日;租賃筆棟數;租賃層次;總樓層數;建物型態;主要用途;主要建材;建築完成年月;建物總面積平方公尺;建物現況格局-房;建物現況格局-廳;建物現況格局-衛;建物現況格局-隔間;有無管理組織;有無附傢俱;總額元;單價元平方公尺;車位類別;車位面積平方公尺;車位總額元;備註;編號,每月,政府資料開放授權條款-第1版,https://land.klcg.gov.tw/business/More?id=765;https://land.klcg.gov.tw/business/More?id=765;https://land.klcg.gov.tw/business/More?id=765,2018/12/13 00:00,2018/12/13 17:28,
