資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
129516,臺北都市更新容積獎勵案件統計表,臺北市都市更新處,公共資訊,臺北都市更新容積獎勵案件統計表,cNumber;cDescription,每年,政府資料開放授權條款-第1版,,2020/08/20 00:00,臺北市政府OAS標準之API說明文件：https://data.taipei/api/comments/doc
129517,臺南市溫室氣體排放統計,臺南市政府環境保護局,公共資訊,本資料集提供臺南市溫室氣體排放統計資訊,年度;總排放量[萬公噸CO2e];人均排放量[公噸CO2e/人],每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/ghgas,2020/08/28 09:42,
129518,臺南市偏遠地區移動式機車檢驗站服務行程表,臺南市政府環境保護局,公共資訊,本資料集提供臺南市偏遠地區移動式機車檢驗站服務行程表資訊,月份;山上區[山上區公所旁];左鎮區[左鎮區衛生所旁];龍崎區[老人文康活動中心旁],每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/submochk,2020/08/28 09:31,
129519,臺南市微型感測器基本資料,臺南市政府環境保護局,公共資訊,本資料集提供臺南市微型感測器基本資料資訊,布建年度;行政區;監測項目;數量,每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/tinysensor,2020/08/28 08:29,
