資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
114838,國史館臺灣文獻館108年度12月份會計月報,國史館臺灣文獻館,公共資訊,國史館臺灣文獻館108年度12月份會計月報資料,,每月,政府資料開放授權條款-第1版,,2020/01/22 00:00,
115824,109年金門縣公告地價-金沙鎮,金門縣地政局,公共資訊,提供土地公告地價查詢,年度;縣市;鄉鎮;段名;地號;公告土地地價,每年,政府資料開放授權條款-第1版,,2020/01/21 16:34,
115825,109年金門縣公告地價-金城鎮,金門縣地政局,公共資訊,提供土地公告地價查詢,年度;縣市;鄉鎮;段名;地號;公告土地地價,每年,政府資料開放授權條款-第1版,,2020/01/21 16:43,
115827,109年金門縣公告地價-金寧鄉,金門縣地政局,公共資訊,提供土地公告地價查詢,年度;縣市;鄉鎮;段名;地號;公告土地地價,每年,政府資料開放授權條款-第1版,,2020/01/21 16:52,
115828,109年金門縣公告地價-烈嶼鄉-烏坵鄉,金門縣地政局,公共資訊,提供土地公告地價查詢,年度;縣市;鄉鎮;段名;地號;公告土地地價,每年,政府資料開放授權條款-第1版,,2020/01/21 16:56,
