資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
97662,高雄高等行政法院107年度12月會計月報,高雄高等行政法院,公共資訊,高雄高等行政法院107年度12月會計月報,,每月,政府資料開放授權條款-第1版,http://ksb.judicial.gov.tw/chinese/GovPublicInfo.aspx?p=58&pa=10227&n=10347&type=6,2019/01/17 00:00,2019/01/17 10:28,
97764,臺中高等行政法院107年12月份會計月報,臺中高等行政法院,公共資訊,臺中高等行政法院107年12月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://tcb.judicial.gov.tw/index1.asp?struID=70&cid=55&newsType=5,2019/01/18 00:00,2019/01/18 16:22,
97826,臺灣基隆地方法院107年12月份會計月報,臺灣基隆地方法院,公共資訊,107年12月份會計月報：歲入累計表第11張,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,不更新,政府資料開放授權條款-第1版,,2019/01/19 00:00,2019/01/19 15:10,
97803,基隆港2018年海流觀測月平均資料,交通部運輸研究所,公共資訊,提供基隆港2018年海流月平均統計資料。,觀測時間;資料蒐集率;平均流速;最大流速;主要流向等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/KL/2018KLCURR.xlsx,2019/01/19 00:00,2019/01/19 11:24,
97804,基隆港2018年波浪觀測月平均資料,交通部運輸研究所,公共資訊,提供基隆港2018年波浪月平均統計資料。,觀測時間;資料蒐集率;有義波高Hs平均;尖峰周期Tp平均;最大Hs波高;最大Tp週期等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/KL/2018KLWAVE.xlsx,2019/01/19 00:00,2019/01/19 11:21,
97805,蘇澳港2018年風觀測月平均資料,交通部運輸研究所,公共資訊,提供蘇澳港2018年風速、風向月平均統計資料。,觀測時間;資料蒐集率;10分鐘風速平均值;10分鐘風速平均最大值;主要風向等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/SA/2018SAWIND.xlsx,2019/01/19 00:00,2019/01/19 11:21,
97806,蘇澳港2018年波浪觀測月平均資料,交通部運輸研究所,公共資訊,提供蘇澳港2018年波浪月平均統計資料。,觀測時間;資料蒐集率;有義波高Hs平均;尖峰周期Tp平均;最大Hs波高;最大Tp週期等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/SA/2018SAWAVE.xlsx,2019/01/19 00:00,2019/01/19 11:24,
97807,蘇澳港2018年海流觀測月平均資料,交通部運輸研究所,公共資訊,提供蘇澳港2018年海流月平均統計資料。,觀測時間;資料蒐集率;平均流速;最大流速;主要流向等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/SA/2018SACURR.xlsx,2019/01/19 00:00,2019/01/19 11:22,
97808,高雄港2018年海流觀測月平均資料,交通部運輸研究所,公共資訊,提供高雄港2018年海流月平均統計資料。,觀測時間;資料蒐集率;平均流速;最大流速;主要流向等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/KH/2018KHCURR.xlsx,2019/01/19 00:00,2019/01/19 11:25,
97809,高雄港2018年波浪觀測月平均資料,交通部運輸研究所,公共資訊,提供高雄港2018年波浪月平均統計資料。,觀測時間;資料蒐集率;有義波高Hs平均;尖峰周期Tp平均;最大Hs波高;最大Tp週期等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/KH/2018KHWAVE.xlsx,2019/01/19 00:00,2019/01/19 11:22,
97810,高雄港2018年風觀測月平均資料,交通部運輸研究所,公共資訊,提供高雄港2018年風速、風向月平均統計資料。,觀測時間;資料蒐集率;10分鐘風速平均值;10分鐘風速平均最大值;主要風向等資料。,每日,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/Obs/KH/2018KHWIND.xlsx,2019/01/19 00:00,2019/01/19 11:25,
