資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
118581,臺北市大安區已登記公私有土地筆數面積統計表,臺北市大安地政事務所,公共資訊,臺北市大安區已登記公私有土地筆數面積統計表,面積，比數,每年,政府資料開放授權條款-第1版,,2014/01/09 00:00,
118580,臺北市老舊聚落分布圖,臺北市政府工務局大地工程處,公共資訊,臺北市24處山坡地老舊聚落所在位置,類別;編號,每年,政府資料開放授權條款-第1版,,2012/01/13 00:00,
118579,臺北市藍色公路碼頭,臺北市政府工務局水利工程處,休閒旅遊,"藍色公路碼頭位置,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Photo",每年,政府資料開放授權條款-第1版,,2012/07/06 00:00,
118582,臺北市消防分隊駐地位置圖,臺北市政府消防局,公共資訊,臺北市消防分隊駐地位置,分隊名稱;座標,每日,政府資料開放授權條款-第1版,,2020/02/27 00:00,
118578,臺北市空氣品質監測站基本資料,臺北市政府環境保護局,生活安全及品質,臺北市空氣品質監測站種類、分類、名稱、地址、監測項目等資訊,"測站種類;測站分類;測站名稱;測站地址;監測項目;經度;,緯度",每日,政府資料開放授權條款-第1版,,2013/05/06 00:00,
118583,臺北市核准身障福利團體設置舊衣回收箱,臺北市政府環境保護局,公共資訊,臺北市核准身障福利團體設置舊衣回收箱,"核准編號,團體名稱,電話,行政區,臺北市核准地點,備註,經度,緯度",每日,政府資料開放授權條款-第1版,,2019/04/12 00:00,
118577,臺北市北投垃圾焚化廠營運管理及環境品質監測報告,臺北市政府環境保護局北投垃圾焚化廠,公共資訊,本資料集涵蓋北投垃圾焚化廠（以下簡稱本廠）營運操作之處理物來源及產出物統計：如垃圾進廠量、焚化量、底渣及飛灰產生量，以及進出本廠之清運車輛、廚餘進廠量等統計數據。 另外亦針對本廠污染防制之作為如：廢氣、水污染、噪音、底渣灼燒減量、飛灰及底渣穩定化物重金屬及戴奧辛等項目，進行監控防制與相關數據統計報告。 本廠敦親睦鄰及回饋設施之使用人數亦一併收集於本資料集之中,內容摘要;焚化廠營運管理;污染防制及監測;敦親睦鄰與回饋設施及景觀維護;結論與建議及其他事項,每半年,政府資料開放授權條款-第1版,,2014/02/17 00:00,
117721,政府消費,行政院主計總處,公共資訊,1.按年公布之政府消費資料，並按國際貨幣基金(IMF)編布之2014年版政府財政統計手冊(GFSM)之政府職能別分類。 2.收集目的：陳示各年政府消費依職能分之資料。 3.資料收集方式：彙編各級政府及屬政府部門非營利機構之預決算資料。,Item;TIME_PERIOD;FREQ;TYPE;Item_VALUE,每年,政府資料開放授權條款-第1版,https://statdb.dgbas.gov.tw/pxweb/Dialog/ViewCrossDomain.asp?ma=NA8706A1A&path=../PXfile/NationalIncome/&lang=9&strList=L,2020/03/09 00:00,授權說明網址: http://data.gov.tw/license
