資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
94933,107年10月會計月報,臺灣橋頭地方法院,公共資訊,107年10月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://ctd.judicial.gov.tw/UserFiles/10710月報XML.zip,2018/11/16 00:00,2018/11/19 10:09,
95107,數位無線電視電臺發射機資訊,國家通訊傳播委員會,交通及通訊,數位無線電視電臺發射機基本資料,所屬單位;電臺名稱;縣市;鄉鎮市區,不更新,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 10:08,
95136,高速公路局所轄建管範圍內需辦理建築物公共安全申報之建築物統計表,交通部高速公路局,交通及通訊,高速公路局所轄建管範圍內需辦理建築物公共安全申報之建築物統計表,建物名稱;使用類組;建物規模;該幢總樓地板面積;幢數,每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 16:41,
95138,高速公路局所轄建管範圍內既有公共建築物無障礙設施分類、分期改善執行期程表,交通部高速公路局,交通及通訊,高速公路局所轄建管範圍內既有公共建築物無障礙設施分類、分期改善執行期程表,分期;分類;建物所有人或管理機關;建物名稱;建照編號;建物規模;樓地板面積;完成改善勘查的年度,每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 16:49,
95072,台灣中油股份有限公司_綠能科技研究所研發成果,台灣中油股份有限公司,公共資訊,列出綠能科技研究所各類研發成果及介紹連結,成果類別;成果項目;介紹連結,每月,政府資料開放授權條款-第1版,,2018/11/21 00:00,2018/11/22 09:45,
95075,台灣中油股份有限公司_探採研究所探採研究報告分類,台灣中油股份有限公司,公共資訊,探採研究所歷年研究報告分類,類別;年度;計畫名稱;聯絡人;E-mail,每年,政府資料開放授權條款-第1版,,2018/11/21 00:00,2018/11/22 09:49,
95119,台灣自來水公司近年委外研究計畫,台灣自來水股份有限公司,公共資訊,提供本公司近年各項委外研究計畫,年度;研究計畫名稱;委辦單位,每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:29,
95120,台灣自來水公司對民間團體及個人之補（捐）助經費表,台灣自來水股份有限公司,公共資訊,提供本公司對民間團體及個人之補（捐）助經費表,項次;申請單位;活動摘要;申請金額(千元);核准理由(預期效益);核准日期;活動縣市,每季,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:27,
95121,台灣自來水公司近年簡易資產負債表,台灣自來水股份有限公司,公共資訊,提供本公司近年簡易資產負債情形,年度;資產(千元);負債(千元);權益(千元),每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:24,
95122,台灣自來水公司近年自行研究計畫,台灣自來水股份有限公司,公共資訊,提供本公司近年各項自行研究計畫,年度;研究計畫名稱;辦理單位,每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:20,
95123,台灣自來水公司代收繳比例,台灣自來水股份有限公司,公共資訊,提供本公司用戶數代收繳比例,單位名稱;代收(含到所繳費)用戶數;百分比(代收);預繳用戶數;百分比(預繳);代繳用戶數;百分比(代繳),每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:18,
95124,台灣自來水公司各口徑分段用水量水費統計表,台灣自來水股份有限公司,公共資訊,提供本公司各口徑分段用戶數及用水量統計,口徑(公厘);用戶數(戶);用水費(元),每年,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:17,
95125,台灣自來水公司水量計裝置數,台灣自來水股份有限公司,公共資訊,提供本公司每月水量計裝置數,年月;水量計裝置數(只),每月,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 15:17,
95135,行政院農業委員會公告,行政院農業委員會,公共資訊,提供行政院農業委員會最新消息RSS,標題;連結;內容;發佈單位代碼;發佈日期;更新日期,每日,政府資料開放授權條款-第1版,https://www.coa.gov.tw/open_data.php?format=rss&func=publication;https://www.coa.gov.tw/open_data.php?format=rss&func=publication,2018/11/22 00:00,2018/11/22 16:15,
95142,行政院農業委員會資訊圖文,行政院農業委員會,公共資訊,提供行政院農業委員會最新圖文RSS,標題;連結;內容;發佈單位代碼;發佈日期;更新日期,每日,政府資料開放授權條款-第1版,https://www.coa.gov.tw/open_data.php?format=rss&func=photo_news;https://www.coa.gov.tw/open_data.php?format=rss&func=photo_news,2018/11/22 00:00,2018/11/22 17:30,
95143,行政院農委會爭議訊息澄清專區含食安,行政院農業委員會,公共資訊,行政院農業委員會爭議訊息澄清專區含食安RSS,標題;連結;內容;發佈單位代碼;發佈日期;更新日期,即時,政府資料開放授權條款-第1版,https://www.coa.gov.tw/open_data.php?format=rss&func=faq;https://www.coa.gov.tw/open_data.php?format=rss&func=faq,2018/11/22 00:00,2018/11/22 18:00,
95144,行政院農業委員會新聞澄清稿,行政院農業委員會,公共資訊,提供行政院農業委員會新聞澄清稿RSS,標題;連結;內容;發佈單位代碼;發佈日期;更新日期,即時,政府資料開放授權條款-第1版,https://www.coa.gov.tw/open_data.php?format=rss&func=explain;https://www.coa.gov.tw/open_data.php?format=rss&func=explain,2018/11/22 00:00,2018/11/22 18:15,
95145,行政院農業委員會農業氣象影音,行政院農業委員會,公共資訊,提供行政院農業委員會農業氣象影音RSS,標題;連結;內容;發佈單位代碼;圖片路徑;更新日期,即時,政府資料開放授權條款-第1版,https://www.coa.gov.tw/open_data.php?format=rss&func=coa_video;https://www.coa.gov.tw/open_data.php?format=rss&func=coa_video,2018/11/22 00:00,2018/11/22 18:30,
95093,不動產實價登錄資訊-買賣案件-新莊區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-新莊區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:17,2018/11/22 01:03,依品質檢測結果更新主要欄位說明
95095,不動產實價登錄資訊-買賣案件-鶯歌區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-鶯歌區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:16,2018/11/22 01:33,依品質檢測結果更新主要欄位說明
95096,不動產實價登錄資訊-買賣案件-瑞芳區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-瑞芳區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:17,2018/11/22 01:34,依品質檢測結果更新主要欄位說明
95097,不動產實價登錄資訊-買賣案件-蘆洲區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-蘆洲區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:16,2018/11/22 01:36,依品質檢測結果更新主要欄位說明
95098,不動產實價登錄資訊-買賣案件-雙溪區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-雙溪區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:16,2018/11/22 01:37,依品質檢測結果更新主要欄位說明
95099,不動產實價登錄資訊-買賣案件-萬里區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-萬里區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:17,2018/11/22 01:37,依品質檢測結果更新主要欄位說明
95100,不動產實價登錄資訊-買賣案件-樹林區,新北市政府地政局,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。-樹林區,district;rps01;rps02;rps03;rps04;rps05;rps06;rps07;rps08;rps09;rps10;rps11;rps12;rps13;rps14;rps15;rps16;rps17;rps18;rps19;rps20;rps21;rps22;rps23;rps24;rps25;rps26;rps27,每月,政府資料開放授權條款-第1版,,2016/11/03 16:17,2018/11/22 01:38,依品質檢測結果更新主要欄位說明
95117,臺中市107年第3季防空避難設備,臺中市政府警察局‧行政科,公共資訊,防空避難設備,臺中市107年第3季防空避難設備,每月,政府資料開放授權條款-第1版,,2018/11/22 14:02,2018/11/22 16:38,
95112,雲林縣文化旅遊_中文景點,雲林縣政府,休閒旅遊,雲林縣政府機關發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,,即時,政府資料開放授權條款-第1版,,2018/11/22 00:00,2018/11/22 13:42,
