資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
127253,108年臺南市測量案件統計報表,臺南市政府地政局,購屋及遷徙,臺南市所屬各地政事務所土地複丈、建物測量案件統計值,年月;地政事務所;行政區;土地分割件數;土地分割筆數;土地分割面積;土地合併件數;土地合併筆數;土地合併面積;土地鑑界件數;土地鑑界筆數;土地鑑界面積;法院囑託件數;法院囑託筆數;法院囑託面積;其他件數;其他筆數;其他面積;建物測量件數;建物測量筆數;建物測量面積;建物門牌基地號勘查及建物滅失件數;建物門牌基地號勘查及建物滅失筆數;建物門牌基地號勘查及建物滅失面積;建物法院囑託件數;建物法院囑託筆數;建物法院囑託面積;地目變更件數;地目變更筆數;地目變更面積,每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase;https://data.tainan.gov.tw/dataset/108-surveycase,2020/06/12 07:31,
127254,107年臺南市測量案件統計報表,臺南市政府地政局,購屋及遷徙,臺南市所屬各地政事務所土地複丈、建物測量案件統計值,年月;地政事務所;行政區;土地分割件數;土地分割筆數;土地分割面積;土地合併件數;土地合併筆數;土地合併面積;土地鑑界件數;土地鑑界筆數;土地鑑界面積;法院囑託件數;法院囑託筆數;法院囑託面積;其他件數;其他筆數;其他面積;建物測量件數;建物測量筆數;建物測量面積;建物門牌基地號勘查及建物滅失件數;建物門牌基地號勘查及建物滅失筆數;建物門牌基地號勘查及建物滅失面積;建物法院囑託件數;建物法院囑託筆數;建物法院囑託面積;地目變更件數;地目變更筆數;地目變更面積,每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase;https://data.tainan.gov.tw/dataset/107-surveycase,2020/06/12 07:23,
