資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
115840,109年金門縣公告土地現值-金城鎮,金門縣地政局,公共資訊,提供公告土地現值查詢,年度;縣市;鄉鎮;段名;地號;公告土地現值,每年,政府資料開放授權條款-第1版,,2020/01/22 14:30,
115841,109年金門縣公告土地現值-金湖鎮,金門縣地政局,公共資訊,提供公告土地現值查詢,年度;縣市;鄉鎮;段名;地號;公告土地現值,每年,政府資料開放授權條款-第1版,,2020/01/22 14:32,
115842,109年金門縣公告土地現值-金寧鄉,金門縣地政局,公共資訊,提供公告土地現值查詢,年度;縣市;鄉鎮;段名;地號;公告土地現值,每年,政府資料開放授權條款-第1版,,2020/01/22 14:36,
115843,109年金門縣公告土地現值-烈嶼鄉-烏坵鄉,金門縣地政局,公共資訊,提供公告土地現值查詢,年度;縣市;鄉鎮;段名;地號;公告土地現值,每年,政府資料開放授權條款-第1版,,2020/01/22 14:38,
