資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
107429,嘉義市東區108年1月至12月各里人口數統計,嘉義市政府,公共資訊,嘉義市東區108年1月至12月各里人口數統計,村里;鄰數;戶數;男;女;人數合計,每月,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw;https://data.chiayi.gov.tw,2019/01/15 15:36,
107427,高雄市108年度表揚特優里長名單,高雄市政府民政局,公共資訊,年度、類別、區別、里別、姓名,年度;類別;區別;里別;姓名,每年,政府資料開放授權條款-第1版,https://data.kcg.gov.tw/dataset/108-kcg-extra-head-of-destrict,2019/08/30 08:13,
107428,高雄市108年度表揚資深里長名單,高雄市政府民政局,公共資訊,年度、類別、區別、里別、姓名、總年資,年度;類別;區別;里別;姓名;總年資,每年,政府資料開放授權條款-第1版,https://data.kcg.gov.tw/dataset/108-kcg-senior-head-of-destrict,2019/08/30 08:07,
