資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
97372,高鐵5個車站特定區資訊幹線簡圖及相關資料,交通部鐵道局,公共資訊,高鐵5個車站特定區資訊幹線簡圖及相關資料,資料集名稱;連結網址,每日,政府資料開放授權條款-第1版,,2016/07/14 18:34,2019/01/09 17:52,
97347,107年度12月基隆市土地建物登記管理資料,基隆市政府地政處,購屋及遷徙,購屋及遷徙: 係指各種房屋買賣、房屋遷移、移民等相關資料集,,每月,政府資料開放授權條款-第1版,,2019/01/09 00:00,2019/01/09 17:35,
97334,新北市108年公告土地現值-八里區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:03,2019/01/09 14:04,
97335,新北市108年公告土地現值-五股區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:13,2019/01/09 14:13,
97336,新北市108年公告土地現值-平溪區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:14,2019/01/09 14:14,
97337,新北市108年公告土地現值-永和區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:18,2019/01/09 14:19,
97338,新北市108年公告土地現值-坪林區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:28,2019/01/09 14:29,
97343,新北市108年公告土地現值-石碇區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:23,2019/01/09 15:08,
97346,新北市108年公告土地現值-三峽區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:05,2019/01/09 15:27,
97348,新北市108年公告土地現值-鶯歌區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,,2019/01/09 14:54,2019/01/09 16:37,
