資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
101043,法務部法醫研究所108年統計資料(按月),法務部法醫研究所,公共資訊,法務部法醫研究所108年統計資料(按月),項目;聯絡人;聯絡電話;連結,每月,政府資料開放授權條款-第1版,,2019/04/17 00:00,
101038,臺中市政府常備兵役役男家屬108年第1季各項扶(慰)助經費統計表,臺中市政府民政局‧地方自治科第二股,服兵役,臺中市政府常備兵役役男家屬108年第1季各項扶(慰)助經費統計表,役別;鄉鎮市區別;一次安家費件戶數;一次安家費金額;三節生活扶助金件戶數;三節生活扶助金金額;生育補助金件戶數;生育補助金金額;喪葬補助金件戶數;喪葬補助金金額;急難慰助金件戶數;急難慰助金金額;健保補助費件戶數;健保補助費金額;醫療補助費件戶數;醫療補助費金額,即時,政府資料開放授權條款-第1版,,2019/04/17 13:08,
101039,臺中市政府替代役役男家屬108年第1季各項扶(慰)助經費統計表,臺中市政府民政局‧地方自治科第二股,服兵役,臺中市政府替代役役男家屬108年第1季各項扶(慰)助經費統計表,區別;役別;一次安家費件戶數;一次安家費金額;三節生活扶助金件戶數;三節生活扶助金金額;生育補助金件戶數;生育補助金金額;喪葬補助金件戶數;喪葬補助金金額;急難慰助金件戶數;急難慰助金金額;健保補助費件戶數;健保補助費金額;醫療補助費件戶數;醫療補助費金額;傷殘安養津貼件戶數;傷殘安養津貼金額,即時,政府資料開放授權條款-第1版,,2019/04/17 13:09,
101054,臺北捷運車站無障礙設施異常公告,臺北大眾捷運股份有限公司,交通及通訊,捷運車站無障礙設施異常公告,無障礙設施,每日,政府資料開放授權條款-第1版,無,2019/04/17 20:41,
101055,常備兵役役男家屬安家費及三節生活扶助金,臺南市政府,服兵役,臺南市常備兵役役男家屬安家費及三節生活扶助金統計,1040710;1060610;1070810;1050510;1040510;1051210;常備兵役役男家屬安家費及三節生活扶助金;108年3月份常備役役男家屬一次安家費暨生活扶助金統計表;1080110;108年1月份常備兵役役男家屬一次安家費及三節生活扶助金統計表;108年2月份常備役役男家屬一次安家費暨生活扶助金統計表;1060110;1070410;1071110;1060210;1051010;1040910;1070610;1070710;1051110;1071210;1050610;1070210;備兵役役男家屬安家費及三節生活扶助金;1060510;1050310;1040410;1040810;1060310;1070110;1070910;1050910;106年03月份常備兵役役男家屬安家費及三節生活扶助金;1071010;1050710;1060810;1060710;1061210;1061010;1070510;1070310;1050410;106年10月份常備兵役役男家屬安家費及三節生活扶助金;1050210;1041010;1041210;1050110;1050810;1041110,每月,政府資料開放授權條款-第1版,http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3;http://data.tainan.gov.tw/dataset/conscription3,2019/04/08 08:46,
101035,108年度3月行政院主計總處會計報告,行政院主計總處,公共資訊,108年度3月行政院主計總處會計報告,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2019/04/17 00:00,
101048,行政院農業委員會桃園區農業改良場補(捐)助明細表,行政院農業委員會,公共資訊,提供行政院農業委員會桃園區農業改良場補(捐)助明細表,檔案名稱;下載連結,即時,政府資料開放授權條款-第1版,https://www.tydares.gov.tw/ws.php?id=1077;https://www.tydares.gov.tw/ws.php?id=1077,2019/04/17 00:00,
