資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
95258,土地登記印鑑設置及使用情形統計,彰化縣田中地政事務所,公共資訊,累計土地登記印鑑設置人數及累計土地登記印鑑使用案件數，係自86年5月1日起算。,本期申請設置印鑑人數;本期註銷印鑑人數;累計設置印鑑人數;本期新增印鑑使用案件數;累計印鑑使用案件數,每半年,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:55,
95259,已登記土地筆數面積,彰化縣田中地政事務所,公共資訊,土地登記簿上已登記之公有、私有及公私共有土地，均為統計對象。,用地類別;使用編定使用地類別;面積合計;公有土地面積;私有土地面積;公私共有土地面積;筆數合計;公有土地筆數;私有土地筆數;公私共有土地筆數,每年,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:54,
95260,外國人地權登記管理,彰化縣田中地政事務所,公共資訊,凡在本所轄區內外國人之地權登記，經地政機關核准所有權與他項權利之登記均為統計對象。,登記類別;件數;土地筆數;土地面積;建物棟數;建物面積,每月,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:54,
95261,未辦繼承登記土地建物列冊管理,彰化縣田中地政事務所,公共資訊,依據土地法第七十三條之一規定所執行之列冊管理案件均為統計對象。,年度;列冊管理土地筆數;列冊管理土地持分面積;列冊管理建物棟數;列冊管理建物持分面積;停止列管土地筆數;停止列冊管理土地持分面積;停止列冊管理建物棟數;停止列冊管理建物持分面積;列冊管理期滿移請國有財產署標售土地筆數;列冊管理期滿移請國有財產署標售土地持分面積;列冊管理期滿移請國有財產署標售建物棟數;列冊管理期滿移請國有財產署標售建物持分面積;截至本年底列冊管理土地筆數;截至本年底列冊管理土地持分面積;截至本年底列冊管理建物棟數;截至本年底列冊管理建物持分面積,每年,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:54,
95262,各類人員申辦案件統計表,彰化縣田中地政事務所,公共資訊,凡在本所轄區內經地政機關受理之所有土地建物登記案件，其申請人員均為統計對象。,本月登記案件申請總件數;地政士申請件數;民眾申請件數;政府機關及法院申請件數,每月,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:54,
95263,地籍清理成果表,彰化縣田中地政事務所,公共資訊,凡於本所轄區內，經地政機關核准依地籍清理條例辦理之登記均為統計對象。,清理類型;已公告;受理(中)   申報數;完成申報數;受理(中)申請登記;完成登記;辦理標售;已標(讓)售;暫緩標售;停止標售;經二次標售未能標售;囑託國有登記;申領價金;異議中(含訴願);公共設施用地,每月,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:54,
95264,政府因應印鑑證明停發_民眾申辦土地登記案件各項替代措施統計表,彰化縣田中地政事務所,公共資訊,為因應印鑑證明停發，本所受理彙整民眾申辦土地登記案件各項替代措施為統計對象。,本月設置件數;累計申請設置印鑑卡總數;本月申辦登記總件數;本月以印鑑證明申請登記總件數;地政士簽證;當事人親自申辦;法院或民間公證人公證或認證後委託 他人代辦;使用土地登記印鑑卡,每月,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:53,
95265,清理流水編之登記名義人成果統計表,彰化縣田中地政事務所,公共資訊,凡於本所轄區內，經地政機關清理流水編之登記名義人成果均為統計對象。,項目;收件;已通知權利人辦理統一編號更正;依土地法第73條之1規定列冊管理者;完成統一編號更正或繼承登記,每月,政府資料開放授權條款-第1版,https://www.tj-land.gov.tw/,2018/11/24 00:00,2018/11/24 13:53,
95256,107年新竹縣流感疫苗合約院所名冊,新竹縣政府,公共資訊,107年新竹縣流感疫苗合約院所,107年新竹縣流感疫苗合約院所,每日,政府資料開放授權條款-第1版,https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=C9484331-4ABE-47AE-8272-90C5D0735345;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=C9484331-4ABE-47AE-8272-90C5D0735345;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=C9484331-4ABE-47AE-8272-90C5D0735345;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=C9484331-4ABE-47AE-8272-90C5D0735345,2018/11/23 15:56,2018/11/24 00:30,
