資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
95734,公務員廉政倫理規範,法務部,公共資訊,公務員廉政倫理規範相關條文、處理程序、諮詢管道及表單,項目名稱;內容;摘要;諮詢管道;聯絡電話;傳真,即時,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 10:24,
95752,國家廉政建設行動方案,法務部,公共資訊,國家廉政建設行動方案,資料名稱;成果資料;摘要,即時,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 10:24,
95754,請託關說登錄查察專區,法務部,公共資訊,請託關說登錄查察專區,項目名稱;內容;摘要;諮詢管道;聯絡電話;傳真,即時,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 10:24,
95762,行政執行各分署未結情形(種類別),法務部行政執行署,公共資訊,行政執行各分署未結情形(種類別),exec_dept_id;static_year;class_id;non_over_num,每年,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 20:35,
95763,行政執行各分署未結情形(屬性別),法務部行政執行署,公共資訊,行政執行各分署未結情形(屬性別),exec_dept_id;static_year;attr_id;non_over_num,每年,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 20:34,
95767,法務部表揚從事更生保護有功人員（團體）,法務部保護司,公共資訊,從事更生保護有功人員（團體）之表楊名單,資料名稱;資料連結,即時,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/11/30 11:41,
95768,法務部行政執行署組織架構,法務部行政執行署,公共資訊,法務部行政執行署組織架構,articleName;articleLink,即時,政府資料開放授權條款-第1版,,2018/11/30 00:00,2018/12/03 20:34,
95838,法務部組織架構-法律事務司簡介,法務部法律事務司,公共資訊,法務部組織架構-法律事務司簡介,說明;組織架構圖;主管姓名及職稱;任職日期;學歷及考試;經歷;相片;法律事務司業務職掌;,即時,政府資料開放授權條款-第1版,,2018/12/03 00:00,2018/12/03 18:58,
95855,法務部調查局綠色採購比率,法務部調查局,公共資訊,法務部調查局綠色採購比率,107年度總綠色採購比率;107年度指定項目綠色採購比率,每年,政府資料開放授權條款-第1版,https://www.mjib.gov.tw/userfiles/files/OpenData/14-%E8%B3%87%E9%80%9A%E5%AE%89%E5%85%A8%E8%99%95/green.json,2018/12/03 00:00,2018/12/03 15:06,
95857,刑事政策與犯罪研究論文集(19),法務部司法官學院,公共資訊,刑事政策與犯罪研究論文集(19),論文集名稱;下載位置,即時,政府資料開放授權條款-第1版,https://www.tpi.moj.gov.tw/HitCounter.asp?xItem=451615&ixCuAttach=199213,2018/12/03 00:00,2018/12/03 14:54,
