資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
106217,臺中市寬頻管道,臺中市政府建設局‧管線管理科,公共資訊,本資料內容為具有數值坐標描述之寬頻管道（SHP），內容為管線．範圍涵蓋本市中區、東區、西區、南區、北區、西屯區、南屯區、北屯區、豐原區、大里區、太平區、清水區、沙鹿區、大甲區、東勢區、梧棲區、烏日區、大肚區、大雅區、后里區、霧峰區、潭子區、龍井區、外埔區、大安區、新社區。應再下載，寬頻管道手孔、寬頻管道引出管、寬頻管道引上點三個檔案，才為完整的寬頻管道檔案。,ID;UNIT;WIDTH;HIGHT;PNUM;PKIND;USTREAM;LSTREAM;USET;LSET;SDATE;STATUS;PLEN;PCASE;BHOLE;BHOLEST;EHOLE;EHOLEST;DISTID;ROAD;MNUM;BMNUM;HTNUM;SNUM;DIAM;DEPMIN;PROJID;DISX;LUDATE;LUSITE;DSDATE;DDATE;MCOORD;TRCOORD;WID;SHAPE_LEN,每年,政府資料開放授權條款-第1版,,2019/07/25 14:37,
106218,臺中市寬頻管道手孔,臺中市政府建設局‧管線管理科,公共資訊,本資料內容為具有數值描述之寬頻管道手孔圖資(SHP)，範圍涵蓋本市中區、東區、西區、南區、北區、西屯區、南屯區、北屯區、豐原區、大里區、太平區、清水區、沙鹿區、大甲區、東勢區、梧棲區、烏日區、大肚區、大雅區、后里區、霧峰區、潭子區、龍井區、外埔區、大安區、新社區。使用者應另行再下載，寬頻管道、寬頻管道引出管、寬頻管道引上點等三個檔案始為完整檔案,ID;HOLEID;UNIT;HKIND;UWIDTH;BHIGHT;HHIGHT;RDIST;SDATE;SITE;HHCD;COORDX;COORDY;OUTNUM;PROJID;LUDATE;LUSITE;DSDATE;DDATE;WID;ULEN,即時,政府資料開放授權條款-第1版,,2019/07/25 16:05,
106219,臺中市寬頻管道引出管,臺中市政府建設局‧管線管理科,公共資訊,本資料內容為具有數值描述之寬頻管道引出管圖資（SHP），範圍涵蓋本市中區、東區、西區、南區、北區、西屯區、南屯區、北屯區、豐原區、大里區、太平區、清水區、沙鹿區、大甲區、東勢區、梧棲區、烏日區、大肚區、大雅區、后里區、霧峰區、潭子區、龍井區、外埔區、大安區、新社區。使用者應另行再下載，寬頻管道、寬頻管道手孔、寬頻管道引上點等三個檔案始為完整檔案,ID;UNIT;WIDTH;HIGHT;PNUM;PKIND;USTREAM;LSTREAM;USET;LSET;SDATE;STATUS;PLEN;PCASE;BHOLE;BHOLEST;EHOLE;EHOLEST;DISTID;ROAD;MNUM;BMNUM;HTNUM;SNUM;DIAM;DEPMIN;PROJID;DISX;LUDATE;LUSITE;DSDATE;DDATE;MCOORD;TRCOORD;WID;SHAPE_LEN,每年,政府資料開放授權條款-第1版,,2019/07/25 16:48,
105184,財政部印刷廠108年度會計月報,財政部印刷廠,公共資訊,損益表、資產負債表、購建固定資產計畫執行情形明細表,SEQNO;LEVEL;BOLD;編號;科目;本年度法定預算數;本月份實際數;本月份預算數;本月份比較增減-金額;本月份比較增減-百分比;本年度截至本月份實際數;本年度截至本月份預算數;本年度截至本月份比較增減-金額;本年度截至本月份比較增減-百分比;ORDER;計畫名稱;以前年度保留數;本年度奉准先行辦理數;調整數;累計預算分配數;實支數;應付未付數;差異或落後原因;改進措施;備註;金額;百分比,每月,政府資料開放授權條款-第1版,,2019/07/25 00:00,授權說明網址: http://data.gov.tw/license
