資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
96736,道安講習資訊,交通部公路總局,公共資訊,提供各區監理所(站)道安講習班資訊。,日期;星期;班別;上課時間;所站;上課地點,每日,政府資料開放授權條款-第1版,https://www.mvdis.gov.tw/m3-emv-drv/driver/safeClass,2018/12/25 00:00,2018/12/25 16:22,最新資訊可參考相關網址。
96731,董監事資料集,經濟部商業司,開創事業,提供全國公司登記董監事資料集,統一編號;公司名稱;職稱;姓名;所代表法人;持有股份數,每日,政府資料開放授權條款-第1版,,2018/12/24 00:00,2018/12/25 18:31,
96737,107年嘉義縣房屋稅籍統計表,嘉義縣財政稅務局,公共資訊,107年嘉義縣房屋稅籍統計表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 16:39,
96738,107年房屋稅徵績-徵期結束,嘉義縣財政稅務局,公共資訊,107年房屋稅徵績-徵期結束,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 16:41,
96739,107年房屋稅徵績-滯納期滿,嘉義縣財政稅務局,公共資訊,107年房屋稅徵績-滯納期滿,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 16:42,
96740,107年房屋稅查定,嘉義縣財政稅務局,公共資訊,107年房屋稅查定,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 16:43,
96741,107年1月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年1月土地增值稅報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 17:49,
96742,107年2月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年2月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 17:52,
96743,107年3月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年3月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 17:54,
96744,107年4月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年4月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 18:00,
96745,107年5月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年5月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 18:02,
96746,107年6月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年6月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 18:05,
96747,107年7月土地增值稅徵收報表,嘉義縣財政稅務局,公共資訊,107年7月土地增值稅徵收報表,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2018/12/25 00:00,2018/12/25 18:07,
96733,三重地政事務所新舊地號對照表-蘆洲區,新北市政府地政局,公共資訊,本資料集為本市三重地政事務所轄區之土地新舊地號對照表(資料更新截至107年11月30日)-蘆洲區,District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,每年,政府資料開放授權條款-第1版,,2018/12/25 10:29,2018/12/25 11:04,
96734,房屋標準單價等 新北市30層以下房屋構造標準單價表(103年6月30日以前適用),新北市政府財政局,公共資訊,103年6月30日前適用；單位：元/平方公尺,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11;field12;field13;field14;field15;field16;field17,每年,政府資料開放授權條款-第1版,,2018/12/25 11:24,2018/12/25 11:24,
96735,房屋標準單價等 新北市31層以上房屋構造標準單價表(103年6月30日以前適用),新北市政府財政局,公共資訊,103年6月30日前適用；單位：元/平方公尺；備註：本表以每3層為一級距，31層至60層每3層每平方公尺加價200元，61層至90層每3層每平方公尺加價160元，91層至105層每平方公尺加價140元。,field1;field2;field3;field4;field5;field6;field7;field8;field9,每年,政府資料開放授權條款-第1版,,2018/12/25 11:25,2018/12/25 11:25,
