資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
108005,基隆市不動產租賃實價登錄Open Data(108年7月租賃登記案件),基隆市政府地政處,購屋及遷徙,購屋及遷徙: 係指各種房屋租賃、房屋遷移、移民等相關資料集,鄉鎮市區;交易標的;土地區段位置建物區段門牌;土地面積平方公尺;都市土地使用分區;非都市土地使用分區;非都市土地使用編定;租賃年月日;租賃筆棟數;租賃層次;總樓層數;建物型態;主要用途;主要建材;建築完成年月;建物總面積平方公尺;建物現況格局-房;建物現況格局-廳;建物現況格局-衛;建物現況格局-隔間;有無管理組織;有無附傢俱;總額元;單價元平方公尺;車位類別;車位面積平方公尺;車位總額元;備註;編號,每月,政府資料開放授權條款-第1版,https://land.klcg.gov.tw/business/More?id=853;https://land.klcg.gov.tw/business/More?id=853;https://land.klcg.gov.tw/business/More?id=853,2019/09/16 00:00,
107549,法務部有關香港政府宣布暫緩「逃犯條例」修訂之說明,法務部國際及兩岸法律司,公共資訊,法務部有關香港政府宣布暫緩「逃犯條例」修訂之說明,資料名稱;資料連結,每年,政府資料開放授權條款-第1版,,2019/09/05 00:00,
108003,臺灣屏東地方法院108年8月會計報告,臺灣屏東地方法院,公共資訊,包括歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表、資本資產表、長期負債表、資本資產變動表、長期負債變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表等,,不更新,政府資料開放授權條款-第1版,,2019/09/16 00:00,
107823,108年8月會計月報,臺灣橋頭地方法院,公共資訊,108年8月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://ctd.judicial.gov.tw/UserFiles/10808月報XML.zip,2019/09/11 00:00,
107760,臺灣高等法院花蓮分院108年度08月份會計月報(XML),臺灣高等法院花蓮分院,公共資訊,臺灣高等法院花蓮分院108年度08月份會計月報9表(XML),會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://hlh.judicial.gov.tw/hlh/index.asp?struID=4&cid=16,2019/09/16 00:00,
107749,苗栗縣政府暨苗栗縣轄鄉鎮市公所截至108年8月底止公共債務情形,苗栗縣政府,公共資訊,苗栗縣政府暨苗栗縣轄鄉鎮市公所截至108年8月底止公共債務情形,,每月,政府資料開放授權條款-第1版,,2019/09/10 00:00,
108007,苗栗縣政府截至108年8月底止公共債務情形,苗栗縣政府,公共資訊,苗栗縣政府截至108年8月底止公共債務情形,,每月,政府資料開放授權條款-第1版,,2019/09/16 00:00,
108011,108年度中央政府總預算半年結算收支簡明比較分析表,行政院主計總處,公共資訊,項目、預算數、執行數、執行數占預算數百分比,會計年度;項目;預算數;執行數;執行數占預算數百分比,不更新,政府資料開放授權條款-第1版,,2019/09/16 00:00,
108012,年度中央政府總預算半年結算歲入歲出簡明比較分析表,行政院主計總處,公共資訊,項目、預算數、分配數、執行數、執行數占分配數百分比、已分配尚未執行數,會計年度;項目;預算數;分配數;執行數;執行數占分配數百分比;已分配尚未執行數,不更新,政府資料開放授權條款-第1版,,2019/09/16 00:00,
