資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
95802,第八河川局最新消息,經濟部水利署,公共資訊,"經濟部水利署第八河川局係轄管中央管河川卑南溪及臺東海岸之河川、海堤、中央管排水構造物之興設與維護,辦理防汛及搶修、歲修、年度工程擬定與陳報,經管河川、海岸及排水空間利用及維護管理等事項,並進行水文調查業務(包括地 雨量表水、地下水)水利工程規劃設計需要長期確實之水文資料蒐集整理分析，藉以掌握洪水預報之功能減少災害,另辦理水利工程用地調查、徵收、價購等計畫之擬定於執行事項等,第八河川局全球資訊網頁係架構於經濟部水利署全球資訊網系統下,此最新消息之揭示資料集係包含第八河川局各業管課室一般執行與民眾權益相關公示資料。",avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每日,政府資料開放授權條款-第1版,http://www.wra08.gov.tw/12822/12850/12851/;http://www.wra08.gov.tw/12822/12850/12851/;http://www.wra08.gov.tw/12822/12850/12851/,2018/11/20 13:46,2018/12/01 14:10,
95803,第五河川局最新消息,經濟部水利署,公共資訊,提供經濟部水利署第五河川局最新公告之訊息，包括最新新聞稿之發佈、最新公告、即時及歷史疏濬公告、即時河川水位資訊、各項標案之招標公告、政府機關各單位發布之重要資訊政策及本局職缺徵才等相關訊息，使民眾透過本局全球資訊網之最新消息，除可於颱風豪雨期間，隨時了解本局轄區之河川水位之即時情況，進而了解居家附近有無淹水等情事外，亦可提升民眾之防災意識，達到防災減災之效果與全民防災之目的;且也可經由本局公告之招標及歷史疏濬等公告事項等，了解本局河川疏濬及工程案件之進度，隨時了解及掌握全局即時之重要事項及資訊，以達資料透明化之目的。,Category;Content;EndDate;Identifier;PublishDate;Title;URL,每日,政府資料開放授權條款-第1版,http://www.wra05.gov.tw;http://www.wra05.gov.tw;http://www.wra05.gov.tw,2018/11/20 13:46,2018/12/01 14:31,
95804,第六河川局最新消息,經濟部水利署,公共資訊,為使經濟部水利署第六河川局轄管業務區域所發生資訊，民眾能迅速簡便取得，於本局全球資訊網設置最新公告，用以提供各項訊息，包括最新新聞稿之發佈、最新公告、即時及歷史疏濬公告、即時河川水位資訊、各項標案之招標公告、政府機關各單位發布之重要資訊政策及本局職缺徵才等相關訊息，使民眾透過本局全球資訊網之最新消息，除可於颱風豪雨期間，隨時了解本局轄區之河川水位之即時情況，進而了解居家附近有無淹水等情事外，亦可提升民眾之防災意識，達到防災減災之效果與全民防災之目的;且也可經由本局公告之招標及歷史疏濬等公告事項等，了解本局河川疏濬及工程案件之進度，隨時了解及掌握全局即時之重要事項及資訊，以達資料透明化之目的。,avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每日,政府資料開放授權條款-第1版,https://www.wra06.gov.tw/;https://www.wra06.gov.tw/;https://www.wra06.gov.tw/,2018/11/20 13:46,2018/12/01 14:41,
95805,施工補充說明書及其附件,經濟部水利署,公共資訊,一、提供「施工補充說明書」及其附件，包含「附件1 - 經濟部水利署暨所屬機關工程施工進度控管注意事項」、「附件2 - 公共工程汛期工地防災減災作業要點」、「附件3 - 經濟部水利署及所屬機關植栽工程驗收及養護規定」、「附件4 - 經濟部水利署水工機械或機電工程操作、維護資料及訓練規定」、「附件5 - 公共工程趕工實施要點」。 二、契約文件若有相互衝突或不一致之情形者，除另有規定外，其適用之優先順序為契約本文(含附錄)、投標須知、開決標紀錄、圖說、施工補充說明書、工程標單、規範、依契約所提出之履約文件或資料。上述同一文件或圖書，其採用之優先順序以發給時間較近者優先適用。,Title;URL,每日,政府資料開放授權條款-第1版,http://wralaw.wra.gov.tw/wralawgip/cp.jsp?displayLaw=true&lawId=402899ba3422169b01343b387ae60036;http://wralaw.wra.gov.tw/wralawgip/cp.jsp?displayLaw=true&lawId=402899ba3422169b01343b387ae60036;http://wralaw.wra.gov.tw/wralawgip/cp.jsp?displayLaw=true&lawId=402899ba3422169b01343b387ae60036,2018/11/20 13:46,2018/12/01 14:47,
95806,鯉魚潭水庫每日水情資訊,經濟部水利署,公共資訊,本資料集主要係提供台灣地區三義鯉魚潭水庫之每日水情資訊，包含水庫名稱、水庫水位、蓄水率以及觀測時間等資料。本資料集來源係由本局「中區水情中心資訊系統」產出；水庫水位資料由水庫管理單位依水庫為自記儀器每小時自動產生或人工每日觀測一次，負責轉入或登錄。本資料庫管理系統所提供之資料，主要為提供給關心鯉魚潭水庫水情之各界，了解目前水庫最新之水情變化，作為旅遊、經濟建設分析、學術研究、防災防汛及水源調配…等之依據。針對攝影愛好者，如果想要拍攝鯉魚潭水庫鋸齒堰之溢流景象，可於前往該地區前先觀測水位資料，如果水位超過300公尺，表示鯉魚潭水庫已開始溢流。,Date;ReservoirIdentifier;ReservoirName;WaterLevel;WaterStorageRate,每小時,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=340;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=340;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=340,2018/11/20 13:46,2018/12/01 14:50,
95807,第六河川局常見問題,經濟部水利署,公共資訊,經濟部水利署第六河川局業務區域位於台灣西南部，北至台南市急水溪，南至高屏溪，涵蓋嘉義縣、台南市及高雄市為使民眾能瞭解本局轄管業務，以及使民眾向本局洽辦業務時能節省時間，避免錯誤的資訊造成不必要的資源浪費。本局針對民眾洽辦業務常出現之問題，例如河川公地種植許可使用申請、河川公地許可種植植物其種類及高度限制、水道治理計畫用地範圍圖、水權登記申請、防洪等等問題，予以整理提出說明，並歸納為申請案件、水文資料提供、防汛、河川排水管理等4個類型，以提供民眾能藉由本局全球資訊網所設置常見問題得到說明，解決民眾疑惑以提高行政效益。,avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每年,政府資料開放授權條款-第1版,https://www.wra06.gov.tw/;https://www.wra06.gov.tw/;https://www.wra06.gov.tw/,2018/11/20 13:46,2018/12/01 14:52,
95808,第七河川局最新消息,經濟部水利署,公共資訊,提供經濟部水利署第七河川局最新公告之訊息，包括最新新聞稿之發佈、最新公告、即時及歷史疏濬公告、即時河川水位資訊、各項標案之招標公告、政府機關各單位發布之重要資訊政策及本局職缺徵才等相關訊息，使民眾透過本局全球資訊網之最新消息，除可於颱風豪雨期間，隨時了解本局轄區之河川水位之即時情況，進而了解居家附近有無淹水等情事外，亦可提升民眾之防災意識，達到防災減災之效果與全民防災之目的;且也可經由本局公告之招標及歷史疏濬等公告事項等，了解本局河川疏濬及工程案件之進度，隨時了解及掌握全局即時之重要事項及資訊，以達資料透明化之目的。,avBegin;avEnd;iCUItem;iDept;NewsCat;sTitle;xBody;xURL,每日,政府資料開放授權條款-第1版,https://www.wra07.gov.tw/12594/12612/12613/;https://www.wra07.gov.tw/12594/12612/12613/;https://www.wra07.gov.tw/12594/12612/12613/,2018/11/20 13:46,2018/12/01 14:55,
95792,101年度宜蘭縣統籌分配稅款明細表,宜蘭縣政府,公共資訊,101年度宜蘭縣統籌分配稅款明細表,無主要欄位 無主要欄位說明,每日,政府資料開放授權條款-第1版,,2018/12/01 00:00,2018/12/01 04:41,無
95793,102年度宜蘭縣統籌分配稅款明細表,宜蘭縣政府,公共資訊,102年度宜蘭縣統籌分配稅款明細表,無主要欄位 無主要欄位說明,每日,政府資料開放授權條款-第1版,,2018/12/01 00:00,2018/12/01 04:41,無
95794,104年度宜蘭縣統籌分配稅款明細表,宜蘭縣政府,公共資訊,104年度宜蘭縣統籌分配稅款明細表,無主要欄位 無主要欄位說明,每日,政府資料開放授權條款-第1版,,2018/12/01 00:00,2018/12/01 04:43,無
