資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
102702,新北市105年公告土地現值及公告地價-三峽區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，可多多利用下載。公告土地現值資料量較大，請參考資料使用說明以及常見問答後再行取得資料。-三峽區,country;segment;official_value;district;lid;official_price,每年,政府資料開放授權條款-第1版,http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx;http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx,2016/11/14 17:16,OpenAPI說明文件:https://drive.google.com/uc?id=1nFrkc9LOTs9pfWh_ZoT_i1chA9MRq7Xe
102703,新北市105年公告土地現值及公告地價-三重區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，可多多利用下載。公告土地現值資料量較大，請參考資料使用說明以及常見問答後再行取得資料。-三重區,country;segment;official_value;district;lid;official_price,每年,政府資料開放授權條款-第1版,http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx;http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx,2016/11/14 17:21,OpenAPI說明文件:https://drive.google.com/uc?id=1nFrkc9LOTs9pfWh_ZoT_i1chA9MRq7Xe
102704,新北市104年公告土地現值-三重區,新北市政府地政局,購屋及遷徙,為推動不動產買賣資訊透明化，建立便立親合的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民間，可多多下載利用，公告土地現值資料量較大，請參考資料使用說明以及常見問答後再行取得資料。-三重區,country;district;segment;lid;official_value,每年,政府資料開放授權條款-第1版,http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx;http://e-land.land.ntpc.gov.tw/NTPCELand/Portal/Land.aspx,2016/11/14 12:18,OpenAPI說明文件:https://drive.google.com/uc?id=1J-In4Pk9MhqG9f4bhbLBNCB_TW624X-j
