資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
94769,臺灣桃園地方法院107年10月份會計報告,臺灣桃園地方法院,公共資訊,臺灣桃園地方法院107年10月份會計報告,,不更新,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 09:08,
94771,臺灣高等法院花蓮分院107年度10月份會計月報(XML),臺灣高等法院花蓮分院,公共資訊,臺灣高等法院花蓮分院107年度10月份會計月報9表(XML),會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://hlh.judicial.gov.tw/hlh/index.asp?struID=4&cid=16,2018/11/14 00:00,2018/11/14 14:30,
94808,臺灣花蓮地方法院107年10月份會計月報(XML檔),臺灣花蓮地方法院,公共資訊,歲入累計表等13表件,,不更新,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 09:26,
94819,臺灣新竹地方法院107年10月會計月報,臺灣新竹地方法院,公共資訊,歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表、資本資產表、資本資產變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 11:01,
94825,臺灣基隆地方法院107年度10月份會計月報,臺灣基隆地方法院,公共資訊,107年度10月份會計月報：歲入累計表等11張,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,不更新,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 15:23,
94829,上市公司資產負債表(金融業),金融監督管理委員會證券期貨局,投資理財,上市公司資產負債表(金融業),出表日期;年度;季別;公司代號;公司名稱;現金及約當現金;存放央行及拆借銀行同業;透過損益按公允價值衡量之金融資產;透過其他綜合損益按公允價值衡量之金融資產;避險之衍生金融資產淨額;附賣回票券及債券投資淨額;按攤銷後成本衡量之債務工具投資;應收款項－淨額;當期所得稅資產;待出售資產－淨額;待分配予業主之資產－淨額;貼現及放款－淨額;備供出售金融資產－淨額;持有至到期日金融資產－淨額;採用權益法之投資－淨額;受限制資產－淨額;其他金融資產－淨額;不動產及設備－淨額;投資性不動產投資－淨額;無形資產－淨額;遞延所得稅資產;其他資產－淨額;資產總額;央行及銀行同業存款;央行及同業融資;透過損益按公允價值衡量之金融負債;避險之衍生金融負債－淨額;附買回票券及債券負債;應付款項;當期所得稅負債;與待出售資產直接相關之負債;存款及匯款;應付金融債券;應付公司債;特別股負債;其他金融負債;負債準備;遞延所得稅負債;其他負債;負債總額;股本;資本公積;保留盈餘;其他權益;庫藏股票;歸屬於母公司業主之權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;權益總額;母公司暨子公司所持有之母公司庫藏股股數（單位：股）;待註銷股本股數（單位：股）;預收股款（權益項下）之約當發行股數（單位：股）;每股參考淨值,每季,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 17:59,授權說明網址: http://data.gov.tw/license
94830,上市公司資產負債表(證券期貨業),金融監督管理委員會證券期貨局,投資理財,上市公司資產負債表(證券期貨業),出表日期;年度;季別;公司代號;公司名稱;流動資產;非流動資產;資產合計;流動負債;非流動負債;負債合計;股本;資本公積;保留盈餘（或累積虧損）;其他權益;庫藏股票;歸屬於母公司業主權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;權益合計;預收股款（權益項下）之約當發行股數（單位：股）;待註銷股本股數（單位：股）;母公司暨子公司持有之母公司庫藏股股數（單位：股）;每股參考淨值,每季,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 17:59,授權說明網址: http://data.gov.tw/license
94831,上市公司資產負債表(一般業),金融監督管理委員會證券期貨局,投資理財,上市公司資產負債表(一般業),出表日期;年度;季別;公司代號;公司名稱;流動資產;非流動資產;資產總計;流動負債;非流動負債;負債總計;股本;資本公積;保留盈餘;其他權益;庫藏股票;歸屬於母公司業主之權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;權益總計;待註銷股本股數（單位：股）;預收股款（權益項下）之約當發行股數（單位：股）;母公司暨子公司所持有之母公司庫藏股股數（單位：股）;每股參考淨值,每季,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 17:59,授權說明網址: http://data.gov.tw/license
94832,上市公司資產負債表(金控業),金融監督管理委員會證券期貨局,投資理財,上市公司資產負債表(金控業),出表日期;年度;季別;公司代號;公司名稱;現金及約當現金;存放央行及拆借金融同業;透過損益按公允價值衡量之金融資產;備供出售金融資產－淨額;透過其他綜合損益按公允價值衡量之金融資產;避險之衍生金融資產;按攤銷後成本衡量之債務工具投資;附賣回票券及債券投資;應收款項－淨額;當期所得稅資產;待出售資產－淨額;貼現及放款－淨額;再保險合約資產－淨額;持有至到期日金融資產－淨額;採用權益法之投資－淨額;受限制資產－淨額;其他金融資產－淨額;投資性不動產－淨額;不動產及設備－淨額;無形資產－淨額;遞延所得稅資產;其他資產－淨額;資產總額;央行及金融同業存款;央行及同業融資;透過損益按公允價值衡量之金融負債;避險之衍生金融負債;附買回票券及債券負債;應付商業本票－淨額;應付款項;當期所得稅負債;與待出售資產直接相關之負債;存款及匯款;應付債券;其他借款;特別股負債;負債準備;其他金融負債;遞延所得稅負債;其他負債;負債總額;股本;資本公積;保留盈餘;其他權益;庫藏股票;共同控制下前手權益;歸屬於母公司業主之權益;非控制權益;權益總額;預收股款（權益項下）之約當發行股數（單位：股）;待註銷股本股數（單位：股）;母公司暨子公司所持有之母公司庫藏股股數（單位：股）;每股參考淨值,每季,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 17:59,授權說明網址: http://data.gov.tw/license
94833,上市公司資產負債表(保險業),金融監督管理委員會證券期貨局,投資理財,上市公司資產負債表(保險業),出表日期;年度;季別;公司代號;公司名稱;現金及約當現金;應收款項;本期所得稅資產;待出售資產;投資;再保險合約資產;不動產及設備;無形資產;遞延所得稅資產;其他資產;分離帳戶保險商品資產;資產總計;短期債務;應付款項;本期所得稅負債;與待出售資產直接相關之負債;透過損益按公允價值衡量之金融負債;避險之衍生金融負債;以成本衡量之金融負債;應付債券;特別股負債;其他金融負債;保險負債;具金融商品性質之保險契約準備;外匯價格變動準備;負債準備;遞延所得稅負債;其他負債;分離帳戶保險商品負債;負債總計;股本;資本公積;保留盈餘;其他權益;庫藏股票;歸屬於母公司業主之權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;權益總計;母公司暨子公司所持有之母公司庫藏股股數（單位：股）;待註銷股本股數（單位：股）;預收股款（權益項下）之約當發行股數（單位：股）;每股參考淨值,每季,政府資料開放授權條款-第1版,,2018/11/14 00:00,2018/11/14 17:59,授權說明網址: http://data.gov.tw/license
