資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
101306,103年地價稅稅源統計表,花蓮縣政府,公共資訊,103年地價稅稅源統計表,詳如資料集內容,每日,政府資料開放授權條款-第1版,,2019/04/25 00:00,無
101307,104年地價稅稅源統計表,花蓮縣政府,公共資訊,104年地價稅稅源統計表,詳如資料集內容,每日,政府資料開放授權條款-第1版,,2019/04/25 00:00,無
101297,106年營利事業按收入級距核定情形統計表,財政部臺北國稅局,公共資訊,營利事業按收入級距核定情形統計表,營業收入級距;營利事業核定家數;核定營業收入淨額;核定全年所得額;核定課稅所得額;核定應納稅額;未分配盈餘核定家數;未分配盈餘核定應納稅額,每年,政府資料開放授權條款-第1版,,2019/04/24 00:00,
101298,107年臺北國稅局營利事業單位數統計表,財政部臺北國稅局,公共資訊,臺北國稅局營利事業單位數統計表,稽徵機關別\營業額;十億元以上;五億至十億;一億至五億;三千萬至一億元;三千萬元以下;無營業額;小計;查定課徵單位數,每年,政府資料開放授權條款-第1版,,2019/04/24 00:00,
