對民間團體及個人之補(捐)助,促進轉型正義委員會108年度對民間團體及個人之補(捐)助,114235,促進轉型正義委員會108年度截至第三季對民間團體及個人之補(捐)助情形表,,促進轉型正義委員會
截至對民間團體及個人之補(捐)助情形,促進轉型正義委員會108年度截至第四季對民間團體及個人之補(捐)助情形,114237,促進轉型正義委員會108年度截至第四季對民間團體及個人之補(捐)助情形表,,促進轉型正義委員會
截至對民間團體及個人之補(捐)助情形,促進轉型正義委員會109年度截至第一季對民間團體及個人之補(捐)助情形,120282,促進轉型正義委員會109年度截至第一季對民間團體及個人之補(捐)助情形,,促進轉型正義委員會
截至對民間團體及個人之補(捐)助情形表,促進轉型正義委員會109年度截至第二季對民間團體及個人之補(捐)助情形表,128372,促進轉型正義委員會109年度截至第二季對民間團體及個人之補(捐)助情形表,,促進轉型正義委員會
預算案,促進轉型正義委員會108年度預算案,107509,促進轉型正義委員會108年度預算案,,促進轉型正義委員會
預算案,促進轉型正義委員會109年度預算案,108179,促進轉型正義委員會109年度預算案,,促進轉型正義委員會
