國際收支統計-金融帳-證券投資,['6559']
國際金融業務分行主要資產負債期限分析表,['10824']
國際金融業務分行外匯與衍生性金融商品交易量 (Turnovers of Foreign Exchange Trading and Derivative Products Trading),['81396']
國際金融業務分行家數及財務狀況(Number and Financial Conditions of OBUs),['81393']
國際金融業務分行資產負債統計表,['10825']
外匯存底,['6025']
外國及大陸銀行在台分行資產負債統計表,['6540']
外幣結算平台業務(美元/人民幣/日圓/歐元)參加金融機構一覽表,['13683']
央行同資系統-清算業務別交易金額月統計,['25136']
央行同資系統跨行清算專戶留存日平均餘額,['25141']
央行貼放利率,['6022']
委託調查及會費捐助表,['20848']
存放款加權平均利率,['6550']
存款、其他各種負債及信託資金準備率,['10795']
存款不足退票張數、金額統計表,['13673']
存款及其他各種負債準備金比率,['7230']
實體公債還本付息業務承轉行及其經辦行名單,['13649']
我國與主要貿易對手通貨對美元之匯率,['6563']
拒絕往來戶戶數統計表,['13674']
捐助表,['23950']
掛失止付票據張數統計表,['13679']
支票存款帳戶戶數統計表,['13676']
支票存款戶行業別統計表,['24757']
政策宣導之廣告預算執行情形表,['23952']
新聞稿,['9476']
新臺幣硬幣發行年度版別一覽表,['13641']
新臺幣防偽辨識,['6532']
日平均外匯交易量與外匯淨部位,['10784']
書面之公共工程及採購契約,['10819']
會計報表,['18805']
本國銀行員工貢獻度統計表,['13662']
本國銀行存放比率統計表,['13663']
本國銀行存款借記總額及回轉次數,['10780']
本國銀行權益報酬率統計表,['13661']
本國銀行海外分支單位統計表,['13655']
本國銀行營運績效季報定義說明,['10735']
本國銀行營運績效季報編輯說明,['10734']
本國銀行資本適足比率統計表,['13658']
本國銀行資產報酬率統計表,['13660']
本國銀行資產負債統計表,['6539']
本國銀行逾放比率趨勢圖,['13659']
標售定期存單資訊,['7243']
每季新臺幣發行數額及準備狀況,['6026']
每日通貨發行數,['6995']
民營企業資產負債統計表(按各業大類別),['7240']
民營企業資產負債統計表(按大、中、小企業),['7241']
決算報表,['10801']
法令規章-令函,['37308']
法令規章-法規,['34103']
法令規章-草案預告,['37309']
消費者貸款及建築貸款餘額,['6549']
清算銀行及經辦行名單,['9737']
準備貨幣,['6533']
準備貨幣變動因素分析,['10754']
火焚、污破損新臺幣券幣鑑定暨兌換作業,['6431']
理監事聯席會議決議,['20947']
產物保險公司資產負債統計表,['10826']
當月金融情況,['10751']
登錄國庫券還本付息概況表,['13648']
直接金融—間接金融存量,['10748']
直接金融—間接金融流量,['10747']
短期票券之發行及餘額(年報),['13644']
研究報告清單,['15423']
票券市場統計-交易金額對象別,['10828']
票券市場統計-交易金額工具別,['10827']
票券市場統計-發行、償還及餘額,['10829']
票券金融公司資產負債統計表,['10830']
票據交換及存款不足退票數額,['10831']
票據交換張數、金額統計表,['13672']
經營政策,['10352']
美元兌新臺幣遠期匯率,['10817']
美元即期匯率及遠期信用狀美金利率,['10818']
股票市場統計-股票交易與股價指數,['10804']
股票市場統計-股票信用交易,['10805']
證券劃撥存款,['10749']
證券金融公司資產負債統計表,['10851']
警政單位偵破偽造新臺幣鈔券/硬幣案件獎金發給標準,['22133']
貨幣市場共同基金資產負債統計表,['10765']
貨幣市場利率,['10832']
貨幣機構各類存款比重(年報),['13646']
貨幣機構資金來源與用途(年報),['13647']
貨幣總計數,['6024']
貨幣總計數M1B變動因素分析,['10755']
貨幣總計數M2變動因素分析,['10756']
資料開放行動方案,['28482']
資料開放諮詢小組會議紀錄,['18434']
資本市場利率,['10840']
資產負債統計表,['6536']
資金流量表,['7236']
跨行業務參加金融機構一覽表,['13681']
跨行自動化服務機器業務(國際卡)參加金融機構一覽表,['13685']
跨行自動化服務機器業務(金融卡)參加金融機構一覽表,['13684']
跨行通匯業務參加金融機構一覽表,['13682']
辦理人民申請提供政府資訊案件統計,['11073']
辦理國庫及公債業務金融機構及證券商單位統計表,['13657']
辦理外匯業務金融機構分支單位統計表,['13656']
農漁會信用部資產負債統計表,['10761']
重要金融指標,['10746']
金融健全參考指標,['9475']
金融健全參考指標-不動產市場,['23854']
金融健全參考指標-企業部門,['23852']
金融健全參考指標-家庭部門,['23853']
金融健全參考指標-市場流動性,['23855']
金融健全參考指標-本國銀行,['23851']
金融卡消費購物特約商店位置檔案,['24315']
金融性資產負債餘額表,['7237']
金融業拆款利率,['10808']
金融業拆款市場交易結構-按機構別(年報),['13645']
金融業拆款統計表-拆款金額期限別,['10809']
金融業拆款統計表-拆款金額機構別,['10810']
金融業拆款統計表-拆款餘額期限別,['10811']
金融業拆款統計表-拆款餘額機構別,['10812']
金融業隔夜拆款利率,['6023']
金融機構一覽表,['10814']
金融機構使用本行日間透支系統交易量(總數)統計,['25477']
金融機構流動準備計提情形,['20467']
金融機構準備金,['10815']
金融機構牌告存放款利率,['9464']
金融機構總分支單位統計表,['13652']
銀行存放央行準備金乙戶利率,['20470']
銀行業利率,['10847']
銀行衍生性金融商品交易量內容分析圖,['13669']
銀行衍生性金融商品交易量統計,['11051']
銀行衍生性金融商品交易量統計圖,['13668']
銀行衍生性金融商品交易量統計彙總表,['10844']
銀行衍生性金融商品名目本金餘額內容分析圖,['13671']
銀行衍生性金融商品名目本金餘額統計,['10845']
銀行衍生性金融商品名目本金餘額統計圖,['13670']
銀行衍生性金融商品名目本金餘額統計彙總表,['10846']
銀行辦理人民幣業務概況,['9474']
銀行間市場新臺幣對美元收盤匯率,['7232']
間接金融年增率,['10834']
預算報表,['10843']
