海基會收受中國大陸公證書分類統計,['97668']
海基會服務電話資訊,['59265']
海基會為民服務案件數,['59267']
海基會緊急服務專線接聽數,['59266']
海基會董監事名單,['59268']
海基會辦理文書驗證統計表,['59269']
海外臺灣學校及大陸地區臺商學校典範教師獎實施要點,['58011']
海峽兩岸共同打擊犯罪及司法互助協議,['9072']
海峽兩岸共同打擊犯罪及司法互助協議案件統計總表,['97672']
海峽兩岸智慧財產權保護合作協議,['9073']
海峽兩岸醫藥衛生合作協議,['9074']
海峽兩岸食品安全協議,['9071']
港澳事務法規,['9090']
港澳季報,['55218']
港澳學生來臺就學法規,['55223']
港澳學生來臺就學網站,['55224']
港澳專科以上學校認可名冊,['97678']
港澳居民來臺統計表,['7890']
港澳旅遊資訊,['9092']
港澳留臺學生在臺工作法規,['55225']
港澳留臺學生在臺工作網站,['55226']
澳門事務處最新消息一覽表,['52574']
澳門居民來臺居留、定居人數統計表,['97674']
澳門情勢資料庫,['55216']
用電資訊,['58828']
發布旅遊警示事由相關業務協處分工,['59270']
發文代字表,['59603']
社會交流法規彙編,['9088']
科技部補助兩岸科技學術研討會作業要點,['42589']
科技部補助延攬客座科技人才作業要點,['42586']
科技部補助邀請大陸地區暨香港澳門科技人士來臺短期訪問作業要點,['42588']
經費累計表,['20385']
經費類平衡表,['20386']
經費類現金出納表,['20387']
綠色採購總金額及比率,['58827']
總統大陸政策談話,['42540']
總統港澳工作談話,['9089']
自起發布中國大陸及香港、澳門旅遊警示資料,['42627']
臺商實用資訊,['119365']
臺商對中國大陸投資金額統計,['7473']
臺商張老師月刊諮詢解答,['119364']
臺港澳交流各項業務主管機關,['9091']
臺港澳交流答客問,['55220']
臺港澳關係相關網站,['55227']
臺港澳青年交流,['55219']
臺港相互投資金額統計表,['7462']
臺澳相互投資金額統計表,['7463']
臺灣及中國大陸利率及匯率之比較,['7496']
臺灣及中國大陸對南韓之貿易統計,['7491']
臺灣及中國大陸對日本之貿易統計,['7488']
臺灣及中國大陸對東協10國之貿易統計,['7490']
臺灣及中國大陸對歐盟之貿易統計,['7489']
臺灣及中國大陸對美國之貿易統計,['7487']
臺灣及中國大陸對香港之貿易統計,['7469']
臺灣及中國大陸貿易統計,['7485']
臺灣及中國大陸輸往東協10國產品市場比較,['7495']
臺灣地區民間團體對大陸地區捐贈獎助學金審查要點,['97697']
臺灣地區與大陸地區人民關係條例暨兩岸歷次協議(含香港澳門關係條例),['59273']
臺灣地區與大陸地區人民關係條例暨施行細則解釋彙編,['59275']
臺灣對中國大陸、香港順差統計,['7472']
臺灣對中國大陸及香港出口主要產品,['7470']
臺灣對澳門貿易統計表,['7083']
臺灣對香港貿易統計表,['7459']
臺灣自中國大陸及香港進口主要產品,['7471']
臺灣與主要國家(地區)貿易金額統計,['7486']
臺灣藝人赴中國大陸表演應注意事項,['97703']
臺灣青年學生赴陸發展應做好的功課：風險評估,['97704']
與縣市政府合辦「大陸事務研習計畫」學員性別統計表,['97659']
行政院及所屬各機關公務人員因公赴香港澳門通報作業要點,['33250']
行政院提供政府資訊收費標準表,['58089']
行政院院長口頭施政報告：有關兩岸關係談話內容,['58664']
行政院院長書面施政報告：有關兩岸關係內容,['58663']
補(捐)助經費一覽表,['13199']
補助大陸地區臺商學校作業要點,['97687']
補助經費分析表,['12936']
補助辦理兩岸民間交流活動作業要點,['58662']
諮詢委員遴聘及集會辦法,['58992']
財團法人海峽交流基金會之政府核派人員資料,['13205']
財團法人臺港經濟文化合作策進會之政府核派人員資料,['33252']
財團法人臺港經濟文化合作策進會董事監察人聯席會議相關數據,['97679']
資料開放盤點表,['33253']
資料開放行動策略,['27749']
資料集摘要索引,['61120']
資本支出分析表,['12937']
赴中國大陸旅遊人數,['7480']
輿論關注大陸涉及人權一覽表：涉及人身、集會自由,['58666']
輿論關注大陸涉及人權一覽表：涉及宗教自由,['58665']
輿論關注大陸涉及人權一覽表：涉及維權人士,['58667']
輿論關注大陸涉及人權一覽表：涉及言論自由,['58668']
辦公房舍明細表,['12939']
辦理政策宣導相關之廣告彙整表,['13203']
近年來大陸地區學生來臺就學/研修人數,['33248']
進口出版品電影片錄影節目及廣播電視節目原產地認定基準,['58017']
金門地區歷年小3通人數統計,['7892']
金馬「小3通」航運往來統計,['7481']
金馬地區歷年小3通人數統計,['7894']
金馬小3通航運人員往來統計月報,['6106']
陸委會兩岸經貿諮詢服務統計,['9082']
陸委會列席國會報告(立法院第9屆第1會期),['57942']
陸委會列席國會報告(立法院第9屆第2會期),['57940']
陸委會列席國會報告(立法院第9屆第3會期),['57938']
陸委會官網流量統計資料,['58834']
陸委會師生拜會統計資料,['61113']
陸委會平面廣告,['59611']
陸委會摺頁文宣,['58949']
陸委會新聞稿,['55229']
陸委會短片列表,['59612']
陸委會赴策進會行政監督實地查核項目紀錄表,['55221']
陸資來臺投資業別統計,['7478']
電視業海外行銷補助要點,['97701']
預算員額明細表,['12938']
香港對大陸地區貿易統計表,['7891']
香港居民來臺居留、定居人數統計表,['33249']
香港情勢資料庫,['42647']
香港澳門政府駐臺辦事處聯繫資訊,['42648']
香港辦事處最新消息一覽表,['43180']
香港辦事處辦理急難救助業務統計一覽表,['79339']
馬祖地區歷年小3通人數統計,['7893']
駐港澳機構洽詢電話表,['33251']
