資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺灣原創流行音樂大獎歷屆得獎入圍名單,58038,「臺灣原創流行音樂大獎」由文化部影視及流行音樂產業局、原住民族委員會、客家委員會共同主辦，自93年舉辦以來，108年已邁入第16屆辦理。臺灣原創流行音樂大獎鼓勵音樂創作者以臺灣最獨特的「河洛語、客語、原住民族語」，進行音樂詞曲創作，傳承臺灣傳統的語言文化，並讓該獎項成為臺灣最具指標性的母語音樂創作平台。,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Url;PageUrl;Mutilattach,文化部影視及流行音樂產業局
金音創作獎歷屆入圍得獎名單,58040,金音創作獎的目的在尋找新世代台灣音樂的創作力，故獎項設計有多項突破與創新，除了設置單曲獎項並接受數位發表的音樂作品外，同時衡酌國內音樂生態創設搖滾、民謠、電音及嘻哈等4類不同樂風的獎項，並於第二屆起增設爵士及節奏藍調兩類樂風獎項，讓金音創作獎能涵跨更多元之樂風種類。另外，為順應流行音樂的發展趨勢，設置「最佳現場演出獎」及「最佳樂手獎」；為獎勵海外華語創作，設置「海外創作音樂獎」。,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Url;PageUrl;Mutilattach,文化部影視及流行音樂產業局
電影片分級及相關資訊,59820,電影片分級及相關資訊查詢,年度;分級證明字號;級別;中文片名/外文片名;國別/語別;出品公司;映演時間<br>;映演時間,文化部影視及流行音樂產業局
101年至108年廣播金鐘獎得獎名單,59822,本局委託承辦廠商三立電視股份有限公司辦理105年、106年廣播金鐘獎頒獎典禮及相關宣傳推廣活動，該公司建置活動官方網站傳遞最新消息，其中設有101年至108年之廣播金鐘獎得獎名單，供民眾查詢利用。,年度;類別;獎項;得獎名單,文化部影視及流行音樂產業局
101年至108年電視金鐘獎得獎名單,59823,本局委託承辦廠商三立電視股份有限公司辦理105年、106年電視金鐘獎頒獎典禮及相關宣傳推廣活動，該公司建置活動官方網站傳遞最新消息，其中設有101年至106年之電視金鐘獎得獎名單，供民眾查詢利用。,年度;類別;獎項;得獎名單,文化部影視及流行音樂產業局
第1屆至第10屆電視節目劇本創作獎得獎名單,59824,提供第1屆至第10屆電視節目劇本創作獎得獎名單，供民眾查詢利用。,年度;類別;名次;劇本名稱;得獎者,文化部影視及流行音樂產業局
101年至108年金視獎得獎名單,59825,提供101年至108年金視獎得獎名單，供民眾查詢利用。,年度;獎項;得獎名單,文化部影視及流行音樂產業局
工藝中心影音目錄,68611,國立臺灣工藝研究發展中心導入文化部影音平台之開放資料。請於領域別詮釋資料參考網址下載介接說明文件。,category_i18n;meta_column_i18n;data,國立臺灣工藝研究發展中心
影視局國片暨紀錄片影像教育扎根活動資料,75278,文化部影視及流行音樂產業局之國片暨紀錄片影像教育扎根網站活動資料,title;kind;content;postdate;url;note;pic,文化部影視及流行音樂產業局
閱讀活動,77720,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之閱讀類型的藝文資訊。,version;UID;title;category;showInfo;showUnit;discountInfo;descriptionFilterHtml;imageUrl;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate,文化部
