職員、各官等人員性別統計表,['6627']
職員性別/學歷統計報表,['6625']
職員性別/考試情形統計報表,['6626']
聽證會 (刊登公報),['11111']
臺捷通訊傳播雙邊交流合作會議出國報告,['10164']
船舶基本資料(持有有效船舶電臺執照者),['29228']
虛擬行動網路服務經營者名單及其合作業者一覽表,['7161']
號碼可攜網路識別碼核配現況,['7165']
行動寬頻業務發展趨勢與監理機制分析主題及其重點,['10125']
行動寬頻用戶每月平均數據用量,['30770']
行動應用軟體服務績效調查表,['10099']
行動網路識別碼核配現況,['7167']
行動通信基地臺共站共構統計表,['6877']
行動通信學生優惠資費專案,['6876']
行動通信業務基地臺統計(區分鄉鎮),['41256']
行動通信業務基地臺統計數,['22592']
行動通信業務營業收入,['22590']
行動通信業務用戶統計數,['22589']
行動通信業務通話分鐘數,['22591']
行動通信用戶平均每月簡訊用量,['30771']
行動通信用戶平均每月通話時間,['30773']
行動通信網路業務用戶號碼核配現況,['7171']
行動電話業者名單,['6828']
行政規則訂(修)定 (刊登公報),['11120']
衛星固定通信業務業者名單,['7152']
衛星廣播電視事業核處資料,['7158']
衛星電視員工人數、主管人數統計,['24875']
衛星電視家數、頻道數統計,['24180']
衛星電視營運概況統計,['24182']
衛星電視頻道屬性統計,['24181']
衛星電視頻道播放節目來源比例,['24188']
衛星電視頻道播放節目按新播、首播及重播分之時數與比例,['24185']
衛星電視頻道播放節目按自製、外購分之時數與比例,['24186']
衛星電視頻道播放節目按製作規格分之時數與比例,['24187']
衛星頻道節目供應事業名單,['6869']
記者會,['11129']
訴願業務統計,['6629']
請託關說登錄事件統計,['7151']
辦理公告案、許可案及處分案統計表,['22600']
通訊傳播之地區監理處每月查核取締統計,['7153']
通訊傳播之地區監理處每月證照統計,['7155']
通訊傳播監督管理基金會計月報,"['19695', '27650', '44056', '77320', '100945', '117564']"
通訊傳播監督管理基金附屬單位決算,['10170']
通訊傳播監督管理基金附屬單位預算,"['43952', '77755', '99218', '114577', '129185']"
通訊傳播監督管理基金附屬單位預算(法定預算),['19829']
通訊傳播監督管理基金附屬單位預算案,"['10117', '35362', '54771', '108185']"
通訊傳播監督管理基金附屬單位預算預算案,['12525']
長途電話電路數,['22594']
電信工程業家數統計,['24179']
電信工程業業者名單,['6582']
電信普及服務補助金額一覽表,['22602']
電信特殊號碼核配現況,['7173']
電信管制射頻器材型式認證件數與金額統計,['22603']
電信管制射頻器材經營許可執照,['29231']
