全球資訊網目錄樹架構,['85684']
兩公約初次國家人權報告(2012),['23011']
兩公約初次國家人權報告「結論性意見與建議」各部會辦理情形,['23530']
兩公約國家報告相關準則,['23532']
兩公約學習地圖講義,['23020']
兩公約種子培訓營總論講義,['14026']
兩公約第2次國家報告(2016),['77712']
兩公約第2次國家報告國際審查會議紀實,['103039']
兩公約第2次國家報告國際審查會議紀錄短片,['107582']
兩公約第2次國家報告紀實,['85654']
兩公約第2次國家報告紀錄短片,['99529']
兩公約講習會各論講義,['23021']
兩岸司法互助過程比想像中複雜，民眾表示不容易,['15689']
公務員廉政倫理規範,['95734']
公務員廉政倫理規範相關行政規則,['13562']
公務預算,['23078']
公有公共設施「費用負擔者」的國家賠償責任：以日本國家賠償法及實務運作為核心委託研究案,['14146']
公民與政治權利國際公約,['13392']
公民與政治權利國際公約及經濟社會文化權利國際公約施行法,['13421']
公職人員利益衝突迴避法,['90944']
公職人員利益衝突迴避法宣導說明會講義,['14083']
公職人員利益衝突迴避法考績評核宣導案例,['14085']
公職人員財產申報查詢窗口單1化及無紙化作業教育訓練講義,['14090']
公職人員財產申報系統操作宣導講義,['14092']
公職人員財產申報說明資料：如何查詢財產與所得資料？,['14088']
函釋：有關公司法第27條第1項但書規定，代表法人股東行使董事職務之自然人，是否為行政執行法第24條第4款所謂之『法人之負責人』疑義乙案,['28421']
函釋：有關地方稅、國稅與全民健康保險法之保險費、滯納金受償順序疑義乙案,['28423']
函釋：有關稅捐稽徵文書以電子文件下載之資訊軌跡紀錄，作為送達證明文件之可行性乙案,['46152']
函釋：有關稅捐稽徵機關就納稅義務人為全體公同共有人，且其中部分公同共有人已繳清核准分單稅捐案件之欠稅移送執行相關事宜,['28422']
刑事政策與犯罪研究論文集(15),['26309']
刑事政策與犯罪研究論文集(16)-7 「由台灣經驗談修復式司法理念之實踐」,['21244']
刑事政策與犯罪研究論文集(16)-「一般青少年、中止犯與持續犯生命歷程之比較」,['23407']
刑事政策與犯罪研究論文集(16)-「兩岸刑事訴訟管轄權移轉之探討-以歐洲刑事訴訟移轉管轄公約為中心 」,['23383']
刑事政策與犯罪研究論文集(16)-「再犯特性與風險因子之研究：以成年假釋人為例」,['23388']
刑事政策與犯罪研究論文集(16)-「刑事司法系統對家庭暴力處理現況與問題探討」,['23398']
刑事政策與犯罪研究論文集(16)-「北歐國家修復式司法實施制度之比較」,['23454']
刑事政策與犯罪研究論文集(16)-「對貪污揭弊者保護法制之檢討-以證人保護法為說明」,['23357']
刑事政策與犯罪研究論文集(16)-「影像處理技術於偵查與鑑識之應用-由2維到3維空間」,['23460']
刑事政策與犯罪研究論文集(16)-「影響賄選行賄罪量刑之因素」,['23404']
刑事政策與犯罪研究論文集(16)-「從西方社會成癮性監禁政策檢視我國當前的重刑化刑事政策」,['23379']
刑事政策與犯罪研究論文集(16)-「性侵害事件受保護處分少年社區處遇之研究」,['23389']
刑事政策與犯罪研究論文集(16)-「性侵犯罪化學去勢的本質與爭議」,['23452']
刑事政策與犯罪研究論文集(16)-「犯罪現場調查與司法科技發展之研究」,['23456']
刑事政策與犯罪研究論文集(16)-「藥物濫用預防模式與國際預防準則之探討」,['23393']
刑事政策與犯罪研究論文集(17)-「公務人員貪污犯罪原因及其防治策略之研究」,['23307']
刑事政策與犯罪研究論文集(17)-「初次毒品施用者個人特性與再犯毒品罪之關聯」,['23305']
刑事政策與犯罪研究論文集(17)-「婚姻暴力高危機被害人的司法安全維護機制與政策」,['23334']
刑事政策與犯罪研究論文集(17)-「婚姻暴力施暴者與受暴者互動歷程之研究」,['23332']
刑事政策與犯罪研究論文集(17)-「幫派成員中止犯罪生涯之研究」,['23313']
刑事政策與犯罪研究論文集(17)-「強化鑑識科學-評估建置國家級鑑識科學中心和實驗室之研究」,['23352']
刑事政策與犯罪研究論文集(17)-「我國性侵害犯刑後強制治療之檢討」,['23314']
刑事政策與犯罪研究論文集(17)-「我國藥物安全管理法制與刑事規制現況之探討」,['23116']
刑事政策與犯罪研究論文集(17)-「我國電子腳鐐發展之省思-社會排除及控制網絡擴張之探究」,['23355']
刑事政策與犯罪研究論文集(17)-「新住民遷徙後的適應問題對台灣社會安全的影響及因應策略初探」,['23335']
刑事政策與犯罪研究論文集(17)-「海峽兩岸網路智慧財產犯罪之域外犯的處罰--兼論兩岸刑事司法互助之突破及創新」,['23309']
刑事政策與犯罪研究論文集(17)-「犯罪報導對刑事政策與司法人權之影響」,['23342']
刑事政策與犯罪研究論文集(17)-「非定罪之犯罪所得沒收：借鏡德國法制」,['23115']
刑事政策與犯罪研究論文集(17)-「高風險社區犯罪人管理之探討-英國模式與臺灣經驗」,['23298']
刑事政策與犯罪研究論文集(18),['90396']
刑事政策與犯罪研究論文集(19),['95857']
刑事政策與犯罪研究論文集(20),['99266']
刑事政策與犯罪研究論文集(21)-「德國犯罪所得沒收新法：擴大沒收與第3人沒收--兼論兩岸刑事司法互助之突破及創新」,['107819']
刑事政策與犯罪研究論文集(22),['121041']
北新書局出版叢書,['112849']
參與兩公約第2次國家報告國際審查會議相關規範,['41082']
及所屬參加歷屆金檔獎及金質獎名單,['17382']
及所屬工級人員、駐衛警預算員額表,['23114']
及所屬機關iTaiwan服務效益總表,['90938']
及所屬機關iTaiwan無線網路服務熱點,['13032']
