資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
客家委員會海外客家美食料理研習班,59253,歷屆參加學員之男女比例,year;stage;woman_count;man_count,客家委員會
客家委員會海外青年客家文化研習營,59254,歷屆參加學員之男女比例,year;stage;woman_count;man_count,客家委員會
客家委員會客家領袖夏令營,59256,歷屆參加學員之男女比例,year;man_count;woman_count,客家委員會
客家委員會會計報告,59259,客家委員會年度會計報告,category;year;month;file_name;url,客家委員會
客家委員會客家文化資訊,60977,以兒童為主要對象，客家文化介紹(主題動畫、遠足日記、魔力小百科)。,kind;title_name;url,客家委員會
客家委員會客語能力認證中級考試暨中高級考試性別統計,61415,本會客語能力認證中級考試暨中高級考試報名者及通過者性別統計概況。,year;number_of_all;number_of_women;pass1_of_women;pass2_of_women;number_of_men;pass1_of_men;pass2_of_men,客家委員會
客家委員會客語能力認證初級考試性別統計,61416,本會客語能力認證初級考試報名者及通過者性別統計概況。,year;number_of_all;number_of_women;pass_of_women;number_of_men;pass_of_men,客家委員會
客家委員會資料盤點表,62918,客家委員會資料盤點表,no;database_name;describe;user_object;item;type;situation;no_open_reason;opening_or_opendate;unit;memo,客家委員會
客家委員會客家歷年貢獻獎,62924,歷年客家貢獻獎獎項別及得獎人,yyy;handle_year;awards_name;category;awards_person_name;awards_person_sex,客家委員會
客家委員會獎助客家學術研究概況,62959,介紹本會歷年獎助客家學術研究。,year;author;author_sex;title_of_thesis;grant_amount,客家委員會
客家委員會「客庄區域產經整合計畫」亮點業者,62964,提供客庄區域產經整合計畫之臺3線茶產業、六堆及東部客家產業亮點業者相關資訊,area;company_name;product_name;product_kind;address;tel;latitude;longitude,客家委員會
客家委員會「客庄區域產經整合計畫」亮點遊程,62965,提供客庄區域產經整合計畫之臺3線、六堆亮點遊程。,area;Industry;address;tel;latitude;longitude,客家委員會
客家委員會客家創意菜色及經典菜餚食譜,62973,1.提供客家創意菜之做法及成品圖片。2.客家經典菜餚─四炆四炒介紹及烹調作法。,kind;classification;dishes_name;creative;specialty_dishes;practic;url,客家委員會
客家委員會職務出缺公告,62980,客家委員會職務出缺公告,name;link,客家委員會
客家委員會組織人力概況,63003,客家委員會組織人力概況,yearmonth;unit;gender;number,客家委員會
客家委員會累計提列公務人員高普考試職缺數,63004,本會年度內累計提列公務人員高普考試職缺數,year;number,客家委員會
客家委員會替代役男參與之公益服務,63007,本會替代役男參與之公益服務,yearmonth;item,客家委員會
客家委員會與其他機關之業務分攤,63213,客家委員會與其他機關之業務分攤,year;season;url,客家委員會
客家委員會客庄景點,64884,介紹全台客庄相關旅遊景點，提供給民眾作為旅遊參考資訊。,title;area_name;country_name;address;explanation;url;remark;latitude;longitude,客家委員會
客家委員會工程施工查核小組查核件數統計,65412,客家委員會工程施工查核小組查核件數統計,check_date;organizer;title;point;progress;missing;manufacturers,客家委員會
客家委員會性別平等專案小組,65419,客家委員會性別主流化資訊網性別平等專案小組,basis;current_Members;record_of_meeting,客家委員會
客家委員會客家人口比例及推估人數,73163,本會為客家族群人口數(萬人)，以及縣市、鄉(鎮、市、區)分布，以推估全國客家人口數資料。,year;defined_category;estimated_number;male_proportion;male_number;female_proportion;female_number;y0_9_proportion;y0_9_number;y10_19_proportion;y10_19_number;y20_29_proportion;y20_29_number;y30_39_proportion;y30_39_number;y40_49_proportion;y40_49_number;y50_59_proportion;y50_59_number;y60_69_proportion;y60_69_number;y70_proportion;y70_number,客家委員會
客家委員會「客家宴廚藝爭霸賽」得獎業者,73164,提供「客家宴廚藝爭霸賽」得獎業者名單。,award;company_name;product_name;food;address;tel;latitude;longitude,客家委員會
客家委員會蒲公英行動計畫,73527,歷屆參加學員之男女比例,year;woman;man,客家委員會
客家委員會低碳食材暨食育課程表,77752,提供低碳食材暨食育課程表。,course_name;teacher;course_series,客家委員會
客家委員會臺三線客家山林古道,77753,提供臺三線客家山林古道相關資訊,route;photo;description,客家委員會
客家委員會看影片學客語,99837,看影片學客語！不論是優質戲劇、電影或是行腳節目，在本主題課程中，您可以任意觀賞，不讓您錯過任何精彩節目！,course_name;teacher;source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會桐花景點步道,99848,客委會桐花祭活動推薦之賞桐景點及步道資料,viewpoint;address;tel;transportation_1;transportation_2;memo;charge;latitude;longitude;url,客家委員會
客家委員會「客家特色產業國內大型展售會」歷年參展,99855,提供「客家特色產業國內大型展售會」歷年參展資料。,annual;date;activity;place;description,客家委員會
客家委員會年度客家民俗節慶活動,100075,提供本會歷年客庄12大節慶相關活動訊息資料,year;festival_name;handle_date;apply_counties;handling_units;open_location;script,客家委員會
客家委員會客家學術機構,114341,國內大學校院成立之客家學院系所及客家研究中心資料,no;school_name;agency_name;found_date;url,客家委員會
客家委員會客籍作家,114361,介紹本會97年至101年收錄之100位客籍作家。,writer;person_name;other_aliases,客家委員會
客家委員會大專校院合作課程表,114367,哈客網路學院內容包含「客語教學」、「客家文學」、「兒童客家」、「客家音樂」、「客家民俗歷史」、「客家文化創意產業」、「大專校院合作課程」、「影書選粹」等八大類數位教材。,course_name;teacher;source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客家日本時期唱片總目錄,114375,介紹 日本時期出版之客家唱片。,list;record_number;category; tracks;performer;remark,客家委員會
客家委員會客家民俗歷史課程表,114405,想深入客家文化，可以從客家建築及各地客家庄風采等細細探討，您將會發現每個小地方，都充滿著濃厚客家人文色彩！在本主題課程裡，包含「福佬客庄承先啟後」、「蘭陽客庄風情」、「客家傳統建築的堂號棟對」等課程，邀您一同感受豐富的客家風情！,course_name;teacher; source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客家音樂課程表,114406,從傳統到現代，從原始到創新，在客家音樂主題裡有「客家現代音樂賞析」、「客家傳樂響徹八方」、「臺灣客家歌謠傳唱」等課程，讓您我一起穿梭在客家音樂的現在與未來之時光隧道中！,course_name;teacher;source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客語生活學校,114414,客委會歷年補助辦理客語生活學校計畫之學校資料,serial_number;school_name;area_name;city_name;address,客家委員會
