資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
嘉義縣高風險家庭關懷服務單位,26779,提供嘉義縣高風險家庭關懷服務單位資料。,委託單位;聯繫電話;地址;服務區域,嘉義縣社會局
嘉義縣交通接送服務辦理單位,26839,提供嘉義縣交通接送服務辦理單位表。,服務單位名稱;鄉鎮市區;地址;電話;傳真,嘉義縣社會局
嘉義縣居家服務辦理單位,26844,提供嘉義縣居家服務辦理單位基本資料及聯絡方式。,序號;服務單位;聯絡電話聯絡人;住址,嘉義縣社會局
嘉義縣古蹟,26947,嘉義縣古蹟,編號;名稱;指定別;主管機關;類別;位置;公告日期,嘉義縣文化觀光局
嘉義縣公廁建檔基本資料,26956,嘉義縣公廁建檔基本資料,公廁編號;公廁名稱;地址或地點描述;緯度;經度;公廁類型<br>,嘉義縣環境保護局
嘉義縣病媒防治業及販賣業名單,26959,嘉義縣病媒防治業及販賣業名單,業者;管編;許可執照字號;公司名稱;負責人;專責人員;電話;地址;核發日期<br>,嘉義縣環境保護局
嘉義縣飲用水保護區,26960,嘉義縣飲用水保護區,序號;名稱;劃設機關;面積;流域別;水體分類;劃設面積;公告日期;經度;緯度,嘉義縣環境保護局
跨縣市飲用水保護區,26962,跨縣市飲用水保護區-飲用水水源水質保護區及飲用水取水口一定距離,序號;名稱;劃設機關;面積;流域別;水體分類;劃設面積;公告日期;經度;緯度,嘉義縣環境保護局
嘉義縣警察局業務職掌,27024,主要提供警察局各科室業務職掌,單位名稱;聯絡電話;業務職掌,嘉義縣警察局
嘉義縣警察局固定式違規照相設備設置地點,27027,主要提供固定式違規照相設備設置地點,描述;編號;設置地點;轄區分局;拍攝方向;速限;經緯度;設備名稱,嘉義縣警察局
嘉義縣交通肇事案件資料,27028,主要提供交通事故易肇事路段,年度;名稱;檔案位置,嘉義縣警察局
嘉義縣警察局取締酒駕違規及移送法辦件數一覽表,27032,主要提供各分局、直屬隊取締酒後駕車績效統計表,年度;名稱;檔案位置,嘉義縣警察局
嘉義縣合法當鋪業資料,27033,轄區內合法當鋪名稱及地址,描述;編號;分局;轄區派出所;店舖名稱;負責人姓名;營業地點,嘉義縣警察局
嘉義縣犯罪統計資訊,27042,提供全般刑案查破獲件數統計,年度;單位;發生件數;破獲件數,嘉義縣警察局
嘉義縣住宅竊盜點位資訊,27056,提供住宅竊盜點位資訊,描述;編號;發生時間;發生地點,嘉義縣警察局
嘉義縣汽車竊盜點位資訊,27058,提供汽車竊盜點位資訊,描述;編號;發生時間;發生地點,嘉義縣警察局
嘉義縣自行車竊盜點位資訊,27059,提供自行車竊盜點位資訊,描述;編號;發生時間;發生地點,嘉義縣警察局
嘉義縣合法保全業者資料,27060,提供轄內合法保全業者資料,描述;編號;公司名稱;負責人名稱;聯繫窗口,嘉義縣警察局
嘉義縣違反毒品危害防制條例行政裁罰處分人數統計表,27061,提供受第三、四級毒品行政裁罰處分人數統計表,描述;裁罰年月;男;女;合計人數,嘉義縣警察局
嘉義縣警察局各分局巡邏線箱數量,27062,提供各分局巡邏線箱數量,年度;單位;巡邏箱數,嘉義縣警察局
嘉義縣警察局各分駐(派出)所數量,27063,提供各分局分駐(派出)所數量統計,年度;單位;分駐所;派出所,嘉義縣警察局
嘉義縣警察局社區治安會議辦理情形統計表,27065,提供本局各分局之社區治安會議辦理情形統計表,年度;名稱;檔案位置,嘉義縣警察局
嘉義縣警察局路口監錄系統設置地點,27066,主要提供路口監錄系統設置地點,編號;分局;所別;攝影機裝設位置,嘉義縣警察局
嘉義縣警察局列管槍枝、刀械統計表,27071,提供列管槍枝、刀械統計表,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局各單位電話地址,27073,主要提供所屬各警察單位電話地址資訊,單位;郵遞區號;地址;電話,嘉義縣警察局
嘉義縣警察局財產統計表,27074,提供本局每年財產增減情形,年度;檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警用車輛油料管理報表,27075,提供本局警用車輛油料使用情形,檔案名稱;資源網址,嘉義縣警察局
