交通法規體系查詢,['10549']
交通科技管理策略規劃研究,['10712']
交通管制設施之布設與撤除作業程序,['106442']
交通號誌控制器產業標準制定暨雛型機開發計畫,['10710']
交通量參考值,['21115']
人民申請案件處理期限表,['10357']
來台郵輪旅客國籍(以入境外籍旅客國籍人次進行統計),['41898']
信筒(箱)設置地點,['7964']
個別旅客訂房定型化契約應記載及不得記載事項,['43106']
借問站,['44055']
債權人依據法院/行政執行署執行命令收取債權之申請書,['11018']
優惠活動,['106444']
優良氣象從業人員獎勵表揚辦法,['10308']
免費過境半日遊遊客滿意度調查表,['94600']
入境行李運送總數,['12079']
全國大客車禁行路段,['6794']
全國大客車行駛應特別注意路段,['6937']
全國專用公路路線表,['106313']
全國郵局ATM分佈,['6121']
全線剩餘票,['37933']
全臺天氣小幫手-天氣小幫手,['39549']
全解析可見光衛星雲圖,['45965']
全解析可見光衛星雲圖-全景,['25877']
全解析可見光衛星雲圖-全景x,['49975']
全解析紅外線衛星雲圖-全景,['25875']
全解析紅外線衛星雲圖KMZ檔,['45963']
兩岸航線(含定期及不定期包機)載客率,['47495']
公共運輸乘客人次,['43069']
公務預算辦理政策宣導相關廣告支出明細表,"['10999', '59640']"
公告訊息,['7309']
公益團體於中華郵政公益網上架募款申請流程,['11022']
公路人員訓練中心受訓班數及人數,['30199']
公路客運公司列表,['94226']
公路客運無肇事公司列表,['96581']
公路客運站牌資料,['102885']
公路汽車客運概況,['30392']
公路汽車客運駕駛員性別統計,['33695']
公路監理資料有償利用服務收費基準,['68180']
公路總局-振興3倍券通訊交易適用業者名單,['127632']
公路總局公路申挖系統資料,['96513']
公路總局及所屬單位預算案,['40314']
公路總局及所屬會計月報,['20588']
公路總局及所屬決算書表,['58997']
公路總局國家賠償事件收結情形表,['15795']
公路總局幸福公路館展示物資訊,['26801']
公路總局政府出版品目錄,['14206']
公路總局標案管理,['14204']
公路總局法定預算,"['12461', '117697']"
公路總局監理服務歷年筆試題庫,['30305']
公路總局轄區道路認養統計表,['31411']
公路總局養護工程處轄區,['96508']
公路車輛行駛時間調查(101-102),['42626']
公路養護鋪面檢測資料,['98064']
兼任技術顧問提供施政意見,['10283']
兼任技術顧問提供施政意見表,"['10280', '10286', '10287', '10288']"
出國期間郵件暫存郵局申請書中文版,['10524']
出國期間郵件暫存郵局申請書英文版,['10526']
出境行李運送總數,['12078']
列車行駛次數及行駛公里,['40598']
動力小船作業風險-動力小船級別作業風險預報5天,['130215']
動力車行駛公里,['48660']
北2高竣工報告,['30682']
印度餐廳,['41639']
危險物品,['45212']
危險物品(說明文件),['10528']
危險物品車輛限定或禁止或建議行駛路段,['26370']
即時海況-海溫-浮標站與沿岸潮位站監測資料,['9196']
即時海況-海象海溫-浮標站監測資料,['9195']
即時海況-潮位-沿岸潮位站監測資料,['9194']
即時路況資料標準,['10366']
及所屬機關(構)提供場地拍攝影片管理要點,['10535']
取消晚間投遞掛號函件申請書,['10513']
另具副本請求證明存證信函申請書,['37302']
可見光衛星雲圖,"['9215', '9216', '9217']"
台中都會區出口資訊,['73344']
台南、高雄都會區出口資訊,['75948']
台灣好行站點,['93967']
台灣敦睦聯誼會決算,['10523']
台灣敦睦聯誼會預算,['10561']
台灣桃園國際機場無線上網熱點位置,['6209']
台灣燈塔,['38866']
台灣觀巴資訊,['93966']
台灣采風翦影,['93876']
台灣高鐵行車事故事件統計,['96969']
各單位員工職別人數,['45920']
各國郵政禁寄物品彙輯,['45211']
各旅次路徑原始資料(TDCS_M06A),['37760']
各機關辦理大型活動申請於高速公路出口設置臨時標誌作業規定,['106441']
各站客貨運起訖量,['42699']
各等級鐵路車站基本設施,['96919']
各項儲匯臨櫃服務工本費,['30302']
各類車種旅次平均長度(TDCS_M07A),['37761']
各類車種旅次數量(TDCS_M08A),['37763']
各類車種通行量統計(TDCS_M03A),['37751']
合格導遊人員資料集,['93887']
合格領隊人員資料集,['93888']
員工服務年資,['46604']
員工資位別與教育程度統計,['46605']
商港服務費各港實收統計表,['27673']
單位決算(審定版),"['10994', '20280', '20389', '34279']"
單位決算(按年),['52756']
單位預決算,['35396']
單位預算 (法定預算),['12658']
單位預算(按年),['35398']
單位預算(法定預算),"['11000', '26889']"
單位預算案,"['12509', '21568']"
嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,['122769']
嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,['120398']
國人出國旅遊重要指標統計表,['8587']
國人國內旅遊重要指標統計表,['8588']
國內全權委託投資績效,['15704']
國內固定航班資訊,['8236']
國內定期航線月份班表,['6066']
國內快捷投遞區域查詢,['20017']
國內快捷收寄局查詢,['32006']
國內民航機場禁限建管制範圍圖資,['35876']
國內航線班機載客率,['33725']
國內航線班機載客率及市場占有率,['33726']
國家風景區經營管理範圍,['9938']
國籍各型民用航空器適航情況,['8089']
國籍航空公司全球航線客貨運概況,['33239']
國籍航空公司各類航空人員證照統計,['15527']
國籍航空公司國際兩岸航線客貨運市場占有率,['38258']
國籍航空公司國際及兩岸定期航線營運航點(年資料),['44752']
國籍航空公司機隊機齡,['15768']
國籍航空器登記架數及機型,['19797']
國道2號拓寬工程委託環境監測報告,['129941']
國道5號雪山隧道工程,['36645']
國道5號藍牙交通資訊交通推播服務加值應用,['106603']
國道主線實施開放路肩作業規定,['117897']
國道交通標誌位置,['98447']
國道交通資訊顯示板設置里程表,['47222']
國道停車彎相關業務,['95068']
國道公路建設管理基金分決算,['41304']
國道公路建設管理基金分預算,['41070']
國道加油站區位資訊,['28805']
國道加油站設施數量統計表,['88625']
國道危險物載運管理,['116168']
國道地磅站里程,['104431']
國道建設計畫推動流程,['33353']
國道收費方式沿革表,['101424']
國道易壅塞路段,['33191']
國道替代道路,['31037']
國道最大跨徑鋼箱型梁橋資訊,['18396']
國道最高橋梁資訊,['30616']
