資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,11255,行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,機關名稱;政務人員小計 (2)=(3)+(4)+(5)+(6);一等獎章(3);二等獎章(4);三等獎章(5);特等獎章(6);行政機關及公營事業機關小計 (8)=(10)+(11)+(12)+(13);一等獎章(10);二等獎章(11);三等獎章(12);特等獎章(13);各級學校小計 (9)=(14)+(15)+(16)+(17);一等獎章(14);二等獎章(15);三等獎章(16);特等獎章(17),行政院人事行政總處
公教人員待遇歷年調整狀況統計,11258,公教人員待遇歷年調整狀況統計,會計年度;職等;當年度待遇支給數額;備註,行政院人事行政總處
公教人員待遇調整參考因素,11260,公教人員待遇調整參考因素,年度;消費者物價指數較上一年變動情形(%);民間薪資水準(工業及服務業/單位:新台幣元);平均每人GDP(國內生產毛額/單位:美元);經濟成長率(%);平均每人國民所得(美元),行政院人事行政總處
中央各機關公教人員急難貸款統計,11261,中央各機關公教人員急難貸款統計,年度;項目;件數;金額,行政院人事行政總處
全國公教人員福利措施統計表,11263,全國公教人員福利措施統計表,年度;項目;人次;金額,行政院人事行政總處
行政院人事行政總處職員概況,11270,行政院人事行政總處職員概況,官等別;學歷;年齡;性別;人數;統計日期,行政院人事行政總處
各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形,11272,各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形,,行政院人事行政總處
行政院所屬各機關暨地方政府人事機構人事人員官職等統計（依官等及性別區分）,11274,行政院所屬各機關暨地方政府人事機構人事人員官職等統計（依官等及性別區分） (10903以前資料集名稱為行政院所屬各機關暨地方政府人事機構編制員額職等統計(依官等及性別區分)),機關類型;官等;性別;人數,行政院人事行政總處
行政院暨所屬機關進用女性閣員名冊,11275,行政院暨所屬機關進用女性閣員名冊,機關;職稱;姓名;資料時間,行政院人事行政總處
行政院暨所屬機關〈構〉學校進用女性情形表,11276,行政院暨所屬機關〈構〉學校進用女性情形表,職務;性別;人數,行政院人事行政總處
各主管機關(含所屬)育嬰留職停薪之性別統計表,11278,各主管機關(含所屬)育嬰留職停薪之性別統計表,主管機關別;人數;性別,行政院人事行政總處
各縣市所屬機關學校公教人員官等及性別統計表,11281,各縣市所屬機關學校公教人員官等及性別統計表,中央/地方別;主管機關;官等別;性別;人數,行政院人事行政總處
行政院所屬暨地方政府機關(構)學校、事業機構職（教）員官等及性別統計季報表,11282,"機關類別,官等,合計,總計,主管,非主管,男,女",機關構分類;是否為主管;性別;人數;類別,行政院人事行政總處
行政院所屬暨地方政府機關(構)學校各二級主管機關官等及性別季報表,11288,行政院所屬暨地方政府機關(構)學校各二級主管機關官等及性別季報表,中央(1)/地方(2)別;主管機關;民選首長;特任;比照簡任;公務人員-簡任(派)及相當官等;公務人員-薦任(派)及相當官等;公務人員-委任(派)及相當官等;警察人員-警監;警察人員-警正;警察人員-警佐;醫事人員;法官及檢察官;教師;性別;官等別;人數,行政院人事行政總處
行政院各部會性別平等專案小組運作情形暨組成性別統計,11289,行政院各部會性別平等專案小組運作情形暨組成性別統計,機關;召集人之層級;本屆委員任期起迄;總人數;女性人數;女性比例;外聘委員總人數;外聘民間委員總人數（不含外機關公務人員）;外聘民間委員同時為現任行政院性平會民間委員人數;是否公開接受相關團體推薦民間委員;是否公開委員名單;會議紀錄是否全文上網;是否開放民間提案,行政院人事行政總處
行政院人事總處保有個資料檔案公開項目彙整表,12000,行政院人事總處保有個資料檔案公開項目彙整表,個人資料檔案名稱;保有依據;個人資料之類別;保有單位,行政院人事行政總處
行政院人事行政總處單位決算,12004,行政院人事行政總處單位決算,,行政院人事行政總處
行政院人事行政總處施政計畫,12223,行政院人事行政總處各年度施政計畫,名稱;檔案連結,行政院人事行政總處
第四屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單,12224,第四屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單,組別;獎項名稱;主管機關人事機構;獲獎人事機構;獲獎項目名稱,行政院人事行政總處
行政院人事行政總處地方行政研習中心104年度單位預算案,12458,行政院人事行政總處地方行政研習中心104年度單位預算案,,行政院人事行政總處公務人力發展學院
國民旅遊卡特約商店名冊,12982,特約店名稱、特約店地址、郵遞區號、統一編號、特約店網頁位址,,行政院人事行政總處
行政院所屬各機關暨地方政府原住民族公務人員訓練進修性別統計表,13252,行政院所屬各機關暨地方政府原住民族公務人員訓練進修性別統計表 (xls),機關別;訓練進修別;性別;人數,行政院人事行政總處
行政院人事行政總處法定預算,13311,行政院人事行政總處法定預算,,行政院人事行政總處
中華民國政府行政機關辦公日曆表,14718,中華民國政府行政機關辦公日曆表,西元日期;星期;是否放假;備註;Subject;Start Date;Start Time;End Date;End Time;All Day Event;Description;Location,行政院人事行政總處
行政院所屬各機關暨地方政府公務人員訓練進修性別統計分析表,17128,行政院所屬各機關暨地方政府公務人員訓練進修性別統計分析表,機關別;訓練進修別;性別;人數,行政院人事行政總處
近3年人事專業獎章獲獎人員性別統計表,17129,近3年人事專業獎章獲獎人員性別統計表,年度;性別;人數,行政院人事行政總處
近3年績優人事人員性別統計表,17130,近3年績優人事人員性別統計表,年度;性別;人數,行政院人事行政總處
行政院人事行政總處會計報告,18328,行政院人事行政總處會計報告,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,行政院人事行政總處
行政院人事行政總處「政府資料開放諮詢小組」會議紀錄,18374,行政院人事行政總處「政府資料開放諮詢小組」會議紀錄,會議名稱;會議紀錄連結,行政院人事行政總處
各部會性別平等專案小組交流會參加人員性別統計,18557,各部會性別平等專案小組交流會參加人員性別統計,年度;性別;人數,行政院人事行政總處
行政院各部會性別平等專案小組議案彙整表,18689,行政院各部會性別平等專案小組議案彙整表,行政院各部會性別平等專案小組議案彙整表,行政院人事行政總處
行政院人事行政總處單位決算(審定版),18928,行政院人事行政總處單位決算(審定版),,行政院人事行政總處
天然災害停止上班、停止上課情形,20457,天然災害各縣市停止上班、停止上課情形,,行政院人事行政總處
行政院人事行政總處單位預算案,21005,行政院人事行政總處單位預算案,,行政院人事行政總處
行政院人事行政總處中央公教人員急難救助基金預算案,21008,行政院人事行政總處中央公教人員急難救助基金預算案,,行政院人事行政總處
行政院人事行政總處地方行政研習中心104年度會計月報,21696,行政院人事行政總處地方行政研習中心104年度會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處政策宣導之廣告預算執行情形,24466,政策宣導之廣告預算執行情形,機關名稱;政策宣導內容;宣導方式;刊登/撥出時間;次數;金額;託播對象;辦理單位;截至日期,行政院人事行政總處
行政院人事行政總處地方行政研習中心104年度單位決算,26969,行政院人事行政總處地方行政研習中心104年度單位決算,,行政院人事行政總處公務人力發展學院
行政院人事行政總處中央公教人員急難救助基金決算,27191,行政院人事行政總處中央公教人員急難救助基金決算,,行政院人事行政總處
行政院人事行政總處及所屬機構資料開放行動策略,27285,行政院人事行政總處及所屬機構資料開放行動策略,"緣起,範圍,執行策略,績效目標,資料開放期程,本總處資料開放原則,預期成效",行政院人事行政總處
行政院人事行政總處中央公教人員急難救助基金會計月報,27806,行政院人事行政總處中央公教人員急難救助基金會計月報,,行政院人事行政總處
行政院人事行政總處及所屬機關資料盤點表,27934,行政院人事行政總處及所屬機關資料盤點表,系統、資料庫名稱;系統、資料庫描述;使用對象：<br>1.內部使用<br>2.提供民眾使用<br>3.跨機關使用;蒐集資料項目<br>(控制欄位免列);資料分類<br>甲類：開放資料<br>乙類：有限度利用資料<br>丙類：不開放資料;現況<br>1.免費使用<br>2.免費申請<br>3.收費;不能開放<br>之理由<br>(含法規依據);已開放/預定<br>開放日期;管理單位;備註<br>(NID),行政院人事行政總處
行政院人事行政總處公務人力發展中心105年度法定預算,30351,行政院人事行政總處公務人力發展中心105年度法定預算,,行政院人事行政總處公務人力發展學院
地方政府主管人數及性別統計表,63223,"機關名稱,性別,主管人數,比率",主管機關;性別;人數,行政院人事行政總處
地方政府一級主管及所屬機關首長性別統計表,63225,"二級機關名稱,性別,人數,比率",二級機關名稱;性別;人數,行政院人事行政總處
公教人員保險及軍人保險請領育嬰留職停薪津貼人員性別比例資料,63227,"人員類別,申請人數,核發金額",人員類別;性別;申請人數;核發金額;期間,行政院人事行政總處
現行政務人員及一般公務人員（常務人員）各職等待遇對照表,63245,"類別,職等職稱,月支數額",人員類別;職等職稱;月支數額;備註,行政院人事行政總處
行政院人事行政總處公務人力發展發展學院參加訓練研習學員性別統計表,67312,"年度,男性學員,百分比,女性學員,百分比,總人數,備註",院區;年度;性別;人數,行政院人事行政總處
行政院及所屬各主管機關運用派遣勞工統計,68024,"主管機關名稱,行政機關學校派遣勞工人數,事業機構派遣勞工人數",主管機關名稱;行政機關(構)與學校;事業機構;人數,行政院人事行政總處
行政院及所屬各主管機關運用勞務承攬人數統計,68027,"主管機關名稱,運用勞務承攬人數",主管機關名稱;人數,行政院人事行政總處
行政院及所屬各主管機關臨時人員人數,68029,"主管機關,臨時人員數",主管機關名稱;行政機關;公立學校;公立醫療機構;;人數,行政院人事行政總處
行政院人事行政總處公務人力發展學院受訓學員學歷性別統計表,72897,"類別,合計,總計,學歷,男,女",院區;學歷;性別;人數;資料統計期間,行政院人事行政總處
行政院人事行政總處公務人力發展學院受訓學員年齡性別統計表,73022,"院區,年齡,性別,人數,資料統計期間",院區;年齡;性別;人數;資料統計期間,行政院人事行政總處
推動性別主流化訓練辦理內容,73111,"行政院人事行政總處歷年推動性別主流化訓練辦理內容 (類別,課程名稱,期數,備註)",類別;課程名稱;期數;備註;序號,行政院人事行政總處
性別平等委員名單,73112,"行政院人事行政總處性別平等專案小組名單 (序號,職稱,姓名,性別,服務單位,備註)",序號;職稱;姓名;性別;服務單位;備註;,行政院人事行政總處
行政院人事行政總處公務人力發展學院歷年性別主流化各班課程師資,73114,"行政院人事行政總處公務人力發展學院歷年性別主流化各班課程師資 (班別,課程,時數,師資)",班別;課程;時數;師資,行政院人事行政總處
近5年行政院模範公務人員性別統計表,73115,"近5年行政院模範公務人員性別統計表 (年度,性別,人數)",年度;性別;人數,行政院人事行政總處
