資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分,6327,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;土地面積;年底人口數;年底戶數;戶量;人口密度;0~14歲人數;0~15歲百分比;15~64歲人數;15~64歲百分比;65歲以上人數;65歲以上百分比;扶養百分比,國家發展委員會
1-3 人口成長,6328,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;總增加人數;總增加率;出生人數;出生率;死亡人數;死亡率;自然增加人數;自然增加率;社會增加人數;社會增加率,國家發展委員會
1-4 人口成長按主要都市分,6329,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;總增加人數;總增加率;出生人數;出生率;死亡人數;死亡率;自然增加人數;自然增加率;社會增加人數;社會增加率,國家發展委員會
1-5 農戶與非農戶人口,6330,"1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部、行政院農業委員會 (https://goo.gl/L8FPqb, https://goo.gl/dpbqJe)",年;地區;總人口;農戶人口;非農戶人口;非農戶人口占總人口百分比,國家發展委員會
4-1 都市計畫區面積與人口數,6489,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/x69AK6),年;地區;都市計畫區數;都市計畫區面積;都市計畫區內人口數;都市計畫區內現況人口密度;都市計畫區面積占總面積;都市計畫區內人口占總人口百分比,國家發展委員會
4-2 都市計畫區土地使用分區面積,6490,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 ( https://goo.gl/5hQ1E9),年;地區;合計;住宅區;商業區;工業區;公用設施用地;農業區;保護區;風景區;其他,國家發展委員會
4-3 非都市土地使用分區面積,6491,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 ( https://goo.gl/okSVqN),年;地區;合計;特定農業區;一般農業區;工業區;鄉村區;森林區;山坡地保育區;風景區;國家公園區;河川區、特定專用區及其他,國家發展委員會
4-4 非都市土地使用編定面積,6492,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 ( https://goo.gl/okSVqN),年;地區;合計;甲種建築用地;乙種建築用地;丙種建築用地;丁種建築用地;農牧用地;林業用地;養殖用地;鹽業用地;礦業用地;窯業用地;交通用地;水利用地;遊憩用地;古蹟保存用地;生態保護用地;國土保安用地;墳墓用地;特定目的事業用地;暫未編用地及其他用地,國家發展委員會
6-6-1 水資源開發建設－主要水庫壩堰,6493,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：經濟部水利署 (https://goo.gl/soz2d3),年;位置;水庫或壩堰名稱;壩堰所在或越域引水溪流名稱;滿水位面積;有效容量;功用,國家發展委員會
5-1 國家公園設置情形,6494,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部營建署 (https://goo.gl/tHwxTt),年;國家公園名稱;面積;生態保護區面積;特別景觀區面積;史蹟保存區面積;遊憩區面積;一般管制區面積;公布實施日期;設置管理單位日期;行政區域,國家發展委員會
5-2 自然保留區及野生動物保護區設置情形,6495,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院農業委員會 (https://goo.gl/sM7Jdn),年;自然保留區名稱;面積;主要保護對象;公告日期;管理機關;行政區域,國家發展委員會
5-3 國家風景特定區設置情形,6496,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源： 交通部觀光局 (https://goo.gl/gPcGyc),年;特定區名稱;合計面積;陸域面積;水域及海域面積;成立管理處日期;行政區域,國家發展委員會
6-6-2 自來水普及率及用水量,6497,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：經濟部水利署,年;地區;供水人口自來水普及率;自來水普及率;自來水總配水量;自來水供生活用水;自來水供工業用水;自來水年售水量;平均每人每日用水量8;平均每人每日用水量9;平均每人每日用水量10,國家發展委員會
6-8-1 用電量,6498,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：臺灣電力公司(https://goo.gl/8iVGBF),年;地區;用戶數;全年售電量;平均每人每年用電量,國家發展委員會
6-3-1 公路長度與面積,6499,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：交通部公路總局(https://goo.gl/i1cUf3),年;地區;公路長度;公路面積;公路密度以長度計;公路密度以面積計;公路高級路面率合計;公路高級路面率省道以長度計;公路高級路面率縣道以長度計;公路高級路面率鄉道以長度計,國家發展委員會
6-3-2 交通費用、汽車數及機車數,6500,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處(https://goo.gl/DY778p)、交通部(https://goo.gl/dRsPZV),年;地區;平均每戶全年交通費用;交通費用占家庭支出之百分比;汽車數合計;小客車數;大客車、大小貨車數;汽車持有率總計;小客車持有率;機車數;機車持有率,國家發展委員會
5-5 觀光旅館分布,6501,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：交通部觀光局 ( https://goo.gl/1BoshX),年;地區;家數合計;客房數合計;國際觀光旅館家數;國際觀光旅館客房數;一般觀光旅館家數;一般觀光旅館客房數;民宿家數;民宿客房數,國家發展委員會
國內主要觀光遊憩據點遊客人數,6502,國內主要觀光遊憩據點遊客人數（本資料集因自105年度都市及區域發展統計彙編不再收錄該統計資料，故不再更新該資料）,觀光遊憩區;縣市;合計,國家發展委員會
6-5-1 醫師數及病床數,6503,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：衛生福利部(https://goo.gl/2cix49),年;地區;病床數;西醫數;中醫數;牙醫數;每萬人病床數;每萬人西醫數;每萬人中醫數;每萬人牙醫數,國家發展委員會
醫師數及病床數按主要都市分,6504,醫師數及病床數按 主要都市分,年;地區;病床數;西醫數;中醫數;牙醫數;每萬人病床數;每萬人西醫數;每萬人中醫數;每萬人牙醫數,國家發展委員會
6-5-2 老人長期照護、養護及安養機構,6505,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/ME2Y8x),年;地區;工作人員數總計;工作人員數行政人員;工作人員數社會工作人員;工作人員數護理人員;工作人員數服務人員;工作人員數其他人員;可供進住總計;實際進住總計;使用率總計;長期照護機構可供進住;長期照護機構實際進住;養護型機構可供進住;養護型機構實際進住;失智照顧型機構可供進住;失智照顧型機構實際進住;安養機構可供進住;安養機構實際進住;老人公寓可供進住;老人公寓實際進住,國家發展委員會
6-1-1 歷年住宅投資,6506,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/WV7HjC),年;住宅投資;固定資本形成;國內生產毛額;住宅投資佔固定資本形成之百分比;住宅投資佔國內生產毛額之百分比,國家發展委員會
6-1-3 住宅支出,6507,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/6qzCYV),年;地區;平均每戶全年住宅支出;住宅支出占家庭支出;房價所得比,國家發展委員會
6-1-2 住宅狀況,6508,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/DY778p),年;地區;住宅所有權合計;自有住宅所有權;租押住宅所有權;其他住宅所有權;建築式樣合計;建築式樣平房;建築式樣2-3層樓;建築式樣4-5層樓;建築式樣6層樓以上;平均每戶建坪;平均每人建坪,國家發展委員會
整合住宅補貼資源實施方案補貼申請,6509,整合住宅補貼資源實施方案補貼申請,年;地區;購置申請戶數;購置核准戶數;購置核准率;修繕申請戶數;修繕核准戶數;修繕核准率;租金申請戶數;租金核准戶數;租金核准率,國家發展委員會
6-2-2 空氣污染之測定結果,6510,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院環境保護署 (https://goo.gl/Vo2xth),年;地區;空氣品質指標2016;懸浮微粒2016;細懸浮微粒2016;硫氧化物2016;氮氧化物2016;一氧化碳2016;總懸浮微粒2016;落塵量2016,國家發展委員會
6-2-3 垃圾清運處理狀況,6511,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院環境保護署 (https://goo.gl/Vo2xth),年;地區;期中總人口數;指定清除地區期中人口數;垃圾清運率;垃圾產生量總計;垃圾清運量小計;垃圾清運量焚化;垃圾清運量巨大垃圾焚化;垃圾產生量衛生掩埋;垃圾產生量巨大垃圾掩埋;一般掩埋、堆置及其他;巨大垃圾回收再利用;廚餘回收小計;廚餘回收養豬;廚餘回收堆肥及其他;資源回收;平均每人每日垃圾產生量;平均每人每日垃圾清運量;垃圾妥善處理率;垃圾回收率合計;巨大垃圾回收再利用率;廚餘回收率;資源回收率,國家發展委員會
6-2-4 重要河川污染情形,6512,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院環境保護署(https://goo.gl/Vo2xth),年;河川名稱;河流長度;未稍受污染長度;未稍受污染長度百分比;輕度污染長度;輕度污染百分比;中度污染長度;中度污染百分比;嚴重污染長度;嚴重污染百分比,國家發展委員會
6-2-5 污水處理率,6513,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部營建署 (https://goo.gl/ZDqFnU),年;地區;公共污水下水道接管戶數;專用污水下水道接管戶數;建築物污水處理設施設置戶數;污水處理戶數合計;公共污水下水道普及率;專用污水下水道普及率;建築物污水設施設置率;使用費收入;污水處理率合計,國家發展委員會
刑案件數、道路交通事故、火災發生次數及消防設備,6514,刑案件數、道路交通事故、火災發生次數及消防設備,年;地區;刑案發生件數;嫌疑人犯總數;嫌疑少年犯數;每萬人刑案發生件數;道路交通事故肇事件數;道路交通事故死亡人數;道路交通事故受傷人數;每萬人道路交通事故件數;火災發生次數;每萬人火災發生次數;消防車輛;消防人員;每萬人消防車輛;每萬人消防人員,國家發展委員會
2-1 教育程度,6515,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/UknuwF),年;地區;總計人數;總計百分比;國小及以下人數;國小及以下百分比;國中人數;國中百分比;高中人數;高中百分比;高職人數;高職百分比;大專及以上人數;大專及以上百分比;高中及以上人數;高中及以上百分比,國家發展委員會
2-2 各級學校數,6516,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：教育部 (https://goo.gl/myuF7U),年;地區;總計;幼兒園;國民小學;國民中學;高級中學;高級職業學校;專科學校;獨立學院;大學;特殊教育;補習教育,國家發展委員會
6-7-2 藝文展演活動統計,6517,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：文化部文化資產局(https://goo.gl/z5hDNR),年;地區;活動個數總計;出席人次總計;視覺藝術;工藝;設計;音樂;戲劇;舞蹈;說唱;影片;民俗;語文與圖書;綜合;其他,國家發展委員會
8-1 各縣市政府歲入決算數,6518,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：各縣市政府,年;地區;合計實數;合計百分比;稅課收入實數;稅課收入百分比;工程受益費收入實數;工程受益費收入百分比;罰款及賠償收入實數;罰款及賠償收入百分比;規費收入實數;規費收入百分比;信託管理收入實數;信託管理收入百分比;財產收入實數;財產收入百分比;營業盈餘及事業收入實數;營業盈餘及事業收入百分比;輔助及協助收入實數;輔助及協助收入百分比;捐贈及贈與收入實數;捐贈及贈與收入百分比;自治稅捐收入實數;自治稅捐收入百分比;其他收入實數;其他收入百分比;平均每人歲入,國家發展委員會
8-2 各縣市政府歲出決算數,6519,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：各縣市政府,年;地區;合計實數;合計百分比;政權行使支出實數;政權行使支出百分比;行政支出實數;行政支出百分比;民政支出實數;民政支出百分比;財務支出實數;財務支出百分比;教育支出實數;教育支出百分比;科學支出實數;科學支出百分比;文化支出實數;文化支出百分比;農業支出實數;農業支出百分比;工業支出實數;工業支出百分比;交通支出實數;交通支出百分比;其他經濟服務支出實數;其他經濟服務支出百分比;社會保險支出實數;社會保險支出百分比;社會救助支出實數;社會救助支出百分比;福利服務支出實數;福利服務支出百分比;國民就業支出實數;國民就業支出百分比;社區發展支出實數;社區發展支出百分比;醫療保健支出實數;醫療保健支出百分比;環境保護支出實數;環境保護支出百分比;退休撫卹支出實數;退休撫卹支出百分比;警政支出實數;警政支出百分比;債務支出實數;債務支出百分比;協助及補助支出實數;協助及補助支出百分比;其他支出實數;其他支出百分比;平均每人歲出,國家發展委員會
7-1 平均每戶全年經常性收入及支出,6520,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/DY778p),年;地區;平均每戶經常性收入;平均每戶總支出實數;平均每戶總支出比例;平均每戶消費支出合計;平均每戶消費支出比例;食品及非酒精飲料支出實數;食品及非酒精飲料支出比例;衣著及服飾用品支出實數;衣著及服飾用品支出比例;住宅服務、水電瓦斯及其他燃料實數;住宅服務、水電瓦斯及其他燃料比例;交通運輸與通訊支出實數;交通運輸與通訊支出比例;教育與娛樂支出實數;教育與娛樂支出比例;其他消費支出實數;其他消費支出比例;平均每戶非消費支出實數;平均每戶非消費支出比例,國家發展委員會
7-2 平均每戶可支配所得、消費支出及儲蓄,6521,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/DY778p),年;地區;所得總額;可支配所得;消費支出;儲蓄;儲蓄率,國家發展委員會
家庭設備普及率,6522,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：行政院主計總處 (https://goo.gl/DY778p),年;地區;彩色電視機;洗衣機;冷暖氣機;攝影機;家用電腦;微波爐;熱水器;連網,國家發展委員會
