1032里防災避難地圖,新北市29區1032里防災避難地圖,124713,新北市各里防災避難地圖網址清單,Area;Village;Number;Link;Caption,新北市政府消防局
A1道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市102年A1道路交通事故-機車傷亡者與戴用安全帽關係統計,125019,本市102年A1交通事故中機車騎士及乘客之死亡人數為76人、受傷人數為31人，其中佩戴安全帽之死亡人數為72人、受傷人數為31人，比率為96.2%，惟頭戴安全帽並不是生命安全的絕對保證，尚有極大可能而造成身體其他部位之傷害。,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A1道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市105年A1道路交通事故-機車傷亡者與戴用安全帽關係統計,125843,新北市105年A1道路交通事故-機車傷亡者與戴用安全帽關係統計,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A1道路交通事故-死亡年齡與行動狀態統計,新北市104年A1道路交通事故-死亡年齡與行動狀態統計,123756,新北市104年A1道路交通事故-死亡年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A1道路交通事故-死亡年齡與行動狀態統計,新北市103年A1道路交通事故-死亡年齡與行動狀態統計,123882,新北市103年A1道路交通事故-死亡年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A1道路交通事故-死亡年齡與行動狀態統計,新北市102年A1道路交通事故-死亡年齡與行動狀態統計,124051,新北市102年A1道路交通事故-死亡年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A1道路交通事故-死亡年齡與行動狀態統計,新北市105年A1道路交通事故-死亡年齡與行動狀態統計,124140,新北市105年A1道路交通事故-死亡年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A1道路交通事故-發生時間與第1當事者酒後駕車肇事分析統計表,新北市105年A1道路交通事故-發生時間與第一當事者酒後駕車肇事分析統計表,125840,新北市105年A1道路交通事故-發生時間與第一當事者酒後駕車肇事分析統計表,time;car_type;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者使用行動電話分析統計,新北市104年A1道路交通事故-第一當事者使用行動電話分析統計,124356,新北市104年A1道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A1道路交通事故-第1當事者使用行動電話分析統計,新北市102年A1道路交通事故-第一當事者使用行動電話分析統計,124663,新北市102年A1道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A1道路交通事故-第1當事者使用行動電話分析統計,新北市103年A1道路交通事故-第一當事者使用行動電話分析統計,124938,新北市103年A1道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A1道路交通事故-第1當事者使用行動電話分析統計,新北市105年A1道路交通事故-第一當事者使用行動電話分析統計,125570,新北市105年A1道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A1道路交通事故-第1當事者車輛用途,新北市102年A1道路交通事故-第一當事者車輛用途,123630,新北市102年A1道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者車輛用途,新北市103年A1道路交通事故-第一當事者車輛用途,124549,新北市103年A1道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者車輛用途,新北市105年A1道路交通事故-第一當事者車輛用途,124970,新北市105年A1道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者車輛用途,新北市104年A1道路交通事故-第一當事者車輛用途,125400,新北市104年A1道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者飲酒情形,新北市102年A1道路交通事故-第一當事者飲酒情形,123337,新北市102年A1道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者飲酒情形,新北市104年A1道路交通事故-第一當事者飲酒情形,124675,新北市104年A1道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者飲酒情形,新北市103年A1道路交通事故-第一當事者飲酒情形,124984,新北市103年A1道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-第1當事者飲酒情形,新北市105年A1道路交通事故-第一當事者飲酒情形,125716,新北市105年A1道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A1道路交通事故-駕駛人年齡分布統計,新北市104年A1道路交通事故-駕駛人年齡分布統計,123854,新北市104年A1道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A1道路交通事故-駕駛人年齡分布統計,新北市105年A1道路交通事故-駕駛人年齡分布統計,124589,新北市105年A1道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A1道路交通事故-駕駛人年齡分布統計,新北市102年A1道路交通事故-駕駛人年齡分布統計,124978,新北市102年A1道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A1道路交通事故-駕駛人年齡分布統計,新北市103年A1道路交通事故-駕駛人年齡分布統計,125845,新北市103年A1道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A1類交通事故資料,104年度A1類交通事故資料,123289,104年度A1類交通事故資料,date;location;field1;field2;field3,新北市政府警察局
A1類交通事故資料,102年度A1類交通事故資料,124856,102年度A1類交通事故資料,date;location;field1;field2;field3,新北市政府警察局
A1類交通事故資料,105年度A1類交通事故資料,125706,105年度A1類交通事故資料,date;location;field1;field2;field3,新北市政府警察局
A1類交通事故資料,103年度A1類交通事故資料,125914,103年度A1類交通事故資料,date;location;field1;field2;field3,新北市政府警察局
A2道路交通事故,106年新北市A2道路交通事故,123461,106年新北市A2道路交通事故,date;location;field1;field2,新北市政府警察局
A2道路交通事故,107年新北市A2道路交通事故,125657,107年新北市A2道路交通事故,date;time;district;road;hurt;GPS longitude;GPS latitude,新北市政府警察局
A2道路交通事故,105年新北市A2道路交通事故,125749,105年新北市A2道路交通事故,date;location;field1;field2,新北市政府警察局
A2道路交通事故-受傷年齡與行動狀態統計,新北市103年A2道路交通事故-受傷年齡與行動狀態統計,123925,新北市103年A2道路交通事故-受傷年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A2道路交通事故-受傷年齡與行動狀態統計,新北市102年A2道路交通事故-受傷年齡與行動狀態統計,123945,新北市102年A2道路交通事故-受傷年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A2道路交通事故-受傷年齡與行動狀態統計,新北市105年A2道路交通事故-受傷年齡與行動狀態統計,124628,新北市105年A2道路交通事故-受傷年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A2道路交通事故-受傷年齡與行動狀態統計,新北市104年A2道路交通事故-受傷年齡與行動狀態統計,124782,新北市104年A2道路交通事故-受傷年齡與行動狀態統計,age;status_class;status_type;year;count,新北市政府警察局
A2道路交通事故-未滿12歲兒童統計,新北市104年A2道路交通事故-未滿12歲兒童統計,123603,新北市104年A2道路交通事故-未滿12歲兒童統計,status_class;status_type;year;dead;hurt,新北市政府警察局
A2道路交通事故-未滿12歲兒童統計,新北市105年A2道路交通事故-未滿12歲兒童統計,124158,新北市105年A2道路交通事故-未滿12歲兒童統計,status_class;status_type;year;dead;hurt,新北市政府警察局
A2道路交通事故-未滿12歲兒童統計,新北市102年A2道路交通事故-未滿12歲兒童統計,124207,新北市102年A2道路交通事故-未滿12歲兒童統計,status_class;status_type;year;dead;hurt,新北市政府警察局
A2道路交通事故-未滿12歲兒童統計,新北市103年A2道路交通事故-未滿12歲兒童統計,126037,新北市103年A2道路交通事故-未滿12歲兒童統計,status_class;status_type;year;dead;hurt,新北市政府警察局
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市103年A2道路交通事故-機車傷亡者與戴用安全帽關係統計,123743,本市103年交通事故中機車騎士及乘客受傷人數為30868人，其中佩戴安全帽人數為30668，比率為99.3%，惟頭戴安全帽並不是生命安全的絕對保證，尚有極大可能而造成身體其他部位之傷害。,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市102年A2道路交通事故-機車傷亡者與戴用安全帽關係統計,124498,本市102年交通事故中機車騎士及乘客受傷人數為24758人，其中佩戴安全帽人數為24597人，比率為99.3%，惟頭戴安全帽並不是生命安全的絕對保證，尚有極大可能而造成身體其他部位之傷害。,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市104年A2道路交通事故-機車傷亡者與戴用安全帽關係統計,124882,提供新北市104年A2道路交通事故中，機車傷亡者與騎士是否戴用安全帽的統計資訊,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,新北市105年A2道路交通事故-機車傷亡者與戴用安全帽關係統計,125212,新北市105年交通事故機車騎士及乘客佩戴安全帽比率約為99.5%，惟頭戴安全帽並不是生命安全的絕對保證，尚有極大可能而造成身體其他部位之傷害。,breau;p_class;statu_class;dead;hurt,新北市政府警察局
A2道路交通事故-發生時間與第1當事者酒後駕車肇事分析統計表,新北市105年A2道路交通事故-發生時間與第一當事者酒後駕車肇事分析統計表,124020,新北市105年A2道路交通事故-發生時間與第一當事者酒後駕車肇事分析統計表,time;car_type;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者使用行動電話分析統計,新北市105年A2道路交通事故-第一當事者使用行動電話分析統計,123894,新北市105年A2道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A2道路交通事故-第1當事者使用行動電話分析統計,新北市103年A2道路交通事故-第一當事者使用行動電話分析統計,124047,新北市103年A2道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A2道路交通事故-第1當事者使用行動電話分析統計,新北市104年A2道路交通事故-第一當事者使用行動電話分析統計,124884,新北市104年A2道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A2道路交通事故-第1當事者使用行動電話分析統計,新北市102年A2道路交通事故-第一當事者使用行動電話分析統計,124903,新北市102年A2道路交通事故-第一當事者使用行動電話分析統計,breau;statu_class;year;count,新北市政府警察局
A2道路交通事故-第1當事者車輛用途,新北市105年A2道路交通事故-第一當事者車輛用途,123665,新北市105年A2道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者車輛用途,新北市102年A2道路交通事故-第一當事者車輛用途,123967,新北市102年A2道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者車輛用途,新北市103年A2道路交通事故-第一當事者車輛用途,125085,新北市103年A2道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者車輛用途,新北市104年A2道路交通事故-第一當事者車輛用途,125225,新北市104年A2道路交通事故-第一當事者車輛用途,breau;car_type;year;count;dead;hurt,新北市政府警察局
