1032里防災避難地圖,新北市29區1032里防災避難地圖,124713,新北市各里防災避難地圖網址清單,Area;Village;Number;Link;Caption,新北市政府消防局
公寓大廈管理組織報備清冊,公寓大廈管理組織報備清冊-泰山區,126411,公寓大廈管理組織報備清冊-泰山區,town;date;organization;address;license,新北市政府工務局
公所原住民服務窗口,新北市各區區公所原住民服務窗口,124888,新北市各區區公所原住民服務窗口,no;area;name;phone;E-mail,新北市政府原住民族行政局
公教職員,公教職員,124542,1.新北市公教職員(含性別) 2.單位：人；% 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17,新北市政府主計處
公教職員官職等,公教職員官職等,125600,1.新北市公教職員官職等(含性別) 2.單位：人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21,新北市政府主計處
公教職員年齡結構,新北市政府公教職員年齡結構,123505,本項資料以本府暨所屬各機關(區公所)及烏來區公所為統計範圍，並以108年12月31日為基準日。,age;male;female,新北市政府人事處
公教職員年齡結構,公教職員年齡結構,123596,1.新北市公教職員年齡結構(含性別) 2.單位：% 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13,新北市政府主計處
公教職員教育程度結構,公教職員教育程度結構,123970,1.新北市公教職員教育程度結構(含性別) 2.單位：% 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13,新北市政府主計處
公教職員教育程度結構,新北市政府公教職員教育程度結構,124944,本項資料以本府暨所屬各機關(區公所)及烏來區公所為統計範圍，並以108年12月31日 為基準日。,eduLevel;male;female,新北市政府人事處
公文辦理成效一覽表,新北市政府公文辦理成效一覽表,124340,新北市政府101年至今各年度 1.公文 2.人民申請案 3.人民陳情案 申辦及辦理成果統計,field1;field2;field3;field4;field5;field6;field7;field8,新北市政府研究發展考核委員會
公有市場及超市清冊,新北市公有市場及超市清冊,125863,新北市公有市場及超市清冊,Quantity;Item;District;name;address;time;Types;total,新北市政府經濟發展局
公有攤販集中場清冊,新北市公有攤販集中場清冊,125838,新北市公有攤販集中場清冊,Number;Public_Open-air_market;Address;Phone,新北市政府經濟發展局
公有路外停車場即時賸餘車位數,新北市公有路外停車場即時賸餘車位數,122902,一、此資料須配合『新北市路外公共停車場資訊』的ID欄位使用。 二、本項資料，每3分鐘更新1次。 三、欄位說明： PARK:某停車場資料 ID:停車場編號 AVAILABLE:停車場目前之剩餘（汽車）車位數；部分停車場因更換營運廠商，尚無提供即時車位，其顯示數值為-9,id;availableCar,新北市政府交通局
公用天然氣導管承裝業(甲級乙級)清冊,新北市公用天然氣導管承裝業(甲級乙級)清冊,123822,提供本市公用天然氣導管承裝業(甲級乙級)之級別、公司名稱、地址等資料。,company;class_level;address,新北市政府經濟發展局
公私立立案幼兒園資料,新北市公私立立案幼兒園資料,124990,由本市幼兒教育資源網所提供之公私立立案幼兒園資料,type;title;tel;address;recruit;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府教育局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-石門區,123295,新北市公立公墓、納骨塔清冊-石門區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-烏來區,123308,新北市公立公墓、納骨塔清冊-烏來區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-深坑區,123427,新北市公立公墓、納骨塔清冊-深坑區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-平溪區,123811,新北市公立公墓、納骨塔清冊-平溪區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-雙溪區,124025,新北市公立公墓、納骨塔清冊-雙溪區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-樹林區,124142,新北市公立公墓、納骨塔清冊-樹林區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-林口區,124261,新北市公立公墓、納骨塔清冊-林口區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-新店區,124364,新北市公立公墓、納骨塔清冊-新店區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-貢寮區,124457,新北市公立公墓、納骨塔清冊-貢寮區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-泰山區,124464,新北市公立公墓、納骨塔清冊-泰山區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-淡水區,124647,新北市公立公墓、納骨塔清冊-淡水區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢,124823,新北市公立公墓、納骨塔清冊,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-石碇區,124964,新北市公立公墓、納骨塔清冊-石碇區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-八里區,124994,新北市公立公墓、納骨塔清冊-八里區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-土城區,125263,新北市公立公墓、納骨塔清冊-土城區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-瑞芳區,125300,新北市公立公墓、納骨塔清冊-瑞芳區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-三峽區,125490,新北市公立公墓、納骨塔清冊-三峽區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-中和區,125502,新北市公立公墓、納骨塔清冊-中和區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-鶯歌區,125508,新北市公立公墓、納骨塔清冊-鶯歌區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-汐止區,125631,新北市公立公墓、納骨塔清冊-汐止區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-金山區,125723,新北市公立公墓、納骨塔清冊-金山區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-坪林區,125741,新北市公立公墓、納骨塔清冊-坪林區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-五股區,125807,新北市公立公墓、納骨塔清冊-五股區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-萬里區,126033,新北市公立公墓、納骨塔清冊-萬里區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-新莊區,126153,新北市公立公墓、納骨塔清冊-新莊區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立公墓納骨塔查詢,新北市公立公墓納骨塔查詢-三芝區,126205,新北市公立公墓、納骨塔清冊-三芝區,FacilityClassification;District;FacilityName;FacilityAddress;TEL;Recent;OpenDay;OpenTime;RestTime;Remarks,新北市政府民政局
公立動物之家,新北市公立動物之家,125575,新北市農業局所提供的公立動物之家，歡迎民眾認養流浪犬貓。,district;address;tel;opening_hours,新北市政府農業局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-烏來區,123384,新北市109學年度公立國中學區一覽表-烏來區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-淡水區,123395,新北市109學年度公立國中學區一覽表-淡水區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-八里區,123805,新北市109學年度公立國中學區一覽表-八里區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-萬里區,124014,新北市109學年度公立國中學區一覽表-萬里區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-中和區,124256,新北市109學年度公立國中學區一覽表-中和區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-金山區,124300,新北市109學年度公立國中學區一覽表-金山區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-坪林區,124360,新北市109學年度公立國中學區一覽表-坪林區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-石門區,124411,新北市109學年度公立國中學區一覽表-石門區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-林口區,124440,新北市109學年度公立國中學區一覽表-林口區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-泰山區,124443,新北市109學年度公立國中學區一覽表-泰山區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-板橋區,124528,新北市109學年度公立國中學區一覽表-板橋區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-新店區,124617,新北市109學年度公立國中學區一覽表-新店區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-貢寮區,124742,新北市109學年度公立國中學區一覽表-貢寮區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-樹林區,125000,新北市109學年度公立國中學區一覽表-樹林區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-雙溪區,125251,新北市109學年度公立國中學區一覽表-雙溪區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-永和區,125342,新北市109學年度公立國中學區一覽表-永和區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-深坑區,125369,新北市109學年度公立國中學區一覽表-深坑區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-三峽區,125376,新北市109學年度公立國中學區一覽表-三峽區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-三芝區,125399,新北市109學年度公立國中學區一覽表-三芝區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-汐止區,125414,新北市109學年度公立國中學區一覽表-汐止區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-五股區,125422,新北市109學年度公立國中學區一覽表-五股區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-新莊區,125426,新北市109學年度公立國中學區一覽表-新莊區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-鶯歌區,125443,新北市109學年度公立國中學區一覽表-鶯歌區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表,125460,新北市109學年度公立國中學區一覽表,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-三重區,125500,新北市109學年度公立國中學區一覽表-三重區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-石碇區,125776,新北市109學年度公立國中學區一覽表-石碇區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-平溪區,125815,新北市109學年度公立國中學區一覽表-平溪區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-蘆洲區,125898,新北市109學年度公立國中學區一覽表-蘆洲區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國中學區一覽表,新北市109學年度公立國中學區一覽表-瑞芳區,126048,新北市109學年度公立國中學區一覽表-瑞芳區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-瑞芳區,123536,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-瑞芳區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-金山區,123582,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-金山區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-平溪區,123725,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-平溪區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-板橋區,123763,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-板橋區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-石碇區,123779,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-石碇區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-泰山區,123782,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-泰山區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-新店區,124003,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-新店區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-汐止區,124049,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-汐止區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-三峽區,124133,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-三峽區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-永和區,124180,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-永和區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-深坑區,124201,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-深坑區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-萬里區,124253,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-萬里區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-淡水區,124278,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-淡水區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-土城區,124363,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-土城區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-三重區,124419,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-三重區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-林口區,124435,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-林口區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-新莊區,124541,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-新莊區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-石門區,124674,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-石門區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-五股區,124739,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-五股區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-雙溪區,124773,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-雙溪區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-中和區,124774,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-中和區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區,124829,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-八里區,124995,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-八里區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-蘆洲區,125018,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-蘆洲區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-坪林區,125088,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-坪林區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-鶯歌區,125151,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-鶯歌區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-三芝區,125267,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-三芝區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-樹林區,125501,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-樹林區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-烏來區,125643,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-烏來區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立國小學區,新北市公立國小學區-貢寮區,125905,109學年國小學區一覽表。學區每學年皆有可能調整，故本資料每學年更新一次。-貢寮區,sname;district;pzoon;fzoon;mark,新北市政府教育局
公立幼兒園名錄,公立幼兒園名錄,125387,公立幼兒園名錄,No;District;Name;Tel;Address,新北市政府教育局
公職人員利益衝突迴避常見問答,新北市公職人員利益衝突迴避常見問答,123267,提供有關公職人員利益衝突迴避制度問答輯要,question;answer,新北市政府政風處
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-烏來區,123371,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-烏來區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-鶯歌區,123445,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-鶯歌區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-三峽區,123479,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-三峽區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-土城區,123625,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-土城區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-永和區,123653,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-永和區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-新店區,123866,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-新店區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-坪林區,123960,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-坪林區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-石碇區,123969,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-石碇區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-林口區,124125,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-林口區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-蘆洲區,124167,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-蘆洲區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-金山區,124221,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-金山區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-深坑區,124222,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-深坑區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-淡水區,124331,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-淡水區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-三重區,124529,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-三重區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-新莊區,124629,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-新莊區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-三芝區,124681,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-三芝區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-中和區,124740,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-中和區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-五股區,124787,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-五股區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
公費流感抗病毒藥劑合約醫療院所(類流感門診),新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)-貢寮區,124981,提供查詢本市類流感合約院所，該合約院所可開立公費抗病毒藥劑以對抗流感。-貢寮區,No;Name;Telphone;Address;District;Type;Time;Notice;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
