單位決算,"['17393', '38737', '51866', '91562', '106939']"
單位預算,"['12321', '26784', '43723', '76711', '98222', '117373']"
單位預算案,"['21324', '34731', '55075', '90713', '107537', '129477']"
會計月報,"['17403', '18384', '77061', '77062', '77063', '77064', '77066', '77069', '77168', '77171', '77173', '77178', '77184', '77185', '77188', '77189', '77190', '77191', '77192', '77193', '77194', '77195', '77196', '77197', '77198', '77199', '77226', '77227', '77228', '77230', '77231', '77233', '77234', '77236', '77237', '77238', '77243', '77897', '79010', '80641', '81300', '87323', '89621', '90963', '92457', '94685', '96217', '98315', '99036', '99793', '100946', '102110', '103366', '105077', '106864', '107795', '109150', '111332', '113344', '116051', '117554', '119088', '120302', '122192', '126994', '128376', '129144', '130086']"
黨團補助季報,"['44105', '46137', '54385']"
黨團補助季報表,"['73168', '77759', '85772', '91472', '96755', '100013', '104043', '108729', '114240', '119131', '127422']"
