中央研究院歷年科技移轉件數及總收入統計表,['90101']
中央研究院歷年統計資料,['91860']
中央研究院永續科學研究計畫核定通過名單,['86550']
中央研究院決算書表,['19981']
中央研究院法定預算,"['12313', '26939', '43946', '77650']"
中央研究院法規專區,['94023']
中央研究院法規會相關資料,['91077']
中央研究院深耕計畫核定通過名單,['86360']
中央研究院王世杰院長科普講座,['89890']
中央研究院生命科學組會議行事曆,['91480']
中央研究院生命組單位聯絡清單,['91656']
中央研究院生命組知識饗宴科普講座,['91599']
中央研究院知識饗宴系列電子書,['90860']
中央研究院研究人員及研究技術人員人數統計表,['89437']
中央研究院研討會論文目錄,['93891']
中央研究院科學研究基金會計報告,['19588']
中央研究院科學研究基金會計月報,['89686']
中央研究院科學研究基金法定預算,"['20234', '55661', '74925']"
中央研究院科學研究基金附屬單位決算,"['19375', '89677']"
中央研究院科學研究基金預算案,"['13763', '20861', '34729']"
中央研究院科研採購之逕行採購標案資料,['90754']
中央研究院科研採購公告招標之決標資料,['90711']
中央研究院科研採購無法決標公告,['90822']
中央研究院科研採購統計資訊,['90764']
中央研究院紀念館及美術館資訊,['90804']
中央研究院綜合體育館入館清潔費及場地使用收費標準,['90805']
中央研究院綜合體育館設施表,['90765']
中央研究院線上簽核比率表,['92494']
中央研究院編制內人員學歷統計表,['89448']
中央研究院編制內人員年齡統計表,['89445']
中央研究院編制內人員性別統計表,['89447']
中央研究院編制內現有行政、技術人員員額分析表,['89450']
中央研究院胡適院長科普講座,['90849']
中央研究院與國外文件傳遞服務歷年統計資料(2008-),['89544']
中央研究院與工研院學研合作計畫,['92181']
中央研究院蔡元培院長科普講座,['90847']
中央研究院藝文活動,['90859']
中央研究院行政電腦化推動委員會,['89246']
中央研究院資料科學研究計畫,['92182']
中央研究院資訊室主管及管理者經驗交流座談會歷年會議資料,['89213']
中央研究院資訊服務處RapidILL館際互借服務歷年統計資料(201504-),['89555']
中央研究院資訊服務處歷年新書清單,['87855']
中央研究院資訊服務處歷年訂購資料庫清單(2018-),['89248']
中央研究院資訊服務處線上資料庫教育訓練課程,['89250']
中央研究院資訊服務處重要紀事,['89216']
中央研究院資訊業務諮議委員會歷屆名單,['89620']
中央研究院資訊相關訓練課程,['86440']
中央研究院資訊科技創新研究中心-2020 資通產業系列講座,['109943']
中央研究院資訊科技創新研究中心-學術演講資訊,['109941']
中央研究院資訊科技創新研究中心-近期研究成果,['109942']
中央研究院資訊處電子服務台歷年服務案件統計,['89238']
中央研究院資訊訓練課程滿意度調查,['86563']
中央研究院資訊課程訓練人數統計,['86284']
中央研究院跨縣市科普講座(研講堂),['109145']
中央研究院辦理智財技轉相關法規,['88868']
中央研究院辦理社會參與一覽表,['91524']
中央研究院錢思亮院長科普講座,['90841']
中央研究院關鍵材料與分析科技研究計畫,['92188']
中央研究院院區開放資訊,['91555']
中央研究院院士名單,['90716']
中央研究院院新聞稿,['94024']
中央研究院院本部保有個人資料檔案公開項目,['89844']
中央研究院院本部單位聯絡清單,['91739']
中央研究院院本部會議行事曆,['91476']
中央研究院院訊,['91475']
