各級學校概況—學生數及畢業生數,['31436']
各級學校概況—校數、專任教師數及職員數,['31437']
各級學校縣市別學生人數,['40121']
各級學校運動代表隊種類,['34187']
各級學校運動社團種類,['34188']
各級學校女性教師人數及所占比率,['40120']
各級學校年齡別學生人數,['31438']
各縣市國民中小學辦理教師進修活動場次數量之情況,['78566']
各縣市民眾每人平均享有體育運動經費數,['104896']
各縣市自行車道路資訊,['8187']
各縣市體育局、處(場)預算概況,['11280']
各縣市體育會,['6674']
各縣市高爾夫球場面積及數量,['35447']
各縣市高級中等以下學校及幼兒園教師參與進修活動之情況,['78591']
各縣市高級中等以下學校及幼兒園教師進修活動場次數量,['43239']
各體育總會人力配置經費概況,['41895']
單位決算,['45390']
單位預算會計月報,['20496']
單位預算案,"['12241', '21305', '35369', '55235', '90884', '107750']"
嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,['100389']
嚴重特殊傳染性肺炎防治及紓困振興特別預算月報,['122637']
國中小圖書館(室)概況,['40119']
國中小行動學習推動計畫補助學校名單,['31822']
國中小補校名錄,['28584']
國中教育會考各科試題通過率,['15391']
國中會考各就學區各學年度超額比序配分情形,['31033']
國內大專校院選送學生出國研修或國外專業實習計畫審核結果公告,['33003']
國內體育團體人員出國類別成績一覽表,['41649']
國內體育運動團體人員出國類別次數,['20807']
國內高爾夫球場,['6528']
國外體育運動團體來臺參加活動統計,"['76926', '104408']"
國家圖書館出版品目錄,['8305']
國家圖書館單位決算,"['21089', '27995', '44672', '77014']"
國家圖書館單位預算,"['12645', '30625', '43606', '77128', '98342', '118199']"
國家圖書館單位預算案,"['16343', '22171', '52654', '90250', '108032']"
國家圖書館客家研究文獻書目資訊,['22092']
國家圖書館對民間團體及個人補(捐)助預算執行情形,['45685']
國家圖書館年報,['8413']
國家圖書館政府公報資料,['8178']
國家圖書館最新活動訊息,['6838']
國家圖書館會計月報,['20477']
國家圖書館臺灣博碩士論文系統,['14024']
國家圖書館預算案,['35400']
國家圖書館館藏書目資訊,['27311']
國家教育研究院-人體解剖學學術名詞,['14549']
國家教育研究院-內分泌學學術名詞,['14840']
國家教育研究院-兩岸對照名詞-中醫學術名詞,['15269']
國家教育研究院-兩岸對照名詞-動物學術名詞,['15283']
國家教育研究院-兩岸對照名詞-化學化工學術名詞,['15270']
國家教育研究院-兩岸對照名詞-地理學學術名詞,['15271']
國家教育研究院-兩岸對照名詞-地質學學術名詞,['15272']
國家教育研究院-兩岸對照名詞-大氣科學學術名詞,['15268']
國家教育研究院-兩岸對照名詞-數學學術名詞,['15290']
國家教育研究院-兩岸對照名詞-林學學術名詞,['15273']
國家教育研究院-兩岸對照名詞-植物學術名詞,['15285']
國家教育研究院-兩岸對照名詞-機械學術名詞,['15291']
