103度中央政府總決算歲入歲出簡明比較分析表,['23850']
彰化縣常住人口之年齡結構(不含外籍勞工),['20715']
彰化縣常住人口之性比例(不含外籍勞工),['18531']
彰化縣常住人口數及人口密度,['18509']
彰化縣１５歲以上常住人口之婚姻狀況,['22399']
彰化縣１５歲以上常住人口之教育程度,['20738']
彰化縣１５歲以上民間常住人口之工作狀況,['22426']
彰化縣５歲以上常住人口之遷徙情形,['24254']
彰化縣６歲以上常住人口之工作地及就學地狀況,['24292']
從事漁業之僱用人數,['72702']
從事漁業之動力漁船漁撈家數,['79387']
從事漁業之動力漁船艘數,"['72706', '72707', '79388', '79389']"
從事漁業之年底僱用人數,"['72703', '72704', '79383', '79384']"
從事漁業之水產養繁殖家數擁有養繁殖漁船情形,['79394']
從事漁業之水產養繁殖經營概況,['72708']
從事漁業之水產養繁殖面積(不含箱網),"['72709', '72710', '79395']"
從事漁業之漁撈家數,['79385']
從事漁業之漁撈家數擁有漁船艘數情形,['79386']
從事漁業之漁撈經營概況,['72705']
從事漁業之無動力漁船漁撈家數,['79390']
從事漁業之無動力漁船艘數,"['79391', '79392']"
從事漁業之獨資漁戶其有從事自家漁業工作之經營管理者平均年齡,['79410']
從事漁業之獨資漁戶其漁業工作承接者,"['72720', '79407', '79408']"
從事漁業之獨資漁戶其漁業經營管理者,"['72719', '79405', '79406']"
從事漁業之獨資漁戶家數,"['72711', '72712', '72713', '79396', '79397', '79398', '79399', '79400', '79401']"
從事漁業之獨資漁戶戶內15歲以上人口數,"['72715', '72716', '72717', '72718']"
從事漁業之獨資漁戶戶內15歲以上從事自家漁業工作人口數,['79402']
從事漁業之獨資漁戶戶內15歲以上從事自家漁業工作人數,"['79403', '79404']"
從事漁業之獨資漁戶戶內15歲以上有從事自家漁業工作者平均年齡,['79409']
從事漁業之獨資漁戶戶內人口數,['72714']
從事漁業之獨資漁戶水產養繁殖面積(不含箱網),"['79411', '79412']"
從事漁業家數,"['72688', '72689', '72690', '72691', '72692', '72693', '72694', '72695', '72696', '72697', '72698', '72701', '79381', '79382']"
從事農牧業之人工鋪面面積,"['72663', '80689', '80690', '80691', '80692']"
從事農牧業之僱用人數,['80686']
從事農牧業之可耕作地面積,"['72657', '72659', '72660', '72661', '72662', '80687']"
從事農牧業之每1經營單位平均人工鋪面面積,['80688']
從事農牧業之每1經營單位平均可耕作地面積,['72658']
從事農牧業之每1農牧場平均可耕作地面積,['72621']
從事農牧業之每1農牧戶平均人工鋪面面積,['80671']
從事農牧業之每1農牧戶平均可耕作地面積,['72598']
從事農牧業之經營管理者,['72656']
從事農牧業之農牧場其年底從業員工人數,['72619']
從事農牧業之農牧場其從業員工人數,['72618']
從事農牧業之農牧場其農牧業經營管理者,"['80684', '80685']"
從事農牧業之農牧場可耕作地面積,"['72620', '72622', '72623']"
從事農牧業之農牧場家數,"['72602', '72603', '72604', '72605', '72606', '72609', '80676', '80677', '80678', '80679', '80680', '80681', '80682', '80683']"
從事農牧業之農牧戶人工鋪面面積,"['72601', '80672', '80673', '80674', '80675']"
從事農牧業之農牧戶其從事自家農牧業工作之僱用人數,['72596']
從事農牧業之農牧戶其有從事自家農牧業工作之經營管理者平均年齡,['80667']
從事農牧業之農牧戶其農牧業工作承接者,"['72595', '80664', '80665']"
從事農牧業之農牧戶其農牧業經營管理者,"['72593', '72594', '80663']"
從事農牧業之農牧戶可耕作地面積,"['72597', '72599', '72600', '80668', '80669', '80670']"
從事農牧業之農牧戶家數,"['72551', '72552', '72553', '72554', '72555', '72556', '72557', '72558', '72559', '72560', '72561', '72562', '72565', '72566', '72567', '72568', '72569', '72570']"
從事農牧業之農牧戶戶內15歲以上人口數,"['72588', '72589', '72590', '72591', '72592']"
從事農牧業之農牧戶戶內人口數,['72587']
從事農牧業之農牧戶戶內自家農牧業工作人數,"['80661', '80662']"
從事農牧業之農牧戶戶內自家農牧業工作者之平均年齡,['80666']
從事農牧業家數,"['72624', '72625', '72626', '72627', '72628', '72629', '72630', '72631', '72632', '72633', '72634', '72637', '72638']"
性別不平等指數(GII),['25712']
性別落差指數(GGI)(自起由行政院性別平等處編布),['25713']
所得層級別消費者物價指數,['6020']
批發及零售業、住宿及餐飲業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['112069']
批發及零售業、住宿及餐飲業企業單位全年各項支出,['111903']
批發及零售業、住宿及餐飲業企業單位全年各項收入,['111902']
批發及零售業、住宿及餐飲業企業單位各項生產力及經營效率,['112063']
批發及零售業、住宿及餐飲業企業單位實際運用資產淨額,"['111899', '111900', '111901']"
批發及零售業、住宿及餐飲業企業單位年底從業員工人數及全年薪資,"['111896', '111897', '111898']"
批發及零售業、住宿及餐飲業企業單位數,"['112064', '112065', '112066', '112067']"
批發及零售業、住宿及餐飲業企業單位營運數位化概況,['112068']
批發及零售業、住宿及餐飲業企業單位生產淨額,['111904']
批發及零售業、住宿及餐飲業企業單位經營概況,"['111892', '111893', '111894', '111895']"
批發及零售業、住宿及餐飲業場所單位年底從業員工人數及全年薪資,"['122322', '122323']"
批發及零售業、住宿及餐飲業場所單位數,"['122324', '122325', '122326', '122327']"
批發及零售業、住宿及餐飲業場所單位經營概況,"['122320', '122321']"
批發及零售業企業單位各商品銷售管道銷售收入,"['111656', '112071']"
批發及零售業企業單位商品零售管道,"['111655', '112070']"
批發及零售業廠商空缺員工僱用條件概況,['36797']
攤販經營概況調查,['10918']
支援服務業廠商空缺員工僱用條件概況,['37978']
收支簡明比較分析表,"['6589', '9163']"
政府會計公報,['10895']
政府歲計會計資訊管理系統簡介,['10964']
政策宣導相關廣告,['10981']
教育服務業廠商空缺員工僱用條件概況,['37979']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['112352']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位全年各項支出,['112344']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位全年各項收入,['112343']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位各項生產力及經營效率,['112346']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位實際運用資產淨額,"['112340', '112341', '112342']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位年底從業員工人數及全年薪資,"['112337', '112338', '112339']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位數,"['112347', '112348', '112349', '112350']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位營運數位化概況,['112351']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位生產淨額,['112345']
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業企業單位經營概況,"['112284', '112285', '112286', '112336']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業場所單位年底從業員工人數及全年薪資,"['122354', '122355']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業場所單位數,"['122356', '122357', '122358', '122359']"
教育業、醫療保健及社會工作服務業、藝術娛樂及休閒服務業與其他服務業場所單位經營概況,"['122352', '122353']"
教育程度別勞動力參與率,"['33446', '36802']"
教育程度別失業率,"['34118', '37971']"
新北市住宅單位數,['24784']
新北市住戶數、常住人口數及平均每戶人口數,['24760']
新北市工商及服務業場所單位年底從業員工人數及全年薪資,['15730']
新北市工商及服務業場所單位經營概況,['15706']
新北市常住人口之年齡結構(不含外籍勞工),['20706']
新北市常住人口之性比例(不含外籍勞工),['18522']
新北市常住人口數及人口密度,['18447']
新北市１５歲以上常住人口之婚姻狀況,['22390']
新北市１５歲以上常住人口之教育程度,['20729']
新北市１５歲以上民間常住人口之工作狀況,['22417']
新北市５歲以上常住人口之遷徙情形,['24245']
新北市６歲以上常住人口之工作地及就學地狀況,['24283']
新竹市住宅單位數,['24802']
新竹市住戶數、常住人口數及平均每戶人口數,['24778']
新竹市工商及服務業場所單位年底從業員工人數及全年薪資,['15733']
新竹市工商及服務業場所單位經營概況,['15709']
新竹市常住人口之年齡結構(不含外籍勞工),['20724']
新竹市常住人口之性比例(不含外籍勞工),['18540']
新竹市常住人口數及人口密度,['18518']
新竹市１５歲以上常住人口之婚姻狀況,['22408']
新竹市１５歲以上常住人口之教育程度,['20747']
新竹市１５歲以上民間常住人口之工作狀況,['22436']
新竹市５歲以上常住人口之遷徙情形,['24263']
新竹市６歲以上常住人口之工作地及就學地狀況,['24301']
新竹縣住宅單位數,['24791']
新竹縣住戶數、常住人口數及平均每戶人口數,['24767']
新竹縣工商及服務業場所單位年底從業員工人數及全年薪資,['15736']
新竹縣工商及服務業場所單位經營概況,['15712']
新竹縣常住人口之年齡結構(不含外籍勞工),['20713']
新竹縣常住人口之性比例(不含外籍勞工),['18529']
新竹縣常住人口數及人口密度,['18507']
新竹縣１５歲以上常住人口之婚姻狀況,['22397']
新竹縣１５歲以上常住人口之教育程度,['20736']
新竹縣１５歲以上民間常住人口之工作狀況,['22424']
新竹縣５歲以上常住人口之遷徙情形,['24252']
新竹縣６歲以上常住人口之工作地及就學地狀況,['24290']
普抽查資訊業務簡介,['10971']
普通公務單位會計科目代碼,['14901']
會計制度,['10891']
會計報告,['19789']
會計報告(及以後年度),['101035']
會計月報評等表,['10896']
有本場初級農畜產品加工之農牧場家數,['72607']
有經營休閒之漁業家數,['72700']
有經營休閒之農牧場家數,['72608']
有經營休閒之農牧戶家數,['72564']
有經營休閒之農牧業家數,['72636']
有自家初級漁產品加工之漁業家數,['72699']
有自家初級農畜產品加工之農牧戶家數,['72563']
有自家初級農畜產品加工之農牧業家數,['72635']
服務業廠商短缺員工僱用條件概況,['36791']
林場之新造林作業情形,['78491']
林場之林地面積,"['78482', '78484', '78486', '78488']"
林場之砍(採)伐作業情形,['78493']
林戶之新造林作業情形,['78492']
林戶之林地面積,"['78483', '78485', '78487', '78489']"
林戶之砍(採)伐作業情形,['78494']
林戶家數,['72686']
林戶戶內15歲以上以自家林業為主要工作人數,['78495']
林戶戶內人口數,['72687']
林業之新造林作業情形,['72684']
林業之林地面積,"['72678', '72680', '72681', '72682', '72683']"
林業之砍(採)伐作業情形,['72685']
林業之附屬用地面積,['72679']
林業家數,"['72674', '72675', '72676', '72677', '78476', '78477', '78478', '78479', '78480', '78481', '78496']"
林業從事林業相關工作人數,['78490']
桃園縣住宅單位數,['24790']
桃園縣住戶數、常住人口數及平均每戶人口數,['24766']
桃園縣工商及服務業場所單位年底從業員工人數及全年薪資,['15735']
桃園縣工商及服務業場所單位經營概況,['15711']
桃園縣常住人口之年齡結構(不含外籍勞工),['20712']
桃園縣常住人口之性比例(不含外籍勞工),['18528']
桃園縣常住人口數及人口密度,['18506']
桃園縣１５歲以上常住人口之婚姻狀況,['22396']
桃園縣１５歲以上常住人口之教育程度,['20735']
桃園縣１５歲以上民間常住人口之工作狀況,['22423']
桃園縣５歲以上常住人口之遷徙情形,['24251']
桃園縣６歲以上常住人口之工作地及就學地狀況,['24289']
歲入來源別科目編號表,['13053']
歲入來源別預算比較總表,"['6590', '9164']"
歲入來源別預算總表,['40102']
歲入歲出簡明對照表,['40101']
歲出按職能及經濟性綜合分類表,"['6595', '9172']"
歲出科目編號表,"['13055', '13057']"
歲出預算總表,"['6591', '6592', '9165', '9167', '40103', '40104']"
歷年15歲以上民間人口之年齡,['31061']
歷年15歲以上民間人口之教育程度,['31062']
歷年中央政府收支概況表,"['6807', '9174']"
歷年人力資源調查重要指數,['31060']
歷年人力資源調查重要指標,['31055']
歷年人力資源調查重要結果,['31050']
歷年勞動力之年齡,['31063']
歷年勞動力之教育程度,['31064']
歷年各業受僱員工每人每月經常性薪資,['9663']
歷年各業受僱員工每人每月總薪資,['9634']
歷年各業廠商空缺人數,['9857']
歷年各業廠商空缺率,['9858']
歷年各級政府淨收支概況表,"['6806', '9173']"
歷年失業者,['32744']
歷年失業者之平均失業週數,['32746']
歷年失業者之年齡,['32747']
歷年失業者之教育程度,['32745']
歷年婚姻狀況別勞動力參與率,['31829']
歷年就業者之年齡,['31830']
歷年就業者之從業身分,['31834']
歷年就業者之教育程度,['31831']
歷年就業者之服務場所員工人數,['31835']
歷年就業者之獲得現職方法,['9765']
歷年就業者之現職工作期間,['40289']
歷年就業者之職業,['31833']
歷年就業者之行業,['31832']
歷年工業及服務業受僱員工勞動報酬結構,['9665']
歷年工業及服務業受僱員工概況,['9664']
歷年年齡組別勞動力參與率,['31827']
歷年年齡組別失業率,['32743']
歷年教育程度別勞動力參與率,['31828']
歷年教育程度別失業率,['32741']
歷年有配偶或同居婦女勞動力參與率,['9764']
歷年非勞動力之未參與勞動原因,['32742']
水庫實物資產帳,['44164']
水污染品質帳-水庫水質優養指數CTSI,['22668']
水污染品質帳-河川水質達成率,['22665']
水污染品質帳-海域水質合格率,['22669']
水污染排放帳,['6890']
河川逕流量統計,['44166']
流域綜合治理計畫特別預算,"['10506', '61413']"
消費者物價商品性質分類指數,['6305']
消費者物價基本分類指數,['6019']
消費者物價基本分類暨項目群指數,['9158']
消費者物價特殊分類指數,['8237']
消費者物價購買頻度別指數,['6021']
澎湖縣住宅單位數,['24800']
澎湖縣住戶數、常住人口數及平均每戶人口數,['24776']
澎湖縣工商及服務業場所單位年底從業員工人數及全年薪資,['15747']
澎湖縣工商及服務業場所單位經營概況,['15723']
澎湖縣常住人口之年齡結構(不含外籍勞工),['20722']
澎湖縣常住人口之性比例(不含外籍勞工),['18538']
澎湖縣常住人口數及人口密度,['18516']
澎湖縣１５歲以上常住人口之婚姻狀況,['22406']
澎湖縣１５歲以上常住人口之教育程度,['20745']
澎湖縣１５歲以上民間常住人口之工作狀況,['22434']
澎湖縣５歲以上常住人口之遷徙情形,['24261']
澎湖縣６歲以上常住人口之工作地及就學地狀況,['24299']
營建工程業企業單位使用勞動派遣、研究發展、創新活動、自有品牌及環保支出概況,['111891']
營建工程業企業單位全年各項支出,['111815']
營建工程業企業單位全年各項收入,['111814']
營建工程業企業單位各項生產力及經營效率,['111817']
營建工程業企業單位實際運用資產淨額,"['111811', '111812', '111813']"
營建工程業企業單位年底從業員工人數及全年薪資,"['111808', '111809', '111810']"
營建工程業企業單位數,"['111818', '111819', '111820', '111889']"
營建工程業企業單位營運數位化概況,['111890']
營建工程業企業單位生產淨額,['111816']
營建工程業企業單位經營概況,"['111804', '111805', '111806', '111807']"
營建工程業場所單位年底從業員工人數及全年薪資,"['122314', '122315']"
營建工程業場所單位數,"['122316', '122317', '122318', '122319']"
營建工程業場所單位經營概況,"['122312', '122313']"
營造工程物價指數,['8246']
營造廢棄物排放帳,['9759']
營造業廠商空缺員工僱用條件概況,['36796']
物價指數統計網址連結,['44211']
物品管理手冊,['10894']
特別決算,['10985']
特種基金歲計會計資訊管理系統推動簡介,['10965']
環境與經濟帳指標,['10936']
產業關聯統計-商品對商品(CXC)150部門商業差距表,['119403']
產業關聯統計-商品對商品(CXC)150部門國內運費表,['119402']
產業關聯統計-商品對商品(CXC)150部門國內關聯程度表(I-D),['119398']
產業關聯統計-商品對商品(CXC)150部門國產品交易表,['119396']
產業關聯統計-商品對商品(CXC)150部門國產品投入係數表,['119397']
產業關聯統計-商品對商品(CXC)150部門生產者價格交易表(含進口稅淨額),['119395']
產業關聯統計-商品對商品(CXC)150部門生產者價格交易表(進口按C.I.F.計值),['118334']
產業關聯統計-商品對商品(CXC)150部門生產者價格投入係數表,['119248']
產業關聯統計-商品對商品(CXC)150部門產業關聯程度表(I-(I-M)A),['119388']
產業關聯統計-商品對商品(CXC)150部門產業關聯程度表(I-A),['119387']
產業關聯統計-商品對商品(CXC)150部門購買者價格交易表,['119394']
產業關聯統計-商品對商品(CXC)150部門進口品交易表(C.I.F.+進口稅淨額),['119399']
產業關聯統計-商品對商品(CXC)150部門進口品交易表(按C.I.F計值),['119400']
產業關聯統計-商品對商品(CXC)150部門進口品投入係數表(按C.I.F計值),['119401']
產業關聯統計-商品對商品(CXC)160部門商業差距表,['44873']
產業關聯統計-商品對商品(CXC)160部門國內運費表,['44872']
產業關聯統計-商品對商品(CXC)160部門國內關聯程度表(I-D),['44866']
產業關聯統計-商品對商品(CXC)160部門國產品交易表,['44864']
產業關聯統計-商品對商品(CXC)160部門國產品投入係數表,['44865']
產業關聯統計-商品對商品(CXC)160部門生產者價格交易表(含進口稅淨額),['44863']
產業關聯統計-商品對商品(CXC)160部門生產者價格交易表(進口按C.I.F.計值),['44858']
產業關聯統計-商品對商品(CXC)160部門生產者價格投入係數表,['44859']
產業關聯統計-商品對商品(CXC)160部門產業關聯程度表(I-(I-M)A),['44861']
產業關聯統計-商品對商品(CXC)160部門產業關聯程度表(I-A),['44860']
產業關聯統計-商品對商品(CXC)160部門購買者價格交易表,['44862']
產業關聯統計-商品對商品(CXC)160部門進口品交易表(C.I.F.+進口稅淨額),['44867']
產業關聯統計-商品對商品(CXC)160部門進口品交易表(按C.I.F計值),['44869']
產業關聯統計-商品對商品(CXC)160部門進口品投入係數表(按C.I.F計值),['44871']
產業關聯統計-商品對商品(CXC)162部門商業差距表,['40405']
產業關聯統計-商品對商品(CXC)162部門國內運費表,['40404']
產業關聯統計-商品對商品(CXC)162部門國內關聯程度表(I-D),['40400']
產業關聯統計-商品對商品(CXC)162部門國產品交易表,['40398']
產業關聯統計-商品對商品(CXC)162部門國產品投入係數表,['40399']
產業關聯統計-商品對商品(CXC)162部門生產者價格交易表(含進口稅淨額),['40397']
產業關聯統計-商品對商品(CXC)162部門生產者價格交易表(進口按C.I.F.計值),['40392']
產業關聯統計-商品對商品(CXC)162部門生產者價格投入係數表,['40393']
產業關聯統計-商品對商品(CXC)162部門產業關聯程度表(I-(I-M)A),['40395']
產業關聯統計-商品對商品(CXC)162部門產業關聯程度表(I-A),['40394']
產業關聯統計-商品對商品(CXC)162部門購買者價格交易表,['40396']
產業關聯統計-商品對商品(CXC)162部門進口品交易表(C.I.F.+進口稅淨額),['40401']
產業關聯統計-商品對商品(CXC)162部門進口品交易表(按C.I.F計值)),['40402']
產業關聯統計-商品對商品(CXC)162部門進口品投入係數表(按C.I.F計值),['40403']
產業關聯統計-商品對商品(CXC)166部門商業差距表,"['24014', '40425']"
產業關聯統計-商品對商品(CXC)166部門國內運費表,"['24013', '40423']"
產業關聯統計-商品對商品(CXC)166部門國內關聯程度表(I-D),"['24009', '40419']"
產業關聯統計-商品對商品(CXC)166部門國產品交易表,"['24007', '40416']"
產業關聯統計-商品對商品(CXC)166部門國產品投入係數表,"['24008', '40418']"
產業關聯統計-商品對商品(CXC)166部門生產者價格交易表(含進口稅淨額),"['24006', '40415']"
產業關聯統計-商品對商品(CXC)166部門生產者價格交易表(進口品按C.I.F.計值),"['24001', '40407']"
產業關聯統計-商品對商品(CXC)166部門生產者價格投入係數表,"['24002', '40408']"
產業關聯統計-商品對商品(CXC)166部門產業關聯程度表(I-(I-M)A),"['24004', '40411']"
產業關聯統計-商品對商品(CXC)166部門產業關聯程度表(I-A),"['24003', '40410']"
產業關聯統計-商品對商品(CXC)166部門購買者價格交易表,"['24005', '40412']"
產業關聯統計-商品對商品(CXC)166部門進口品交易表(C.I.F),['24011']
產業關聯統計-商品對商品(CXC)166部門進口品交易表(C.I.F.+進口稅淨額),"['24010', '40420']"
產業關聯統計-商品對商品(CXC)166部門進口品交易表(按C.I.F計值),['40421']
產業關聯統計-商品對商品(CXC)166部門進口品投入係數表(按C.I.F計值),"['24012', '40422']"
產業關聯統計-商品對商品(CXC)39部門國內關聯程度表(I-D),['23941']
產業關聯統計-商品對商品(CXC)39部門國產品交易表,['23939']
產業關聯統計-商品對商品(CXC)39部門國產品投入係數表,['23940']
產業關聯統計-商品對商品(CXC)39部門生產者價格交易表(含進口稅淨額),['23938']
產業關聯統計-商品對商品(CXC)39部門生產者價格交易表(進口品按C.I.F.計值),['23933']
產業關聯統計-商品對商品(CXC)39部門生產者價格投入係數表,['23934']
產業關聯統計-商品對商品(CXC)39部門產業關聯程度表(I-(I-M)A),['23936']
產業關聯統計-商品對商品(CXC)39部門產業關聯程度表(I-A),['23935']
產業關聯統計-商品對商品(CXC)39部門購買者價格交易表,['23937']
產業關聯統計-商品對商品(CXC)39部門進口品交易表(按C.I.F.+進口稅淨額),['23942']
產業關聯統計-商品對商品(CXC)39部門進口品交易表(按C.I.F.計值),['23943']
產業關聯統計-商品對商品(CXC)39部門進口品投入係數表(按C.I.F.計值),['23945']
產業關聯統計-商品對商品(CXC)45部門國內關聯程度表(I-D),['23928']
產業關聯統計-商品對商品(CXC)45部門國產品交易表,['23926']
產業關聯統計-商品對商品(CXC)45部門國產品投入係數表,['23927']
產業關聯統計-商品對商品(CXC)45部門生產者價格交易表(含進口稅淨額),['23925']
產業關聯統計-商品對商品(CXC)45部門生產者價格交易表(進口品按C.I.F.計值),['23919']
產業關聯統計-商品對商品(CXC)45部門生產者價格投入係數表,['23920']
產業關聯統計-商品對商品(CXC)45部門產業關聯程度表(I-(I-M)A),['23922']
產業關聯統計-商品對商品(CXC)45部門產業關聯程度表(I-A),['23921']
產業關聯統計-商品對商品(CXC)45部門購買者價格交易表,['23923']
產業關聯統計-商品對商品(CXC)45部門進口品交易表(按C.I.F.+進口稅淨額),['23929']
產業關聯統計-商品對商品(CXC)45部門進口品交易表(按C.I.F.計值),['23930']
產業關聯統計-商品對商品(CXC)45部門進口品投入係數表(按C.I.F.計值),['23931']
產業關聯統計-商品對商品(CXC)49部門國內關聯程度表(I-D),['23914']
產業關聯統計-商品對商品(CXC)49部門國產品交易表,['23912']
產業關聯統計-商品對商品(CXC)49部門國產品投入係數表,['23913']
產業關聯統計-商品對商品(CXC)49部門生產者價格交易表(含進口稅淨額),['23909']
產業關聯統計-商品對商品(CXC)49部門生產者價格交易表(進口品按C.I.F.計值),['23902']
產業關聯統計-商品對商品(CXC)49部門生產者價格投入係數表,['23903']
產業關聯統計-商品對商品(CXC)49部門產業關聯程度表(I-(I-M)A),['23905']
產業關聯統計-商品對商品(CXC)49部門產業關聯程度表(I-A),['23904']
產業關聯統計-商品對商品(CXC)49部門購買者價格交易表,['23906']
產業關聯統計-商品對商品(CXC)49部門進口品交易表(按C.I.F.+進口稅淨額),['23915']
產業關聯統計-商品對商品(CXC)49部門進口品交易表(按C.I.F.計值),['23916']
產業關聯統計-商品對商品(CXC)49部門進口品投入係數表(按C.I.F.計值),['23918']
產業關聯統計-商品對商品(CXC)526部門國產品交易表,['40391']
產業關聯統計-商品對商品(CXC)526部門生產者價格交易表(含進口稅淨額),['40432']
產業關聯統計-商品對商品(CXC)526部門生產者價格交易表(進口品按C.I.F.計值),['40428']
產業關聯統計-商品對商品(CXC)526部門購買者價格交易表,['40435']
產業關聯統計-商品對商品(CXC)52部門國內關聯程度表(I-D),"['23876', '23897']"
產業關聯統計-商品對商品(CXC)52部門國產品交易表,"['23874', '23894']"
產業關聯統計-商品對商品(CXC)52部門國產品投入係數表,"['23875', '23895']"
產業關聯統計-商品對商品(CXC)52部門生產者價格交易表(含進口稅淨額),"['23873', '23893']"
產業關聯統計-商品對商品(CXC)52部門生產者價格交易表(進口品按C.I.F.計值),"['23860', '23882']"
產業關聯統計-商品對商品(CXC)52部門生產者價格投入係數表,"['23869', '23884']"
產業關聯統計-商品對商品(CXC)52部門產業關聯程度表(I-(I-M) A),['23888']
產業關聯統計-商品對商品(CXC)52部門產業關聯程度表(I-(I-M)A),['23871']
產業關聯統計-商品對商品(CXC)52部門產業關聯程度表(I-A),"['23870', '23886']"
產業關聯統計-商品對商品(CXC)52部門購買者價格交易表,"['23872', '23890']"
產業關聯統計-商品對商品(CXC)52部門進口品交易表(按C.I.F.+進口稅淨額 ),['23898']
產業關聯統計-商品對商品(CXC)52部門進口品交易表(按C.I.F.+進口稅淨額),['23877']
產業關聯統計-商品對商品(CXC)52部門進口品交易表(按C.I.F.計值),"['23878', '23899']"
產業關聯統計-商品對商品(CXC)52部門進口品投入係數表(按C.I.F.計值),"['23880', '23900']"
產業關聯統計-商品對商品(CXC)554部門國產品交易表,['40390']
產業關聯統計-商品對商品(CXC)554部門生產者價格交易表(含進口稅淨額),['40431']
產業關聯統計-商品對商品(CXC)554部門生產者價格交易表(進口品按C.I.F.計值),['40427']
產業關聯統計-商品對商品(CXC)554部門購買者價格交易表,['40434']
產業關聯統計-商品對商品(CXC)569部門生產者價格交易表(含進口稅淨額),['119404']
產業關聯統計-商品對商品(CXC)569部門購買者價格交易表,['119405']
產業關聯統計-商品對商品(CXC)596部門國產品交易表,['44874']
產業關聯統計-商品對商品(CXC)596部門生產者價格交易表(含進口稅淨額),['44878']
產業關聯統計-商品對商品(CXC)596部門生產者價格交易表(進口按C.I.F.計值),['44877']
產業關聯統計-商品對商品(CXC)596部門購買者價格交易表,['44880']
產業關聯統計-商品對商品(CXC)596部門進口品交易表(按C.I.F.+進口稅淨額),['44876']
產業關聯統計-商品對商品(CXC)596部門進口品交易表(按C.I.F.計值),['44875']
產業關聯統計-商品對商品(CXC)610部門國產品交易表,['40341']
產業關聯統計-商品對商品(CXC)610部門生產者價格交易表(含進口稅淨額),['40430']
產業關聯統計-商品對商品(CXC)610部門生產者價格交易表(進口按C.I.F.計值),['40426']
產業關聯統計-商品對商品(CXC)610部門購買者價格交易表,['40433']
產業關聯統計-商品對商品(CXC)商業差距表,['23966']
產業關聯統計-商品對商品(CXC)國內運費表,['23965']
產業關聯統計-商品對商品(CXC)國內關聯程度表(I-D),"['23961', '23977']"
產業關聯統計-商品對商品(CXC)國產品交易表,"['23958', '23975']"
產業關聯統計-商品對商品(CXC)國產品投入係數表,"['23960', '23976']"
產業關聯統計-商品對商品(CXC)基本價值交易表,"['23957', '23974']"
產業關聯統計-商品對商品(CXC)生產者價格交易表(含進口稅淨額),"['23956', '23973']"
產業關聯統計-商品對商品(CXC)生產者價格交易表(進口品按C.I.F.計值),['23969']
產業關聯統計-商品對商品(CXC)生產者價格交易表(進口品按C.I.F.計算),['23948']
產業關聯統計-商品對商品(CXC)生產者價格投入係數表,"['23949', '23970']"
產業關聯統計-商品對商品(CXC)產業關聯程度表 [I-(I-M)A],['23953']
產業關聯統計-商品對商品(CXC)產業關聯程度表(I-A),"['23951', '23971']"
產業關聯統計-商品對商品(CXC)購買者價格交易表,"['23955', '23972']"
產業關聯統計-商品對商品(CXC)進口品交易表(C.I.F.+進口稅淨額),['23962']
產業關聯統計-商品對商品(CXC)進口品交易表(按C.I.F.+進口稅淨額),['23978']
產業關聯統計-商品對商品(CXC)進口品交易表(按C.I.F.計值),"['23963', '23979']"
產業關聯統計-商品對商品(CXC)進口品投入係數表(按C.I.F.計值),"['23964', '23980']"
產業關聯統計-產品對產品(CXC)164部門商業加價表,['119436']
產業關聯統計-產品對產品(CXC)164部門國內運費表,['119435']
產業關聯統計-產品對產品(CXC)164部門國內關聯程度表(I-D),['119432']
產業關聯統計-產品對產品(CXC)164部門國產品交易表,['119430']
產業關聯統計-產品對產品(CXC)164部門國產品投入係數表,['119431']
產業關聯統計-產品對產品(CXC)164部門生產者價格交易表(含進口稅淨額),['119438']
產業關聯統計-產品對產品(CXC)164部門生產者價格交易表(進口品按C.I.F.計值),['119425']
產業關聯統計-產品對產品(CXC)164部門生產者價格投入係數表,['119426']
產業關聯統計-產品對產品(CXC)164部門產業關聯程度表(I-(I-M)A),['119428']
產業關聯統計-產品對產品(CXC)164部門產業關聯程度表(I-A),['119427']
產業關聯統計-產品對產品(CXC)164部門購買者價格交易表,['119429']
產業關聯統計-產品對產品(CXC)164部門進口品交易表(C.I.F.+進口稅淨額),['119439']
產業關聯統計-產品對產品(CXC)164部門進口品交易表(按C.I.F計值),['119433']
