憲兵指揮部國軍官兵營外急難服務中心設置地點,['128361']
憲兵指揮部所屬各憲兵隊基本資料及服務項目,['128358']
憲兵指揮部救災成效統計,['52884']
戒菸門診服務資訊,['24852']
所屬公款補(捐)助團體情形季報表,['40567']
所屬會計報告,['21707']
所屬財團法人國防工業發展基金會名冊及資料,['100477']
所屬預算書資料集(公開部分),['9432']
抗戰相關書目清冊,['20489']
接駁車資訊,['46735']
推動全民國防教育暨宣導募兵制,['33469']
推動跨機關服務及合作,['31688']
改善官兵生活設施及工作環境工程基本資料,['33426']
政府國防廉潔指數評鑑,['20490']
政府資料開放行動策略,['28159']
政治作戰局推動新文藝運動補、捐(獎)助其他政府機關或團體私人經費情形,['10064']
政策宣導相關之廣告調查表,['40012']
新書介紹,['7792']
施政滿意度調查,['8798']
施政績效報告,['13382']
暨所屬出版品目錄,['24455']
東海和平倡議與南海主權維護學術研討會論文集目錄,['13386']
業務研究成果統計,['8257']
水道圖書目錄,['15966']
法律事務司補助(償)相關資訊,['9441']
法律服務與輔導訴訟相關資訊,['9442']
法規會相關資訊,['34066']
流行性感冒防治執行概況,['8050']
海圖圖例,['15967']
海軍學術雙月刊,['15951']
海軍睦鄰成效統計,"['44611', '44612']"
海軍軍官季刊,['15960']
海軍軍官招生資訊,['41643']
海軍陸戰隊主要單位特色簡介,['8545']
海軍陸戰隊各類專長內容一覽表,['8546']
漢聲電臺收聽頻率及各分臺節目表,['8440']
疾病保健室,['100469']
直轄市、縣(市)動員、戰綜、災防3合1會報定期會議,['41396']
示範樂隊年度訓練成果發表巡迴音樂會,['37782']
社團參與校外活動資料,['9768']
福利事業管理處各福利(分)站資料表,['8441']
空軍2技班報考資料,['8428']
空軍儀隊排,['104412']
空軍各校簡介,['41680']
空軍噪音執行成效,['41682']
空軍國防體驗之旅,['63408']
空軍年資榮譽徽核頒作業實施要點,['63398']
空軍忠勇法訓,['63407']
空軍招募班隊簡章,['41678']
空軍歷任(總)司令介紹,['63403']
空軍營區開放,['41683']
空軍睦鄰成效統計,['44610']
空軍睦鄰經費相關,['41681']
空軍航空技術學院2專招生統計資料,['9428']
空軍航空技術學院2技招生統計資料,['9427']
空軍航空技術學院創校第1任至現任校長任期,['9429']
空軍藍天美展,['41684']
空軍衛教宣導,['63405']
空軍軍官學校招生資訊,['20513']
空軍軍官學校檔案開放應用線上申辦,['20514']
空軍軍官學校歷任校長一覽表,['9431']
空軍軍官學校歷年錄取情況表,['9430']
空軍軍官學校軍史館參觀申請,['20519']
空軍軍官學校軍史館簡介,['20520']
空軍體能訓練,['87774']
立院專案報告,['13261']
管有土地無運用計畫,['33392']
統計資料目錄,['40013']
罕病介紹,['100166']
自殺防治宣教成效,['9426']
航船布告,['15963']
航行指南,['15968']
菸害檳榔小常識,['24853']
行動應用軟體服務績效調查表,['7848']
行政院動員會報定期會議,['41398']
衛教資訊,['6180']
裝甲兵季刊,['9770']
訴願審議會相關資訊,['34072']
財務單位基本資料集,['7820']
財團法人國防安全研究院資料,['102441']
資料盤點成果,['30303']
資訊圖書中心資料庫使用率統計表,['103797']
資訊圖書中心館藏統計,['103789']
資通電軍指揮部招募文宣,['95772']
身心障礙或重大傷病與體位區分標準免役體位判等對照表,['13286']
軍事學校正期班報考資料,['8399']
軍事機關限制性貨品輸入簽審作業,['31710']
軍事譯著,['30917']
軍人儲蓄獎券中獎號碼,['40011']
軍備局執行國防科技學術合作計畫研究項目基本資料,['37807']
軍備局生產製造中心產品型錄,['37808']
軍備局睦鄰捐助計畫暨執行成效,['37814']
軍備局規格鑑測中心檢校合作協定書,['37815']
軍法專刊,['34045']
軍醫院交通資訊,['91890']
軍醫院大事紀要,['91892']
軍醫院歷任院長資訊,['91891']
辦理人民申請資訊案件統計,['96331']
邦交國駐華武官處,['8544']
門診時刻資訊,['46734']
陸克強檢舉業務,['45055']
陸軍人才招募資料,['37937']
陸軍全民國防教育,['45054']
陸軍國公有財產管理,['40630']
陸軍國防展演照片集,['40625']
陸軍學術雙月刊,['40632']
陸軍工兵半年刊,['40636']
陸軍後勤季刊,['40633']
陸軍後勤職類(技勤官科)本職學能鑑測,['40629']
陸軍採購人員訓練計畫,['40628']
陸軍救災紀實照片集,['40627']
陸軍暑期戰鬥營,['37941']
陸軍核生化防護半年刊,['40638']
陸軍步兵季刊,['40634']
陸軍法律服務業務,['37939']
陸軍營區開放照片集,['40626']
陸軍砲兵季刊,['9769']
陸軍航空噪音業務,['37940']
陸軍航空暨特戰部隊半年刊,['40639']
陸軍裝甲兵季刊,['40635']
陸軍軍事學校招生簡章,['40631']
陸軍輔導訴訟業務,['45056']
陸軍通資半年刊,['40637']
陸軍預算及科目表,['37938']
離島建設條例購回土地,['8548']
預告統計資料發布時間表,['40014']
飛行常備軍官班報考資料,['8400']
體位區分標準,['20512']
