資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺灣臺東地方法院103年度單位決算(XML檔),17466,歲入來源別決算表等8表,臺灣臺東地方法院103年度單位預算,臺灣臺東地方法院
104年度3月份臺灣士林地方法院會計報告,17483,104年度3月份臺灣士林地方法院會計報告,104年度3月份臺灣士林地方法院會計報告,臺灣士林地方法院
104年度5月份臺灣士林地方法院會計報告,17486,104年度5月份臺灣士林地方法院會計報告,104年度5月份臺灣士林地方法院會計報告,臺灣士林地方法院
104年度6月份臺灣士林地方法院會計報告,17487,104年度6月份臺灣士林地方法院會計報告,104年度6月份臺灣士林地方法院會計報告,臺灣士林地方法院
高雄高等行政法院104年1-6月會計報告,17488,高雄高等行政法院104年1-6月會計報告,高雄高等行政法院歲入類;經費類會計報表,高雄高等行政法院
臺灣宜蘭地方法院103年度單位決算書,17496,總說明、主要表及附屬表等。,內含總說明;歲入來源別決算表等主要表5張及歲入類現金出納表等附屬表,臺灣宜蘭地方法院
公告臺灣宜蘭地方法院104年1-6月會計月報(xml)檔,17497,104年1-6月會計月報(xml)檔,104年1-6月會計月報檔,臺灣宜蘭地方法院
臺灣高雄少年及家事法院104年度會計報告,17869,臺灣高雄少年及家事法院會計報告提供自104年度01月始,歲入類;經費類會計月報表,臺灣高雄少年及家事法院
臺灣臺東地方法院104年度1至6月份會計報告(XML檔),17979,經費類平衡表等8表,臺灣臺東地方法院104年度1至6月份會計報告,臺灣臺東地方法院
臺灣高等法院花蓮分院103年度單位決算,18168,單位決算書表8張：歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表。,臺灣高等法院花蓮分院公告本院103年度單位決算書表,臺灣高等法院花蓮分院
臺灣高等法院104年度會計報告,18169,臺灣高等法院104年度會計報告,臺灣高等法院104年度會計報告,臺灣高等法院
103年度臺灣屏東地方法院單位決算,18171,103年度臺灣屏東地方法院單位決算,103年度臺灣屏東地方法院單位決算,臺灣屏東地方法院
臺灣苗栗地方法院103年度單位決算,18173,單位決算書表8張：歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表。,臺灣苗栗地方法院103年度單位決算,臺灣苗栗地方法院
臺灣苗栗地方法院104年度會計報告,18174,臺灣苗栗地方法院歲入類、經費類等會計報表,臺灣苗栗地方法院104年度會計報告,臺灣苗栗地方法院
臺灣高等法院高雄分院103年度決算,18177,臺灣高等法院高雄分院103年度決算,臺灣高等法院高雄分院103年度決算,臺灣高等法院高雄分院
臺北高等行政法院103年度單位決算,18215,臺北高等行政法院單位決算,臺北高等行政法院單位決算,臺北高等行政法院
臺灣高等法院高雄分院104年度會計報告,18216,臺灣高等法院高雄分院104年度會計報告,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,臺灣高等法院高雄分院
臺北高等行政法院會計報告,18217,臺北高等行政法院會計報告,臺北高等行政法院會計報告,臺北高等行政法院
臺灣高等法院臺中分院103年度單位決算,18256,臺灣高等法院臺中分院103年度單位決算,臺灣高等法院臺中分院103年度單位決算,臺灣高等法院臺中分院
臺灣高等法院臺中分院會計報告,18261,臺灣高等法院臺中分院會計報告資料，自104年1月份起提供開放。,臺灣高等法院臺中分院歲入類;經費類會計報表,臺灣高等法院臺中分院
臺灣屏東地方法院104年1-6月會計月報,18268,臺灣屏東地方法院104年1-6月會計月報,經費類平衡表;經費類現金出納表;經費累計表歲入累平衡表;歲入類現金出納表;歲入累計表;以前年度保留數餘額表,臺灣屏東地方法院
司法院104年度會計月報,18272,司法院104年度會計月報,,司法院
