資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺灣宜蘭地方法院104年度預算案(XML),12439,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣宜蘭地方法院
104年度臺灣士林地方法院法定預算,12440,104年度臺灣士林地方法院法定預算,104年度臺灣士林地方法院法定預算,臺灣士林地方法院
臺灣宜蘭地方法院104年度法定預算(XML),12446,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣宜蘭地方法院
臺灣嘉義地方法院104年度預算案,12449,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表。,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣嘉義地方法院
臺灣嘉義地方法院104年度法定預算,12453,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表。,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣嘉義地方法院
智慧財產法院104年度預算案,12455,智慧財產法院104年度預算案,人事費用分析表;公務車輛明細表;各項費用彙計表;捐助經費分析表;歲入來源別預算表;歲入項目說明提要表;歲出機關別預算表;歲出按職能及經濟性綜合分類表;歲出用途別科目分析表;歲出計畫提要及分支計畫概況表;資本支出分析表;辦公房舍明細表;預算員額明細表...,智慧財產法院
智慧財產法院104年度法定預算,12456,智慧財產法院104年度法定預算,人事費用分析表;公務車輛明細表;各項費用彙計表;捐助經費分析表;歲入來源別預算表;歲入項目說明提要表;歲出機關別預算表;歲出按職能及經濟性綜合分類表;歲出用途別科目分析表;歲出計畫提要及分支計畫概況表;資本支出分析表;辦公房舍明細表;預算員額明細表...,智慧財產法院
福建金門地方法院104年度單位預算,12457,福建金門地方法院104年度單位預算,福建金門地方法院104年度單位預算,福建金門地方法院
臺灣高等法院花蓮分院104年度預算案及法定預算,12486,臺 灣高等法院花蓮分院104年度預算案及法定預算,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣高等法院花蓮分院
臺灣桃園地方法院104年度單位預算案,12487,臺灣桃園地方法院104年度單位預算案,,臺灣桃園地方法院
臺灣桃園地方法院104年度法定預算,12490,臺灣桃園地方法院104年度法定預算,,臺灣桃園地方法院
臺灣新竹地方法院104年度法定預算,12492,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、跨年期計畫概況表,,臺灣新竹地方法院
臺灣新竹地方法院104年度預算案,12493,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、跨年期計畫概況表,,臺灣新竹地方法院
臺灣苗栗地方法院104年度法定預算,12496,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表。,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣苗栗地方法院
臺灣苗栗地方法院104年度預算案,12497,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表。,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表,臺灣苗栗地方法院
公務員懲戒委員會104年度單位預算,12534,公務員懲戒委員會104年度單位預算,公務員懲戒委員會104年度單位預算,公務員懲戒委員會
公務員懲戒委員會104年度單位預算(預算案),12539,公務員懲戒委員會104年度單位預算(預算案),公務員懲戒委員會104年度單位預算,公務員懲戒委員會
臺灣雲林地方法院104年度預算,12546,臺灣雲林地方法院104年度預算案、法定預算,臺灣雲林地方法院104年度預算案;法定預算XML檔,臺灣雲林地方法院
臺灣南投地方法院104年度單位預算(預算案),12579,臺灣南投地方法院104年度單位預算(預算案),臺灣南投地方法院104年度單位預算,臺灣南投地方法院
104年度臺灣彰化地方法院單位預算,12600,104年度臺灣彰化地方法院單位預算,104年度臺灣彰化地方法院單位預算,臺灣彰化地方法院
104年度臺灣彰化地方法院單位預算案,12601,104年度臺灣彰化地方法院單位預算案,104年度臺灣彰化地方法院單位預算案,臺灣彰化地方法院
104年度法官學院單位預算,12608,104年度法官學院單位預算,104年度法官學院單位預算,法官學院
臺灣屏東地方法院104年度預算案,12610,臺灣屏東地方法院104年度各項歲入歲出預算案編列情形，包括歲入來源別預算表、歲出機關別預算表等主要表及歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表等附屬表,科目名稱;本年度預算數;上年度預算數;本年度與上年度比較;說明;預算金額;承辦單位;項目內容;法令依據;計畫內容;預期成果,臺灣屏東地方法院
臺灣屏東地方法院104年度法定預算,12612,臺灣屏東地方法院104年度各項歲入歲出預算審定情形，包括歲入來源別預算表、歲出機關別預算表等主要表及歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表等附屬表,科目名稱;本年度預算數;上年度預算數;本年度與上年度比較;說明;預算金額;承辦單位;項目內容;法令依據;計畫內容;預期成果,臺灣屏東地方法院
臺灣高雄少年及家事法院104年度單位預算案及單位預算,12627,臺灣高雄少年及家事法院104年度單位預算案及單位預算,臺灣高雄少年及家事法院104年度單位預算案及單位預算,臺灣高雄少年及家事法院
104年度臺灣新北地方法院法定預算,12638,104年度臺灣新北地方法院法定預算書主要表及附屬表,預算科目;預算金額;預算編列說明,臺灣新北地方法院
臺灣臺北地方法院104年度預算案及法定預算,12647,臺灣臺北地方法院104年度各項歲入歲出預算案編列情形，包括歲入來源別預算表、歲出機關別預算表等主要表及歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表等附屬表,臺灣臺北地方法院104年度各項歲入歲出預算案編列情形，包括歲入來源別預算表;歲出機關別預算表等主要表及歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;歲出按職能及經濟性綜合分類表;委辦經費分析表等附屬表,臺灣臺北地方法院
104年度臺灣新北地方法院預算案,12651,104年度臺灣新北地方法院預算案書主要表及附屬表,預算科目;預算金額;預算編列說明,臺灣新北地方法院
司法院104年度法定預算,12656,司法院104年度法定預算,,司法院
司法院104年度預算案,12657,司法院104年度預算案,,司法院
臺灣臺東地方法院104年度單位預算案,12702,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表。,臺灣臺東地方法院104年度單位預算案,臺灣臺東地方法院
103年度單位決算,14156,臺灣高雄少年及家事法院103年度單位決算,臺灣高雄少年及家事法院103年度單位決算,臺灣高雄少年及家事法院
臺灣高雄少年及家事法院103年度決算,14165,臺灣高雄少年及家事法院103年度決算,臺灣高雄少年及家事法院103年度決算,臺灣高雄少年及家事法院
高雄高等行政法院103年度單位決算,14332,高雄高等行政法院103年度單位決算,高雄高等行政法院103年度單位決算,高雄高等行政法院
臺灣高雄地方法院104年度單位預算案,15467,臺灣高雄地方法院104年度單位預算案,臺灣高雄地方法院104年度單位預算案,臺灣高雄地方法院
臺灣嘉義地方法院103年度單位決算,17337,臺灣嘉義地方法院103年度單位決算,臺灣嘉義地方法院103年度單位決算,臺灣嘉義地方法院
最高行政法院103年度單位決算,17378,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、歲入類平衡表、經費類平衡表,歲入來源別決算表;歲出政事別決算表;歲出機關別決算表;歲入類平衡表;經費類平衡表,最高行政法院
臺灣嘉義地方法院會計月報公告,17379,臺灣嘉義地方法院會計月報公告,臺灣嘉義地方法院會計月報公告,臺灣嘉義地方法院
桃園地方法院103年度會計決算,17388,桃園地方法院103年度會計決算,,臺灣桃園地方法院
最高行政法院會計報告,17394,提供最高行政法院會計報告資料。本會計報告資料自104年1月份開始提供開放。,歲入類;經費類會計報告,最高行政法院
公務員懲戒委員會單位決算,17397,公務員懲戒委員會單位決算資料，自103年度開始提供開放。,公務員懲戒委員會單位決算相關資料,公務員懲戒委員會
公務員懲戒委員會會計報告,17409,公務員懲戒委員會會計報告資料，自104年1月份起提供開放。,公務員懲戒委員會歲入類;經費類等會計報表,公務員懲戒委員會
103年度臺灣南投地方法院單位決算,17430,103年度臺灣南投地方法院單位決算,103年度臺灣南投地方法院單位決算,臺灣南投地方法院
