中華民國外交及國際事務學院單位決算,中華民國107年外交及國際事務學院單位決算,100102,中華民國107年外交及國際事務學院單位決算,,外交部外交及國際事務學院
中華民國外交及國際事務學院單位決算,中華民國108年外交及國際事務學院單位決算,117723,中華民國108年外交及國際事務學院單位決算,,外交部外交及國際事務學院
中華民國外交及國際事務學院單位法定預算,中華民國106年外交及國際事務學院單位法定預算,43564,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,中華民國106年外交及國際事務學院單位法定預算,外交部外交及國際事務學院
中華民國外交及國際事務學院單位法定預算,中華民國107年外交及國際事務學院單位法定預算,86817,中華民國107年外交及國際事務學院單位法定預算,,外交部外交及國際事務學院
中華民國外交及國際事務學院單位法定預算,中華民國108年外交及國際事務學院單位法定預算,100103,中華民國108年外交及國際事務學院單位法定預算,,外交部外交及國際事務學院
中華民國外交及國際事務學院單位預算,中華民國104年外交及國際事務學院單位預算,21331,中華民國104年外交及國際事務學院單位預算,中華民國104年外交及國際事務學院單位預算,外交部外交及國際事務學院
中華民國外交及國際事務學院單位預算,中華民國105年外交及國際事務學院單位預算,27966,中華民國105年外交及國際事務學院單位預算,中華民國105年外交及國際事務學院單位預算,外交部外交及國際事務學院
中華民國外交及國際事務學院單位預算書,中華民國106年外交部外交及國際事務學院單位預算書,35640,中華民國106年外交部外交及國際事務學院單位預算書,中華民國106年外交部外交及國際事務學院單位預算書,外交部外交及國際事務學院
中華民國外交及國際事務學院單位預算書,中華民國107年外交部外交及國際事務學院單位預算書,76498,107年度外交部外交及國際事務學院單位預算書,,外交部外交及國際事務學院
中華民國外交及國際事務學院會計報告,中華民國105年外交部外交及國際事務學院會計報告,27894,中華民國105年外交部外交及國際事務學院會計報告,中華民國105年外交部外交及國際事務學院會計報告,外交部外交及國際事務學院
中華民國外交及國際事務學院會計報告,中華民國106年外交部外交及國際事務學院會計報告,43217,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部外交及國際事務學院
中華民國外交及國際事務學院會計報告,中華民國107年外交部外交及國際事務學院會計報告,86818,中華民國107年外交部外交及國際事務學院會計報告,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,外交部外交及國際事務學院
