資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
全國各研發執行部門研發人力統計資料_人數,7563,1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
全國各研發執行部門研發人力統計資料_全時約當數,7564,"1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.全時約當數(Full-time Equivalent, FTE)係指從事某項研發工作的人數，經折算為全時間從事該項工作的人數。例如某一研究人員全年花一半的工作時間從事教學工作，一半的工作時間做研發，則此一研究人員相當於0.5個「全時約當數」(或0.5人年)；若全時間從事(每年250個工作日計)研究，則相當於1個「全時約當數」。出處：法城手冊(OECD) 3.“..”係指無數值。 4.“0”係指不及一單位。",年;執行部門代號;執行部門;類別;研發人力;研究人員;技術人員;支援人員;男性研發人力;男性研究人員;男性技術人員;男性支援人員;女性研發人力;女性研究人員;女性技術人員;女性支援人員;博士;碩士;學士;專科;其他;女博士;女碩士;女學士;女專科;女其他;博士_研究人員;碩士_研究人員;學士_研究人員;理;工;醫;農;人文;社會,科技部
全國企業部門研發經費_依OECD行業別區分統計資料,7566,1. 為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
全國企業部門研發人力全時約當數_依OECD行業別區分統計資料,7567,"1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.全時約當數(Full-time Equivalent, FTE)係指從事某項研發工作的人數，經折算為全時間從事該項工作的人數。例如某一研究人員全年花一半的工作時間從事教學工作，一半的工作時間做研發，則此一研究人員相當於0.5個「全時約當數」(或0.5人年)；若全時間從事(每年250個工作日計)研究，則相當於1個「全時約當數」。出處：法城手冊(OECD) 3.“..”係指無數值。 4.“0”係指不及一單位。",,科技部
全國企業部門研發人力全時約當數_依我國行業別區分統計資料,7569,"1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.全時約當數(Full-time Equivalent, FTE)係指從事某項研發工作的人數，經折算為全時間從事該項工作的人數。例如某一研究人員全年花一半的工作時間從事教學工作，一半的工作時間做研發，則此一研究人員相當於0.5個「全時約當數」(或0.5人年)；若全時間從事(每年250個工作日計)研究，則相當於1個「全時約當數」。出處：法城手冊(OECD) 3.“..”係指無數值。 4.“0”係指不及一單位。",,科技部
學名書寫形式校對工具,7572,為能提升學名書寫格式之一致性，本系統蒐羅 TaiBNET 名錄資料庫之學名資料做為比對校正之參考依據，提供學名、分類層級標識、命名者及年代之完整書寫順序，不僅能夠補足額外學名資訊外，更可讓使用者能簡便的統一學名資料格式，以提升未來資料比對交換之準確性。,正確的完整學名書寫格式,科技部
臺灣物種出現紀錄資料地圖API（包含各標本館資料與田野調查資料）,7573,利用API的方式取得物種分布資料,以google map呈現物種;類群或特定機構分布,科技部
科技部工程科技研究成果報告清冊,7583,科技部工程處為協助大專校院落實「科技部工程科技計畫成果」的推廣及技轉，促成產業技術之創新與提升，進而為產業界解決急迫性問題，由工程科技推展中心營運工程科技推展平台，將歷年學界豐碩的研發成果整理典藏，並提供研究成果商業化媒合與企劃支援服務。,資料集名稱;下載連結,科技部
科技部約聘僱人員性別統計表,7585,暸解科技部約聘僱人員性別分佈情形,,科技部
科技部職員官等及性別統計表,7586,暸解科技部職員官等性別分佈情形,,科技部
科技部提供政府資訊人民申請案件,7587,科技部暨所屬機關辦理人民申請提供政府資訊案件季年統計總表,標題;連結網址,科技部
科技部公共工程及採購契約書面資料,7588,公共工程及採購契約書面資料,標題;資訊種類;保管場所;發布單位;公開日期;連結網址;,科技部
總統科學獎得獎資訊,7589,歷屆總統科學獎得獎人相關資訊,,科技部
科技部科普活動計畫通過清單,7590,歷年科普活動計畫，通過審查之計畫名冊,標題;連結網址,科技部
科技部科技大觀園演講廳,7591,科技部演講廳收錄科技部補助演講錄影,講者姓名;服務機構;演講時間;標題;摘要;連結網址,科技部
科技部科技大觀園科普知識,7592,學者與教授提供科普知識文章,標題;作者;服務機構;學術分類;連結網址,科技部
科技部科技大觀園影視節目,7593,多媒體公司提供知識性影視節目,標題;節目名稱;製作單位;連結網址,科技部
科技部科學園區土地使用情形資料集,7594,1.總面積:經都市計畫及非都市計畫審議通過之土地總面積。 總面積＝已開發土地面積 ＋ 開發中土地面積 2.可供出租土地面積 工業區面積扣除無法出租興建使用部分(如標準廠房、邊坡、私設道路等)。 3.已出租土地面積 可供出租土地面積中，已簽訂租約且計收土地租金或保留金之土地面積。 4.土地出租率(%) 「已出租土地面積」除以「可供出租土地面積」所得之比率。,,科技部
科技部科學園區標準廠房使用資料集,7595,廠房出租率(%)係「已出租單位數」除以「可供出租單位數」所得之比率。,,科技部
科技部科學園區產業類別及家數統計資料集,7596,1.有效核准廠商家數:經園區審議委員會核准設立之廠商家數，扣除廢止或出區廠商之家數。 2.已入區登記廠商家數:已辦妥(分)公司登記或工廠登記且未辦理解散或遷址出區登記之廠商家數。,,科技部
科技部科學園區產業營額統計資料集,7597,營業額 : 園區廠商之銷售淨額（含申報書銷售額、收據合計、銷貨退回及折讓、前期銷售額調整）減可抵減項目（含代收代付、出售固定資產、出售廢料、利息收入、樣品贈送）之餘額。,,科技部
科技部科學園區進出口資料集,7598,貿易總額=出口額+進口額 。,,科技部
