資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
漢聲電臺收聽頻率及各分臺節目表,8440,提供漢聲電臺收聽頻率及各分臺每日節目表,頻道;星期;播出時間;節目名稱;主持人,國防部
國防部福利事業管理處各福利（分）站資料表,8441,提供福利事業管理處各福利（分）站資料表,區分;單位名稱;地址;電話;營業時間,國防部
國軍醫院系列講座,8485,提供國軍醫院各項醫療衛教等系列講座訊息。,編號;醫院名稱;主講者;地點;年度;時間;主題,國防部
國軍醫院學術研討會訊息,8486,提供國軍醫院學術研討會訊息,編號;醫院名稱;研討會名稱;地<br>點;主辦單位;主講教官;日<br>期,國防部
邦交國駐華武官處,8544,提供本國邦交國駐華武官辦公室住址及電話聯絡資料,國家;辦公室住址;電話,國防部
海軍陸戰隊主要單位特色簡介,8545,提供本軍陸戰隊各主要單位特色介紹,單位;特色介紹;加入陸戰隊理由,國防部
海軍陸戰隊各類專長內容一覽表,8546,提供本海軍陸戰隊各類專長內容,序號;項目;軍官;士官;士兵,國防部
公務人員甄審暨考績委員會性別比例統計,8547,本部公務人員年度甄審暨考績委員會委員性別統計,,國防部
離島建設條例購回土地,8548,實施戰地政務終止前，或實施戰地政務期間被占用於終止後，因徵收、價購或徵購後登記為公有土地，土地管理機關已無使用或事實已廢棄使用者，原土地所有人或其繼承人並得於公告之日起五年內，向該管土地管理機關申請按收件日當年度公告地價計算之地價購回其土地。,,國防部
國軍武獲接裝,8550,國軍主要武器系統獲得及接裝情形,,國防部
中正預校歷任校長任期,8554,中正預校第一任迄今之校長任期,,國防部
國防部施政滿意度調查,8798,歷年國防部施政滿意度調查,,國防部
「Strategic Vision（戰略視野）」英文期刊年稿件清單,8858,國防大學與政治大學合作出刊「Strategic Vision（戰略視野）」英文期刊各期稿件清單。,序號;期別;篇名,國防部
中正預校圖書館現有性別藏書,8859,本校圖書館性別相關議題藏書,,國防部
中正國防幹部預備學校現有栽植樹木種類一覽表,8860,本校校園樹木種類及花期,,國防部
中正預校高、國中部各年班畢業總成績第一名學生,8861,本校高、國中部各年班畢業總成績第一名學生。高中部自68年班;國中部自83年班迄今,,國防部
中正國防幹部預備校101學年度校外學藝競賽成果,8862,本校校外學藝競賽成果,,國防部
自殺防治宣教成效,9426,提供101-103年自殺防治宣教成效,編號;項目;項次;年度;場次或計畫編號;宣導人次或對象或內容,國防部
空軍航空技術學院二技招生統計資料,9427,空軍航空技術學院二技歷年招生錄取統計資料,,國防部
空軍航空技術學院二專招生統計資料,9428,空軍航空技術學院二專招生歷年招生錄取情形,,國防部
空軍航空技術學院創校第一任至現任校長任期,9429,22年-103年空軍航空技術學院歷任校長資訊,,國防部
空軍軍官學校歷年錄取情況表,9430,空軍軍官學校歷年招生錄取情況,,國防部
空軍軍官學校歷任校長一覽表,9431,17年-103年空軍軍官學校歷任校長任期一覽表,,國防部
國防部所屬預算書資料集(公開部分),9432,國防部所屬預算書下載網址,https://www.mnd.gov.tw/NewUpload/201608/103%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part1.pdf;https://www.mnd.gov.tw/NewUpload/201608/103%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part2.pdf;https://www.mnd.gov.tw/NewUpload/201608/103%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part3.pdf;https://www.mnd.gov.tw/NewUpload/userfiles/File/%E4%B8%BB%E8%A8%88%E5%B1%80/%E8%B3%87%E6%96%99%E9%9B%86/104%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97(%E5%85%AC%E9%96%8B).pdf;https://www.mnd.gov.tw/NewUpload/201608/104%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part2.pdf;https://www.mnd.gov.tw/NewUpload/201608/104%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part3.pdf;https://www.mnd.gov.tw/NewUpload/201608/105%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part1.pdf;https://www.mnd.gov.tw/NewUpload/201608/105%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part2.pdf;https://www.mnd.gov.tw/NewUpload/201608/105%E5%B9%B4%E5%BA%A6%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8(%E5%85%AC%E9%96%8B%E9%83%A8%E5%88%86)part3.pdf;https://www.mnd.gov.tw/NewUpload/201709/1060402-%E6%95%B4%E5%90%88%E7%89%88_521570.PDF;https://www.mnd.gov.tw/NewUpload/201803/107%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E6%B3%95%E5%AE%9A%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8_115897.PDF;https://www.mnd.gov.tw/NewUpload/201809/108%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97%E6%A1%88%E6%9B%B8%E8%A1%A8_375667.pdf;https://www.mnd.gov.tw/NewUpload/201904/108%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97%E6%9B%B8%E8%A1%A8_531330.PDF;http://www.mnd.gov.tw/NewUpload/201909/109%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97%E6%A1%88%E6%9B%B8%E8%A1%A8_231858.PDF;http://www.mnd.gov.tw/NewUpload/202009/110%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97%E6%A1%88%E6%9B%B8%E8%A1%A8_274102.pdf,國防部
國防部法律事務司補助(償)相關資訊,9441,提供國防部法律事司公款捐助財團法人法律扶助基金會相關報表及戒嚴時期不當叛亂暨匪諜審判案件補償基金會財務資訊,http://www.mnd.gov.tw/NewUpload/202006/國防部法律事務司95至103年度公款捐助財團法人法律扶助基金會報表_451454.pdf;http://www.mnd.gov.tw/NewUpload/202006/財團法人戒嚴時期不當叛亂暨匪諜審判案件補償基金會97年至102年決算_455613.pdf;http://www.mnd.gov.tw/NewUpload/202006/財團法人戒嚴時期不當叛亂暨匪諜審判案件補償基金會99年至103年預算_461174.pdf,國防部
