資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國史館臺灣文獻館106年度4月份會計月報,45610,國史館臺灣文獻館106年度4月份會計月報資料,,國史館臺灣文獻館
國史館106年5月會計月報,46059,國史館106年5月會計月報資料,,國史館
總統府新聞,46112,總統府新聞,連結;標題;描述;發佈日期;圖片網址,總統府
總統府影音頻道,46114,總統府影音頻道,PublicDate;FileTitle;FileDesc;WEBURL,總統府
總統府焦點議題,46117,中華民國總統府焦點議題,包含議題名稱;網頁連結;相關新聞,總統府
總統府網路相簿,46127,總統府網路相簿,發佈日期;封面照片連結;標題;描述;網頁連結,總統府
總統府公報,46147,中華民國總統府公報,公佈日期;號次;標題;公報頁連結,總統府
總統令,46153,總統令,分類標題;標題;發布日期;內文,總統府
國史館臺灣文獻館106年度5月份會計月報,46463,國史館臺灣文獻館106年度5月份會計月報資料,,國史館臺灣文獻館
總統府法令,46469,公（發）布或最新修正日期總統府法令,公布或最新修正日期;法令名稱;法令網頁連結,總統府
蔡英文總統,46578,蔡英文總統簡介,網頁內容,總統府
陳建仁副總統,46581,陳建仁副總統簡介,網頁內容,總統府
行憲後歷任總統,46583,行憲後歷任總統簡介,網頁內容,總統府
行憲後歷任副總統,46584,行憲後歷任副總統簡介,網頁內容,總統府
中華民國憲法,46585,中華民國憲法簡介內容,憲法簡介內容;本文網頁連結;憲法增修條文連結,總統府
國父,46587,國父簡介,網頁內容,總統府
國花,46588,國花,網頁內容,總統府
國旗,46592,國旗簡介,網頁內容,總統府
國歌,46593,國歌簡介,網頁內容,總統府
國璽,46594,國璽,網頁內容,總統府
中華民國勳章,46595,勳章簡介、 文職勳章、 軍職勳章,勳章簡介;文職勳章;軍職勳章,總統府
政府組織（中央）,46596,政府組織（中央）,ContentText,總統府
政府組織（地方）,46602,政府組織（地方）,網頁內容,總統府
組織與職掌,46603,組織與職掌,網頁內容,總統府
機關首長（秘書長）,46610,機關首長（秘書長）,網頁內容,總統府
機關首長（副祕書長）,46611,機關首長（副祕書長）,網頁內容,總統府
總統府人權諮詢委員會,46612,總統府人權諮詢委員會,成立緣起;委員會簡介;會議紀錄;兩公約國家報告;人權大步走,總統府
儀節活動,46614,儀節活動,國賓訪華軍禮歡迎;國宴;大使呈遞到任國書;授勳典禮;春秋祭典,總統府
常見問答,46615,常見問答,問題;分類;承辦單位;回應連結,總統府
雙語詞彙,46616,詞彙、英譯文,詞彙;英譯文,總統府
隱私權及資訊安全政策,46617,隱私權及資訊安全政策,網頁內容,總統府
無障礙聲明,46618,無障礙聲明,網頁內容,總統府
政府網站資料開放宣告,46620,政府網站資料開放宣告,網頁內容,總統府
我有話要說,46621,聲明與原則、主題、網頁連結,聲明與原則;主題;網頁連結,總統府
國史館106年6月會計月報,48202,國史館106年6月會計月報資料,,國史館
國史館臺灣文獻館106年度6月份會計月報,48892,國史館臺灣文獻館106年度6月份會計月報資料,,國史館臺灣文獻館
國史館106年7月會計月報,49811,國史館106年7月會計月報資料,,國史館
每日活動行程,51803,日期; 總統行程; 副總統行程; 總統府行程; 西元日期,Sch_Date;Sch_Content1;Sch_Content2;Sch_Content3;sDate,總統府
國史館臺灣文獻館106年度7月份會計月報,51857,國史館臺灣文獻館106年度7月份會計月報資料,,國史館臺灣文獻館
總統府107年度單位預算案(XML),52938,總統府107年度單位預算案(XML),,總統府
107年度中央研究院單位預算案,53061,107年度中央研究院單位預算案,Year;Type;Link,中央研究院
國史館106年8月會計月報,54232,國史館106年8月會計月報,,國史館
國史館臺灣文獻館106年度8月份會計月報,54237,國史館臺灣文獻館106年度8月份會計月報資料,,國史館臺灣文獻館
