GBIF出版品清單,['7514']
南部科學園區管理局宿舍待租賃資訊,['41230']
南部科學園區管理局工安事故傷亡統計表,['101988']
南部科學園區管理局工安環保月活動-活動項目清單,['91880']
南部科學園區管理局工廠登記家數異動統計表,['41262']
南部科學園區管理局工程採購案件,['41036']
南部科學園區管理局廉政倫理事件登錄案件,['41232']
南部科學園區管理局廠商資料,['40647']
南部科學園區管理局廢棄物量能統計,['41261']
南部科學園區管理局從業員工產業別統計,['101986']
南部科學園區管理局採購案件統計資料,['41035']
南部科學園區管理局標準廠房待租賃資訊,['41225']
南部科學園區管理局每月新核准投資廠商,['40649']
南部科學園區管理局污水廠資訊,['41293']
南部科學園區管理局滯洪池概況統計,['41317']
南部科學園區管理局滿意度調查報告,['41037']
南部科學園區管理局用水量歷史資料,['41297']
南部科學園區管理局用電量歷史資料,['41299']
南部科學園區管理局申報管理費廠商家數,['41033']
南部科學園區管理局編制員額數統計表,['102021']
南部科學園區管理局聘用人員性別統計表,['102018']
南部科學園區管理局職業災害統計表,['40650']
南部科學園區管理局設施維護維修資訊,['30680']
南部科學園區管理局路燈統計資料,['41319']
南部科學園區管理局進出口情形,['41034']
南部科學園區管理局道路統計資料,['41320']
南部科學園區管理局高雄園區公共藝術設置計畫完成報告書,"['41289', '112750']"
即時地震網格化等震度資料,['130235']
各國颱風路徑,['130233']
吳大猷先生紀念獎統計資料集,['39390']
哲學學門專題計畫補助清冊,['40523']
單位決算,['19878']
單位預算半年結算報告,['41101']
單位預算及科發基金附屬單位預算表(法定預算),['12624']
單位預算及科發基金附屬單位預算表(預算案),['12623']
單位預算會計報告,['19875']
國家科學技術發展計畫,['40198']
國家賠償事件處理情形統計表,['39544']
國立南科國際實驗高級中學國中部班級人數一覽表,['102030']
國立南科國際實驗高級中學國小部班級人數統計表,['102025']
國立南科國際實驗高級中學編制教職員統計表,['102032']
國立南科國際實驗高級中學雙語部班級人數統計表,['102034']
國立南科國際實驗高級中學高中歷年升學績效,['102037']
國立南科國際實驗高級中學高中部人數一覽表,['102023']
土木工程學門專題計畫補助清冊,['41106']
地球科學學門專題計畫補助清冊,['39606']
地理座標資訊轉換服務,['7559']
外科系醫學(1)學門專題計畫補助清冊,['41193']
外科系醫學(2)學門專題計畫補助清冊,['41194']
多元族群的科學教育學門專題計畫補助清冊,['107279']
大專學生研究創作獎獲獎人員名單資料集,['41221']
大專學生研究計畫申請及核定計畫(依學生就讀學校)統計資料集,['39399']
大專學生研究計畫申請及核定計畫(依指導教授任職機構)統計資料集,['39400']
大屯火山觀測站_地殼變形監測,['7603']
大屯火山觀測站_地表溫度監測,['7602']
大屯火山觀測站_地震活動監測,['7604']
大屯火山觀測站_火山氣體監測,['7601']
大氣學門專題計畫補助清冊,['39607']
婦幼醫學學門專題計畫補助清冊,['39378']
學名書寫形式校對工具,['7572']
學門規劃重點研究項目,['41265']
專題研究計畫(研究案)核定計畫主持人統計資料集,['39396']
專題研究計畫(研究案)申請及核定統計資料集,['39392']
專題研究計畫(研究案)申請計畫主持人統計資料集,['39395']
專題研究計畫(補助案)核定計畫主持人統計資料集,['39398']
專題研究計畫(補助案)申請及核定統計資料集,['39393']
專題研究計畫(補助案)申請計畫主持人統計資料集,['39397']
專題研究計畫Q&A問答資料集清單,['7783']
專題研究計畫相關函釋資料集清單,['7611']
專題研究計畫相關表格資料集清單,['7767']
專題研究計畫相關辦法資料集清單,['7610']
工業工程學門專題計畫補助清冊,['41119']
工程司新興/其他領域專題計畫補助清冊,['112511']
工程科技研究成果報告清冊,['7583']
工程醫學學門專題計畫補助清冊,"['35216', '41162']"
年度訴願案件收辦統計表,['40192']
年度訴願決定經行政法院裁判結果統計表,['40193']
延攬科技人才名單,['41258']
形態及生理醫學學門專題計畫補助清冊,"['34730', '41157']"
微免及檢驗醫學學門專題計畫補助清冊,"['35211', '41238']"
微電子學門專題計畫補助清冊,['41109']
心理學門專題計畫補助清冊,['40528']
心臟醫學學門專題計畫補助清冊,['35427']
性別統計專區,['39387']
感官系統醫學學門專題計畫補助清冊,['39382']
應用科學教育學門專題計畫補助清冊,['107275']
採購作業參考手冊,['39545']
控制工程學門專題計畫補助清冊,['41118']
提供政府資訊人民申請案件,['7587']
政府研究資訊系統(GRB)資料目錄集,['18707']
政府科技發展計畫清單,['128375']
政府資助國家核心科技研究計畫安全管制作業手冊,['107413']
政府資料開放行動策略,['27920']
政府資料開放諮詢小組會議紀錄,['26945']
政治學門專題計畫補助清冊,['40530']
教育學門(含體育、圖資)專題計畫補助清冊,['40527']
數學學門專題計畫補助清冊,['39603']
數學教育學門專題計畫補助清冊,['107263']
文學1學門專題計畫補助清冊,['40519']
文學2學門專題計畫補助清冊,['40520']
新竹科學園區人才培訓課程,['7948']
新竹科學園區來賓統計資料,['7946']
新竹科學園區公共藝術,['7949']
新竹科學園區已入區登記廠商資料,['7935']
新竹科學園區從業員工居住地統計,['91574']
新竹科學園區從業員工年齡統計,['91564']
新竹科學園區從業員工數,['41272']
新竹科學園區從業員工職務統計,['91576']
新竹科學園區新設暨遷址入區登記廠商月報,['7952']
新竹科學園區管理局_竹南園區行政中心場地資訊,['41249']
新竹科學園區管理局_竹南園區行政中心已預約場地資訊,['41250']
新竹科學園區管理局人民陳情案件統計資訊,['41322']
新竹科學園區管理局保稅及進出口,['41277']
新竹科學園區管理局勞工行政業務,['41281']
新竹科學園區管理局及所屬單位會計月報,['18816']
新竹科學園區管理局合約資訊,['41246']
新竹科學園區管理局員工職務資訊,['18743']
新竹科學園區管理局單位決算(審定),['18747']
新竹科學園區管理局單位預算(法定預算),['12128']
新竹科學園區管理局單位預算(預算案),['12419']
新竹科學園區管理局園區巡迴巴士時刻表,['7522']
新竹科學園區管理局園區簡訊,['41240']
新竹科學園區管理局園區總平均放流水排放量,['41276']
新竹科學園區管理局園區總電力尖峰負載量,['41274']
新竹科學園區管理局園區自建廠房轉租轉讓資訊平台,['41325']
新竹科學園區管理局土地使用情形表,['41323']
新竹科學園區管理局宜蘭園區租金表,['41295']
新竹科學園區管理局局長信箱統計資訊,['41321']
新竹科學園區管理局工商服務,['41282']
新竹科學園區管理局工安演講及活動資料,['41251']
新竹科學園區管理局工安環保月-活動項目清單,['90947']
新竹科學園區管理局工程承包商聯絡資料,['7950']
新竹科學園區管理局常見問答,['41245']
新竹科學園區管理局年度核准入區案與增資案清單,['41269']
新竹科學園區管理局廢棄物量能統計,['41324']
新竹科學園區管理局建築管理,['41284']
新竹科學園區管理局新竹園區租金表,['41290']
新竹科學園區管理局景觀清潔管理,['41286']
新竹科學園區管理局有效核准園區事業家數,['41271']
新竹科學園區管理局有效核准廠商清單,['41241']
新竹科學園區管理局服務業廠商資訊,['41243']
新竹科學園區管理局污水廠資訊,['122152']
新竹科學園區管理局活動訊息,['7951']
新竹科學園區管理局環境保護許可業務,['41279']
新竹科學園區管理局生醫園區租金表,['41296']
新竹科學園區管理局用水用電資訊,['41247']
新竹科學園區管理局研發精進產學合作計畫核定補助清單,['41239']
新竹科學園區管理局租賃管理,['41285']
新竹科學園區管理局竹南園區租金表,['41291']
新竹科學園區管理局維修及道路管理,['41288']
新竹科學園區管理局維修資訊,['41248']
新竹科學園區管理局總平均用水量,['41280']
新竹科學園區管理局職業災害概況表,['41267']
新竹科學園區管理局職業災害統計月報,['41266']
新竹科學園區管理局職業災害類別統計,['41268']
新竹科學園區管理局表單管理,['41244']
新竹科學園區管理局資訊服務,['41287']
新竹科學園區管理局銅鑼園區租金表,['41294']
新竹科學園區管理局龍潭園區租金表,['41292']
新竹科學園區靜心湖導覽,['7947']
施政績效,['39386']
施政計畫,['39384']
智慧計算學門專題計畫補助清冊,['41111']
材料學門專題計畫補助清冊,['41104']
機械固力學門專題計畫補助清冊,['41114']
檔案及政府資訊開放應用作業要點,['39546']
歷史學門專題計畫補助清冊,['40522']
永續學門專題計畫補助清冊,['39610']
決算書清冊,['7515']
法律學門專題計畫補助清冊,['40529']
海工造船學門專題計畫補助清冊,['41121']
海洋學門專題計畫補助清冊,['39608']
消化醫學學門專題計畫補助清冊,['35250']
熱流航太學門專題計畫補助清冊,['41116']
版縣市社會脆弱度指數,['130018']
版近淹水災點資料,['130016']
物理學門專題計畫補助清冊,['39604']
物種地理座標驗證工具,['7560']
環境工程學門專題計畫補助清冊,['41107']
生化及藥理醫學學門專題計畫補助清冊,"['35093', '41158']"
生技類核心設施平台維運計畫清單,['39383']
生物多樣性及長期生態學學門專題計畫補助清冊,['41154']
生物科學學門專題計畫補助清冊,"['34724', '41152']"
生科司新興/其他領域專題計畫補助清冊,['107213']
生農環境與多樣性學門專題計畫補助清冊,['34722']
研究計畫受補助單位名單資料集,['40477']
社會學門(含傳播)專題計畫補助清冊,['40526']
社會醫學學門專題計畫補助清冊,"['35214', '41161']"
神經醫學學門專題計畫補助清冊,['39375']
科學園區土地使用情形資料集,['7594']
科學園區土地規劃情形表,['40482']
科學園區專利數,['40504']
科學園區廠商研發經費投入情形,['40503']
科學園區從業員工數統計資料集,['7599']
科學園區性別與外籍員工統計,['40502']
科學園區新投資案核准情形,['40490']
科學園區標準廠房使用資料集,['7595']
科學園區污水處理量,['40601']
科學園區產業營業額成長情形比較表,['102115']
科學園區產業營額統計資料集,['7597']
科學園區產業類別及家數統計資料集,['7596']
科學園區用水量,['40600']
科學園區用電負載量,['102112']
科學園區管理局作業基金會計月報,['18738']
科學園區管理局作業基金附屬單位決算(審定),['18744']
科學園區管理局作業基金附屬單位預算(法定),['18746']
科學園區管理局作業基金附屬單位預算(預算案),['12452']
科學園區進出口資料集,['7598']
科學園區開發情形表,['40474']
科學園區開發經費統計,['40488']
科學教育學門專題計畫補助清冊,['107271']
科學教育實作學門專題計畫補助清冊,['107283']
科技、社會與傳播學門專題計畫補助清冊,['107281']
科技大觀園影視節目,['7593']
科技大觀園新知專欄,['41257']
科技大觀園演講廳,['7591']
科技大觀園科普知識,['7592']
科技行政研究報告,['39388']
科教國合司國際合作業務各類補助申請時程,['7764']
科普活動計畫通過清單,['7590']
科發基金半年結算報告,['39543']
科發基金附屬單位決算,['20473']
科發基金附屬單位預算會計報告,['20488']
空間資訊學門專題計畫補助清冊,['39611']
管理1學門專題計畫補助清冊,['40533']
管理2學門專題計畫補助清冊,['40534']
約聘僱人員性別統計表,['7585']
統計學門專題計畫補助清冊,['39591']
經濟學門專題計畫補助清冊,['40531']
線上虛擬展場清冊,['7600']
總統科學獎得獎資訊,['7589']
職員官等及性別統計表,['7586']
胸腔醫學學門專題計畫補助清冊,['39374']
能源學門專題計畫補助清冊,['41115']
腎臟泌尿及內分泌醫學學門專題計畫補助清冊,['39380']
自動化學門專題計畫補助清冊,['41117']
臺灣物種出現紀錄資料地圖API(包含各標本館資料與田野調查資料),['7573']
臺灣物種出現紀錄資料表格API(包含標本館資料與田野調查資料),['7561']
臺灣物種名錄比對工具,['7558']
藝術學門專題計畫補助清冊,['40524']
藥學及中醫藥學學門專題計畫補助清冊,"['35212', '41155']"
血液、腫瘤、免疫及感染醫學學門專題計畫補助清冊,['39379']
行政規則清單,['7765']
行政院傑出科技貢獻獎統計資料集,['7609']
補助全國性學術團體辦理學術推廣業務Q&A問答資料集,['40478']
補助全國性學術團體辦理學術推廣業務統計資料集,['7735']
補助兩岸科技交流統計資料集,['7608']
補助延攬科技人才統計資料集,['7607']
補助或交易行為之身分關係揭露清冊,['121086']
補助舉辦國際學術研討會通過名單,['41260']
"製造業(ISIC, Rev.3.1)研發人力全時約當數-依技術密集度區分",['40197']
"製造業(ISIC, Rev.3.1)研發經費-依技術密集度區分",['40196']
計畫學門總表,['53057']
訴願決定書清冊,['7524']
語言學門專題計畫補助清冊,['40521']
財金及會計學門專題計畫補助清冊,['40532']
貴重儀器開放共同管理平台(跨部會),['40479']
資訊工程學門專題計畫補助清冊,['41110']
資訊教育學門專題計畫補助清冊,['107273']
農業環境科學學門專題計畫補助清冊,['41153']
農產資源科學學門專題計畫補助清冊,"['34723', '41151']"
醫學工程學門專題計畫補助清冊,['41108']
醫學教育學門專題計畫補助清冊,['107277']
防災學門專題計畫補助清冊,['39609']
電信工程學門專題計畫補助清冊,['41112']
電力工程學門專題計畫補助清冊,['41120']
預算書清冊,['7613']
食品與營養保健學門專題計畫補助清冊,['35213']
駐外科技組聯絡資訊,['7521']
高分子學門專題計畫補助清冊,['41105']
