新住民學習中心網-主題專區-就業服務,['37893']
新住民學習中心網-主題專區-教育學習,['37891']
新住民學習中心網-主題專區-歸化,['37894']
新住民學習中心網-主題專區-警政,['37896']
新住民學習中心網-主題專區-醫療保健,['37895']
新住民學習中心網-友善連結,['37887']
新住民學習中心網-學力鑑定專區-考古題,['37903']
新住民學習中心網-學力鑑定專區-鑑定考試簡章,['37902']
新住民學習中心網-常見問答,['37888']
新住民學習中心網-年度計畫-成人教育,['37901']
新住民學習中心網-年度計畫-新住民,['37900']
新住民學習中心網-最新資訊-人口統計,['37889']
新住民學習中心網-最新資訊-最新消息,['37890']
新住民學習中心網-活動剪影-影音專區,['37898']
新住民學習中心網-活動剪影-電子相簿,['37897']
新住民學習中心網-開班訊息-多元文化學習班,['37906']
新住民學習中心網-開班訊息-成人教育班,['37907']
新住民學習中心網-開班訊息-生活適應班,['37905']
新聞行銷處-LINE及文宣專區-文宣專區,['37040']
新聞行銷處-Q&A,['37039']
新聞行銷處-交安宣導-交通安全宣導區,['37038']
新聞行銷處-交安宣導-公開資料,['37043']
新聞行銷處-交安宣導-宣導影片,['37045']
新聞行銷處-交安宣導-檔案文宣,['37044']
新聞行銷處-便民服務-檔案下載,['37037']
新聞行銷處-最新訊息-公告資訊,['37035']
新聞行銷處-最新訊息-新聞資訊,['37034']
新聞行銷處-業務項目-資訊公開專區,['37036']
星級環保餐館,['91048']
暨所轄鄉鎮市公所公共債務訊息,"['24935', '123148']"
有線電視業者名冊,['20957']
本局多元繳稅管道件數及手續費支出,['102435']
朴子地政事務所-便民服務-下載專區-各類申請書及範例,['40846']
朴子地政事務所-便民服務-友善連結,['40826']
朴子地政事務所-便民服務-地價課業務-地價分算,['40855']
朴子地政事務所-便民服務-地價課業務-實價登錄,['40854']
朴子地政事務所-便民服務-志工園地-志工活動花絮,['40825']
朴子地政事務所-便民服務-志工園地-榮譽榜,['40824']
朴子地政事務所-便民服務-檔案應用,['40849']
朴子地政事務所-便民服務-測量課業務-地籍圖重測,['40853']
朴子地政事務所-便民服務-登記課業務-3類謄本新制,['40823']
朴子地政事務所-便民服務-登記課業務-未辦繼承,['40850']
朴子地政事務所-便民服務-網網相連,['40857']
朴子地政事務所-公告資訊-WEB2.0專區-Youtube影音,['40820']
朴子地政事務所-公告資訊-廉政宣導,['40816']
朴子地政事務所-公告資訊-最新消息,['40809']
朴子地政事務所-公告資訊-機關公告-書狀補給公告,['40810']
朴子地政事務所-公告資訊-法規新訊,['40848']
朴子地政事務所-公告資訊-活動花絮,['40821']
朴子地政事務所-員工專區-人事業務,['40858']
朴子地政事務所-員工專區-其他表單,['40862']
朴子地政事務所-員工專區-政風業務-表單下載,['40859']
朴子地政事務所-員工專區-政風業務-財產申報,['40860']
朴子地政事務所-員工專區-綜合表單,['40844']
朴子地政事務所-政府公開資訊-中央法規及地方自治法規,['40834']
朴子地政事務所-政府公開資訊-公共工程與採購契約,['40840']
朴子地政事務所-政府公開資訊-為民服務白皮書,['40843']
朴子地政事務所-政府公開資訊-行政指導文書,['40836']
朴子地政事務所-政府公開資訊-解釋性規定及裁量基準,['40835']
朴子地政事務所-政府公開資訊-預算與決算書,['40838']
朴子地政事務所-民意交流-常見問答-地價類,['40829']
朴子地政事務所-民意交流-常見問答-地用類,['40830']
朴子地政事務所-民意交流-常見問答-測量類,['40828']
朴子地政事務所-民意交流-常見問答-登記類,['40827']
朴子地政事務所-測量申請案件申辦須知,['40852']
朴子地政事務所-行政規則,['40847']
朴子戶政事務所-便民服務-志工服務園地-志工園地,['40869']
朴子戶政事務所-便民服務-志工服務園地-志工服務相關法規,['40870']
朴子戶政事務所-便民服務-志工服務園地-活動花絮,['40871']
朴子戶政事務所-便民服務-檔案應用服務-閱覽抄錄複製作業流程,['40868']
朴子戶政事務所-便民服務-檔案應用服務-閱覽申請書,['40867']
朴子戶政事務所-便民服務-申辦項目,['40865']
朴子戶政事務所-公佈欄-最新消息,['40881']
朴子戶政事務所-公佈欄-活動花絮,['41762']
朴子戶政事務所-政府公開資訊-中央法規及地方自治法規,['40872']
朴子戶政事務所-政府公開資訊-預算及決算書,['40876']
朴子戶政事務所-民意交流-常見問答,['40864']
朴子戶政事務所-網站連結-學校相關,['40886']
朴子戶政事務所-網站連結-戶政事務所,['40883']
朴子戶政事務所-網站連結-政府所屬機關,['40885']
朴子戶政事務所-網站連結-縣鄉鎮市公所,['40884']
朴子戶政事務所-首頁快速連結,['40863']
村里長名冊,['99872']
機車排氣檢驗站,['78206']
歷年來藥事照護服務執行名冊,['102870']
歷年來通過評鑑之餐飲業者,['102866']
歷年公辦農村社區土地重劃成果統計表,['20548']
歷年度使用牌照稅違章裁罰件數金額統計表,['123135']
歷年度受款人筆數金額統計表,['122862']
歷年度各類免稅車輛統計,['122857']
歷年度土石採取景觀維護特別稅課徵數量及實徵稅額,['123144']
歷年度地價稅開徵查定戶數及稅額統計,['127520']
歷年度地方稅各稅目網路與臨櫃申報件數統計,['122853']
歷年度地方稅各稅目退稅件數統計表,['122852']
歷年早期農地重劃鄉鎮農水路更新改善資料統計表,['20576']
