資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
106年度不當黨產處理委員會單位預算案,41065,106年度不當黨產處理委員會單位預算案,106年度不當黨產處理委員會單位預算案,行政院不當黨產處理委員會
106年度不當黨產處理委員會單位預算,44008,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,106年度不當黨產處理委員會單位預算,行政院不當黨產處理委員會
107年度不當黨產處理委員會單位預算,75190,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,行政院不當黨產處理委員會
