資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國民中學校別資料,6239,全臺灣國民中學校別資料,縣市代碼;縣市名稱;學校代碼;學校名稱;7年級班級數;8年級班級數;9年級班級數;學生數7年級女;7年級女學生數;8年級男學生數;8年級女學生數;9年級男學生數;9年級女學生數;上學年男畢業生;上學年女畢業生;男專任教師;女專任教師;男職員;女職員;班級數7年級;班級數8年級;班級數9年級;學生數7年級男;學生數8年級男;學生數8年級女;學生數9年級男;學生數9年級女,教育部統計處
國民小學校別資料,6240,全臺灣國民小學校別資料,縣市代碼;縣市名稱;學校代碼;學校名稱;1年級班級數;2年級班級數;3年級班級數;4年級班級數;5年級班級數;6年級班級數;1年級男學生數;1年級女學生數;2年級男學生數;2年級女學生數;3年級男學生數;3年級女學生數;4年級男學生數;4年級女學生數;5年級男學生數;5年級女學生數;6年級男學生數;6年級女學生數;上學年男畢業生;上學年女畢業生;男專任教師;女專任教師;男職員;女職員,教育部統計處
補習學校校別資料,6241,全臺灣補習學校校別資料,縣市代碼;縣市名稱;學校代碼;學校名稱;1年級班級數;2年級班級數;3年級班級數;1年級男學生數;1年級女學生數;2年級男學生數;2年級女學生數;3年級男學生數;3年級女學生數;上學年男畢業生;上學年女畢業生;男專任教師;女專任教師;男職員;女職員;班級數;1年級;2年級;3年級;學生數;男學生;女學生;1年級男;1年級女;2年級男;2年級女;3年級男;3年級女;上學年畢業生,教育部統計處
學生身高平均值(6歲-15歲),6283,6歲-15歲學生身高平均值,學年度;年齡;總計;男;女,教育部國民及學前教育署
國小學生體位趨勢,6284,國小學生體位趨勢,類別;性別;年度;百分比,教育部國民及學前教育署
特殊教育學校名錄,6285,本資料集主要提供全臺灣特殊教育學校通訊資料,縣市;學校;地址;電話;網址;傳真,教育部國民及學前教育署
大專校院校別職員.警衛.工友人數,6286,全臺灣大專校院校別職員.警衛.工友人數,學校代碼;學校名稱;職員男;職員女;秘書男;秘書女;教務男;教務女;學務男;學務女;總務男;總務女;會計男;會計女;人事男;人事女;圖書管理男;圖書管理女;體育衛生男;體育衛生女;產學合作(含育成)男;產學合作(含育成)女;國際交流男;國際交流女;資訊男;資訊女;環境安全男;環境安全女;助教男;助教女;其他男;其他女;警衛男;警衛女;工友男;工友女;縣市名稱;體系別,教育部統計處
大專校院校地校舍面積統計,6287,全臺灣大專校院校地校舍面積統計,學校類型;學校代碼;學校名稱;縣市別;學生宿舍床位數<br>(床);教職員宿舍單身床位<br>(床);教職員宿舍有眷戶數<br>(戶);可使用校地-校舍基地<br>(平方公尺);可使用校地-露天運動場地<br>(平方公尺);可使用校地-其他校地<br>(平方公尺);無法使用校地<br>(平方公尺);可使用校地-校舍基地(平方公尺);自有宿舍床位數<br>(床),教育部統計處
大專校院圖書館統計,6288,全臺灣大專校院圖書館統計,項目;公立大學及獨立學院;私立大學及獨立學院;公立專科學校;私立專科學校;學校代碼;學校名稱;中文圖書收藏冊數(冊)-總類;中文圖書收藏冊數(冊)-哲學類;中文圖書收藏冊數(冊)-宗教類;中文圖書收藏冊數(冊)-科學類;中文圖書收藏冊數(冊)-應用科學類;中文圖書收藏冊數(冊)-社會科學類;中文圖書收藏冊數(冊)-史地類;中文圖書收藏冊數(冊)-語言文學類;中文圖書收藏冊數(冊)-藝術類;外文圖書收藏冊數(冊);期刊合訂本(未以圖書編目)(冊);線上資料庫(種);光碟及其他類型資料庫(種);電子期刊(種);電子書(種);視聽資料(件);圖書閱覽座位數(個);全年圖書(含視聽資料及其他館藏)借閱人次(人次);全年圖書(含視聽資料及其他館藏)借閱冊次(冊次);全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次);報紙(種);中.日文期刊(種);西文期刊(種);中文圖書收藏冊數(冊)_總類;中文圖書收藏冊數(冊)_哲學類;中文圖書收藏冊數(冊)_宗教類;中文圖書收藏冊數(冊)_自然科學類;中文圖書收藏冊數(冊)_應用科學類;中文圖書收藏冊數(冊)_社會科學類;中文圖書收藏冊數(冊)_史地類;中文圖書收藏冊數(冊)_語言文學類;中文圖書收藏冊數(冊)_藝術類,教育部統計處
大專校院境外學生人數統計,6289,全臺灣大專校院境外學生人數統計,洲別;國別;學位生-正式修讀學位外國生;學位生-僑生(含港澳);學位生-正式修讀學位陸生;非學位生-外國交換生;非學位生-外國短期研習及個人選讀;非學位生-大專附設華語文中心學生;非學位生-大陸研修生;非學位生-海青班;境外專班;學校類型;學校代碼;學校名稱;學位生_正式修讀學位外國生;學位生_僑生(含港澳);學位生_正式修讀學位陸生;非學位生_外國交換生;非學位生_外國短期研習及個人選讀;非學位生_大專附設華語文中心學生;非學位生_大陸研修生;非學位生_海青班,教育部統計處
