兩岸經貿交流相關統計指標-中國大陸總體經濟：中國大陸固定資產、製造業、房地產開發投資金額及成長率,['39484']
兩岸經貿交流相關統計指標-中國大陸總體經濟：中國大陸對外貿易總額及成長率,['39485']
兩岸經貿交流相關統計指標-中國大陸總體經濟：中國大陸社會消費品零售總額及成長率,['39482']
兩岸經貿交流相關統計指標-中國大陸總體經濟：中國大陸網上購物額,['39483']
兩岸經貿交流相關統計指標-中國大陸總體經濟：國內生產總值(GDP)各業占比及成長率,['39480']
兩岸經貿交流相關統計指標-中國大陸總體經濟：國內生產總值(GDP)各項支出占比及成長率,['39481']
兩岸經貿交流相關統計指標-中國大陸金融：中國大陸股價指數、人民幣兌美元匯價、人民銀行存放款基準利率、外匯存底,['55785']
兩岸經貿交流相關統計指標-兩岸投資往來：臺商赴中國大陸投資相對其他地區投資之比重,['80977']
兩岸經貿交流相關統計指標-兩岸投資往來：臺商赴中國大陸投資相對我國固定資本形成比重,['80978']
兩岸經貿交流相關統計指標-兩岸投資往來：陸資來臺投資件數與金額占僑外資(含陸資)比重,['80980']
兩岸經貿交流相關統計指標-兩岸投資往來：陸資來臺投資前十大產業別,['103283']
兩岸經貿交流相關統計指標-兩岸投資往來：陸資來臺投資平均規模占僑外資(含陸資)比重,['80981']
兩岸經貿交流相關統計指標-兩岸投資往來：陸資來臺投資相對我國固定資本形成比重,['80979']
兩岸經貿交流相關統計指標-兩岸社會往來：大陸人士來臺購買房地產(迄今),['127162']
兩岸經貿交流相關統計指標-兩岸社會往來：大陸人士來臺購買房地產許可情形,['127161']
兩岸經貿交流相關統計指標-兩岸貿易往來：主要國家、區域占中國大陸進口市場比重,['55803']
兩岸經貿交流相關統計指標-兩岸貿易往來：主要國家對中國大陸出口占各國總出口比重,['55787']
兩岸經貿交流相關統計指標-兩岸貿易往來：主要國家對中國大陸進口占各國總進口比重,['55797']
兩岸經貿交流相關統計指標-兩岸貿易往來：我國對中國大陸出口前10大貨品(HS6位碼)占對陸出口比重,['55789']
兩岸經貿交流相關統計指標-兩岸貿易往來：我國對中國大陸出口金額、成長率,['55786']
兩岸經貿交流相關統計指標-兩岸貿易往來：我國自中國大陸進口前10大貨品(HS6位碼)占自陸進口比重,['55804']
兩岸經貿交流相關統計指標-兩岸貿易往來：我國自中國大陸進口金額及成長率,['55790']
兩岸經貿交流相關統計指標-兩岸金融往來：人民幣存款餘額、貼現及放款餘額,['103286']
兩岸經貿交流相關統計指標-兩岸金融往來：兩岸金融參股情形,['103285']
兩岸經貿交流相關統計指標-兩岸金融往來：本國銀行對大陸地區之授信、投資及資金拆存總額度,['103284']
兩岸經貿交流相關統計指標-兩岸金融往來：陸銀發行之寶島債流通檔數及餘額,['103287']
公共建設計畫全生命週期績效管理-屆期評估清單,['70703']
公共建設計畫全生命週期績效管理-期中評估清單,['70702']
公共建設計畫全生命週期績效管理-營運評估清單,['70704']
公共建設計畫經濟效益評估及財務計畫作業手冊,['39479']
公共建設計畫預警計畫清單,['113781']
公共建設類中長程個案計畫執行情形,['113779']
公共政策網路參與平台-來監督(行政院版本),['58299']
公共政策網路參與平台-提點子(行政院版本),['58036']
公共政策網路參與平台-眾開講(行政院版本),['58297']
公共行政(外語)替代役實施計畫,['43365']
公共行政(外語)替代役役男服勤效益表,['56326']
公共行政(外語)替代役訪視實施計畫,['46087']
公務出國報告,['8282']
公文e網通申請表單,['33641']
公文及檔案管理資訊系統驗證常見問題,['43609']
公文及檔案管理資訊系統驗證推廣說明會參與人數統計,['103299']
公文及檔案管理資訊系統驗證服務數量統計,['81052']
公文及檔案管理資訊系統驗證申請文件,['33072']
公文時效統計表,['7614']
公文電子交換常見問題,['103298']
公文電子交換系統地址簿,['7617']
具備「政府網站資料開放宣告」之政府網站統計表,['35521']
具創新能力之新創事業認定原則,['31472']
出席全球經濟論壇報告,['57159']
出生推估,['34009']
刑案件數、道路交通事故、火災發生次數及消防設備,['6514']
利益衝突迴避注意事項,['67186']
前瞻基礎建設計畫執行情形,['127169']
前瞻科技介紹,['43371']
創新創業政策會報推動成果,['27776']
創新拔萃方案懶人包,['31474']
創新趨勢下5+2產業未來工作變化及其所需技能,['113772']
創業拔萃方案,['22917']
創業點火國發會推動創新創業政策報告,['27697']
創立基金餘額未達目標金額之政府捐助成立之財團法人及其主管機關策進作為,['95325']
加強推動台商回台投資專案貸款要點及貸放情形,['28279']
加強推動臺商回臺投資方案,['27758']
勞工政策-機關檔案目錄,['33479']
協助企業併購專案融資要點及貸放情形,['28272']
協助天然災區住宅修繕貸款要點及貸放情形,['28281']
協調法規鬆綁建言處理流程,['34015']
及所屬機關依申請提供資料清單,['91674']
古蹟-機關檔案目錄,['38402']
台灣歷次景氣循環峰谷日期,['39486']
台灣經濟論衡-政策焦點,['113767']
台灣經濟論衡-經濟統計-主要工業產品產量,['67172']
台灣經濟論衡-經濟統計-勞動力指標,['67173']
台灣經濟論衡-經濟統計-國際收支平衡表,['67174']
台灣經濟論衡-經濟統計-工業生產指數,['67171']
台灣經濟論衡-經濟統計-核備對外、核准對大陸投資分業統計表,['67178']
台灣經濟論衡-經濟統計-核准華僑及外國人投資地區別,['67177']
台灣經濟論衡-經濟統計-臺灣重要經濟指標,['31670']
台灣經濟論衡-經濟統計之出口貨物價值,['67176']
台灣經濟論衡-經濟統計之進口貨物價值,['67175']
台紐共同投資創業投資基金審查及管理要點,['28286']
各部會社會發展計畫對應國家發展計畫架構及政策議題,['57205']
同仁接受檢調機關約談權益須知及注意事項,['58128']
商品出口轉型行動方案,['31555']
啟動法規鬆綁排除投資障礙專案之成果彙整,['80991']
因應我國人口結構變遷具體作法​,['39489']
因應貿易自由化產業振興輔導優惠貸款要點及貸放情形,['28273']
國內主要行業生產毛額(名目金額),['43372']
國內主要行業生產毛額(按名目金額計算分配比),['43373']
國內主要觀光遊憩據點遊客人數,['6502']
國內創業競賽盤點,['39488']
國內工商團體議題處理情形,['46093']
國史-機關檔案目錄,['33487']
國土及公共治理季刊資訊,['31627']
