司法統計年報-地方法院刑事第審簡易判決案件裁判結果,['44540']
司法統計年報-地方法院刑事第審終結案件科刑人數,['44536']
司法統計年報-地方法院刑事簡易程序案件收結件數1按分,['44538']
司法統計年報-地方法院刑事簡易程序案件收結情形,['44537']
司法統計年報-地方法院刑事終結案件訴訟程序1按分,['44532']
司法統計年報-地方法院刑事聲請再審案件收結情形,['44555']
司法統計年報-地方法院受理偵查中搜索案件收結情形,['44564']
司法統計年報-地方法院受理公職人員選舉罷免訴訟事件收結情形,['44528']
司法統計年報-地方法院受理社會秩序維護法案件收結情形,['44542']
司法統計年報-地方法院員工實有人數-按分,['44468']
司法統計年報-地方法院家事事件各訴訟程序收結件數,['44487']
司法統計年報-地方法院家事終結事件訴訟程序-按分,['44488']
司法統計年報-地方法院少年刑事案件少年就業情況,['44572']
司法統計年報-地方法院少年刑事案件少年年齡及家庭經濟狀況,['44571']
司法統計年報-地方法院少年刑事案件少年教育程度及父母狀況,['44574']
司法統計年報-地方法院少年刑事案件少年犯罪主要原因,['44570']
司法統計年報-地方法院少年刑事案件少年行為態樣,['44573']
司法統計年報-地方法院少年及兒童交付保護處分事件就業情況,['44585']
司法統計年報-地方法院少年及兒童交付保護處分事件年齡及家庭經濟狀況,['44582']
司法統計年報-地方法院少年及兒童交付保護處分事件教育程度及父母狀況,['44583']
司法統計年報-地方法院少年及兒童交付保護處分事件行為態樣,['44584']
司法統計年報-地方法院少年及兒童交付保護處分事件觸法(或有觸法之虞)行為主要原因,['44581']
司法統計年報-地方法院少年及兒童保護事件審理收結情形,['44579']
司法統計年報-地方法院少年及兒童保護事件審理收結情形1按分,['44580']
司法統計年報-地方法院少年及兒童保護事件調查收結情形,['44577']
司法統計年報-地方法院少年及兒童保護事件調查收結情形1按分,['44578']
司法統計年報-地方法院少年法庭收結情形,['44565']
司法統計年報-地方法院少年法庭收結情形1按分,['44566']
司法統計年報-地方法院少年調查保護官執行保護管束事件收結情形,['44587']
司法統計年報-地方法院少年調查保護官執行保護管束事件終結情形及人數,['44588']
司法統計年報-地方法院少年調查保護官執行假日生活輔導收結人數及執行情形,['44591']
司法統計年報-地方法院少年調查保護官辦理事件終結情形,['44586']
司法統計年報-地方法院核發通信調取案件情形-按分,['44603']
司法統計年報-地方法院民事保護令聲請事件終結情形,['44490']
司法統計年報-地方法院民事再審事件收結情形,['44506']
司法統計年報-地方法院民事再審事件收結情形1按分,['44507']
司法統計年報-地方法院民事強制執行事件終結情形-按分,['44522']
司法統計年報-地方法院民事破產終結事件標的金額,['44510']
司法統計年報-地方法院民事第1審事件終結情形及訴訟標的金額-按分,['44474']
司法統計年報-地方法院民事第1審小額訴訟程序事件終結情形及訴訟標的金額-按分,['44483']
司法統計年報-地方法院民事第1審簡易訴訟程序事件終結情形及訴訟標的金額-按分,['44480']
司法統計年報-地方法院民事第1審終結事件訴訟種類-按分,['44477']
司法統計年報-地方法院民事第2審簡易訴訟程序事件終結情形-按分,['44482']
司法統計年報-地方法院民事簡易事件收結件數,"['44478', '44479']"
司法統計年報-地方法院行政訴訟事件辦理概況-按分,['44604']
司法統計年報-地方法院辦理公設辯護案件收結情形,['44561']
司法統計年報-地方法院辦理公設辯護案件收結情形1按分,['44562']
司法統計年報-地方法院辦理公證事件收結情形,['44512']
司法統計年報-地方法院辦理公證事件收結情形-按分,['44513']
司法統計年報-地方法院辦理刑事案件收結情形,['44529']
司法統計年報-地方法院辦理刑事案件收結情形1按分,['44530']
司法統計年報-地方法院辦理刑事補償事件收結情形-按分,['44560']
司法統計年報-地方法院辦理國家賠償事件收結情形,['44526']
司法統計年報-地方法院辦理國家賠償事件收結情形-按分,['44527']
司法統計年報-地方法院辦理家事事件收結情形,['44485']
司法統計年報-地方法院辦理家事事件收結情形1按分,['44486']
司法統計年報-地方法院辦理家事非訟事件收結情形-按分,['44503']
司法統計年報-地方法院辦理提存事件收結情形,['44504']
司法統計年報-地方法院辦理提存事件收結情形1按分,['44505']
司法統計年報-地方法院辦理提審案件收結件數,['44554']
司法統計年報-地方法院辦理民事(不含家事)第1審調解事件終結情形1按分,['44498']
司法統計年報-地方法院辦理民事(不含家事)第審調解事件終結情形,['44497']
司法統計年報-地方法院辦理民事(不含家事)非訟事件收結情形,['44499']
司法統計年報-地方法院辦理民事(不含家事)非訟事件收結情形-按分,['44500']
司法統計年報-地方法院辦理民事事件收結情形-按分,['44470']
司法統計年報-地方法院辦理民事破產事件終結情形,"['44508', '44511']"
司法統計年報-地方法院辦理民事破產事件終結情形1按分,['44509']
司法統計年報-地方法院辦理民事第1審調解事件終結情形1按分,['44496']
司法統計年報-地方法院辦理民事第審調解事件終結情形,['44495']
司法統計年報-地方法院辦理民事終結事件訴訟程序-按分,['44472']
司法統計年報-地方法院辦理社會秩序維護法移送裁定案件終結情形-按分,['44543']
司法統計年報-地方法院辦理道路交通案件收結情形,['44551']
司法統計年報-地方法院辦理道路交通案件收結情形1按分,['44552']
司法統計年報-地方法院辦理鄉鎮調解事件審核情形,['44519']
司法統計年報-地方法院辦理鄉鎮調解事件收結情形1按分,['44520']
司法統計年報-地方法院辦理重大刑事案件收結情形,['44545']
司法統計年報-地方法院辦理重大刑事案件收結情形1按分,['44546']
司法統計年報-地方法院辦理附帶民事訴訟案件收結情形-按分,['44558']
