資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
加工出口區管理處_經濟部加工出口區管理處推動研究發展工作作業規定,10486,研究計畫項目範圍包含加工出口區發展策略、提升加工出口區競爭力、基礎設施、政府再造等相關之研究事項。,檢視或更新日期;名稱;提供機關;全文網址,經濟部加工出口區管理處
商標案件提起行政救濟統計表,10487,彙整年度商標案件提起行政救濟案件數之統計資料，供外界參考利用。,年;行政處分或行政救濟類別;件數,經濟部智慧財產局
加工出口區管理處_經濟部加工出口區管理處施政計畫,10488,為因應產業趨勢變化及廠商發展需求，並針對經社情勢變化及加工出口區未來發展需求，編訂施政計畫,檢視或更新日期;名稱;提供機關;全文網址,經濟部加工出口區管理處
經濟部智慧財產局對外關係文書,10489,我國與他國所簽署的智慧財產權雙邊協議，宜讓民眾知道、利用以保護其自身的權益。,序號;簽署日/編號;簽署人;名稱及性質;連結位置;,經濟部智慧財產局
經濟部保有個人資料檔案,10490,彙整本部各幕僚單位，依個人資料保護法第 17條公開之個人資料檔案目錄,資料集名稱;主要欄位說明;資料集描述;網址連結,經濟部
加工出口區管理處_預算及決算,10491,提供加工出口區年度作業基金附屬單位預決算及單位預決算數資料,檢視或更新日期;名稱;提供機關;全文網址,經濟部加工出口區管理處
經濟部研究發展委員會_經濟部施政計畫,10493,依據總統治國理念及行政院施政主軸，並將年度重要推動業務及中長程個案計畫等面向納入，據以訂定施政重點、關鍵策略目標及關鍵績效指標。,檔案名稱;下載網址,經濟部
國營事業管理法,10494,國營事業管理基本法,法規名稱;法規內容連結,經濟部國營事業委員會
經濟部所屬事業機構參加民營事業投資應行注意,10496,經濟部所屬事業參加民營事業投資之規範,第1點;第2點;第3點;第4點;第5點;第6點;第7點;第8點;第9點;第10點;第11點;第12點;第13點;第14點;第15點;第16點;第17點,經濟部國營事業委員會
經濟部所屬事業固定資產投資專案計畫編審要點,10501,經濟部所屬事業固定資產投資專案計畫之編審依據規定。,第1點;第2點;第3點;第4點;第5點;第6點;第7點;第8點;第9點;第10點;第11點;第12點;第13點;第14點;第15點;第16點;第17點;第18點,經濟部國營事業委員會
經濟部研究發展委員會_經濟部施政績效,10502,就關鍵績效指標與衡量標準為客觀判斷，以回饋於後續施政規劃、執行措施調整及預算分配，滾動精進施政作為，提升施政績效,檔案名稱;下載網址,經濟部
經濟部所屬各事業科學與技術類委託研究計畫作業規定,10507,經濟部為加強所屬事業科學與技術類委託研究計畫之管理規定。,第1點;第2點;第3點;第4點;第5點;第6點;第7點;第8點;第9點;第10點;第11點;第12點;第13點;第14點;第15點;第16點;第17點;第18點;第19點;,經濟部國營事業委員會
經濟部中部辦公室_公司登記及證明影印統計表,10570,公司登記及證明影印統計資料,項目名稱;連結網址,經濟部
經濟部中部辦公室_各縣市傳統市集、列管攤集場(區)統計表,10572,全國各縣市公民有傳統市集、列管攤集場(區)統計資料,項目名稱;連結網址,經濟部
經濟部中部辦公室_歲入歲出預算表,10573,年度歲入歲出預算資料,項目名稱;連結網址,經濟部
申請人專利新申請案件數排名,10575,本表係由經濟部智慧財產局提供申請人三種專利新申請案件數前20大排名統計資料供外界參考,年度;排名;申請人名稱;發明/新型/設計;件數,經濟部智慧財產局
保護智慧財產權行動方案,10578,為因應國家發展需要，落實保護智慧財產權政策，行政院先後核定經濟部所提「推動保護智慧財產權行動年計畫」（民國91年）及「貫徹保護智慧財產權行動計畫」（民國92-94年、95-97年、98-100年、101-103年，自本期104-106年改為行動方案。由本局彙整各主、協辦機關按季填報列管追蹤表，以利追蹤管考本行動方案各項具體執行措施之執行情形。,序號;標題;發布日期;文件,經濟部智慧財產局
經濟部中部辦公室_樂活菜市仔競爭力提升計畫(專案管理中心)委外服務契約,10686,103年「改進傳統市場經營管理-樂活菜市仔競爭力提升計畫(專案管理中心)」委外服務,項目名稱;連結網址,經濟部
經濟部中部辦公室_樂活菜市仔競爭力提升計畫(網路市集維運)」委外服務契約,10690,103年「改進傳統市場經營管理-樂活菜市仔競爭力升計畫(網路市集維運)」委外服務,項目名稱;連結網址,經濟部
經濟部工業局_產業用地規劃與活化策略期末報告,10698,經濟部工業局即日起開放「產業用地規劃與活化策略研究期末報告」資料集，歡迎各界多加利用 資料內容為台灣產業用地發展現況之調查，調查對象包括經濟部編定工業區、加工出口區、科學園區，以及地方縣市政府既有產業用地，調查項目包括生產要素投入條件、生產環境條件、產業園區開發績效等產業生產投入、產出相關指標。 工業區發展動態調查,資料集名稱;計畫名稱;執行期間;下載連結,經濟部工業局
經濟部工業局_金屬機電傳產維新推動計畫,10704,為改善產業結構、提升傳統產業競爭力、再創傳統產業新生命及增加就業機會，根據行政院核定「傳統產業維新方案及推動計畫」，內容明訂之第一階段維新項目中屬於金屬機電領域維新項目，包括「智慧小家電」、「數位手工具」、「安全智慧衛浴器材」以及「精微金屬製品」等四個項目進行輔導，透過注入資通訊(ICT)科技、文創美學、環保綠色、改善商業模式等維新元素與思維，讓金屬機電傳統產業創造出更新、更高價值，當可為金屬機電傳統產業誘發新的成長動能，讓金屬機電傳統產業蛻變維新興的明日之星，成為創造台灣價值的典範。,檔案名稱;下載網址,經濟部工業局
經濟部工業局_紙器產業振興輔導計畫,10707,「紙器產業振興輔導計畫」執行目的、內容及廠商輔導成效。,資料集名稱;計畫名稱;執行期間;下載連結,經濟部工業局
經濟部工業局_安全供應鏈推動計畫,10709,將以體系輔導方式建立製造業之安全供應鏈優質企業標竿，並整合 ISO 28000 安全供應鏈管理系統國際標準與我國 AEO 相關安全規範建立示範企 業，以期能與國際接軌,資料集名稱;計畫名稱;執行期間;下載連結,經濟部工業局
經濟部工業局_台灣設計產業翱翔計畫,10715,說明設計產業發展推動計畫，透過政府政策工具並結合民間相關資源，整合各界力量推升我國設計接軌國際。,資料集名稱;下載網址,經濟部工業局
經濟部中小企業處_中小企業發展基金預算,10719,中小企業發展基金年度預算資料,年度;檔案名稱;下載連結,經濟部中小企業處
經濟部中小企業處_地方產業發展基金決算,10720,地方產業發展基金年度決算資料,年度;檔案名稱;下載連結,經濟部中小企業處
經濟部中小企業處_補捐助團體及個人情形統計表,10721,配合建立政府資訊公開制度，便利人民共享及公平利用政府資訊，保障人民知的權利，增進人民對公共事務之瞭解、信賴及監督，經濟部中小企業處開放自102年度起之「補捐助團體及個人情形統計表」資料集，提供補捐助事項、核准日期、補捐助對象、累計補助金額等各類資料。,補(捐)助事項;補(捐)助對象;補(捐)助對象所歸屬之直轄市或縣(市);核准日期;相關開支明細;補(捐)助金額(單位:元);累計補(捐)助金額(單位:元);補(捐)助金額,經濟部中小企業處
經濟部中小企業處_內部保有個人資料公告項目,10722,內部保有個人資料公告項目,個人資料檔案名稱;保有機關(單位)名稱及聯絡方式;保有依據;特定目的;個人資料類別,經濟部中小企業處
經濟部中小企業處_辦理政策宣導廣告彙整表,10723,年度於平面媒體、網路媒體、廣播媒體及電視媒體辦理政策宣導之相關廣告,廣告項目;刊登或託播對象;刊登或播出時間;刊登或託播金額(單位：新台幣元);備註;預算來源;刊登或託播金額(單位：新臺幣元),經濟部中小企業處
台灣電力公司_重要電業經營績效,10855,提供台電公司近10年主要經營績效指標實績,檔案名稱;下載網址,台灣電力股份有限公司
台灣電力公司_電價成本,10856,提供台電公司電價成本結構及各種發電方式發電成本,檔案名稱;下載網址,台灣電力股份有限公司
台灣電力公司_財務資訊,10857,提供台電公司財務相關資訊,檔案名稱;下載網址,台灣電力股份有限公司
台灣電力公司_核能發電廠位置及機組設備,10858,供核能發電廠及機組相關資訊,電廠名稱;機組名稱;地址;連絡電話;傳真電話;商轉日期;裝置容量<br>(MWe),台灣電力股份有限公司
台灣電力公司_近10年核能發電績效及減碳效益,10859,提供近10年各年度核能發電量、容量因數平均值及減碳效益,年度;核能發電量(億度);容量因數平均值(%);減碳量(萬噸),台灣電力股份有限公司
經濟部--經濟部各單位暨所屬機關新聞稿,10861,"1.提供經濟部相關業務之新聞稿資訊。 2.收集目的：增加民眾了解本部重要訊息之管道。 3.如何收集：由本部所屬各單位每日自行篩選重要新聞稿,並上傳至本部相關系統上。",title;link;description;author;pubDate,經濟部
水利署_相關行政救濟案例,10862,本資料內容除包括總目錄，提供案例彙編目錄及案例摘要與依據之法條外，主要係就水利法規（包括水利法、水權登記審查作業要點、溫泉法及溫泉開發許可辦法等）常見案例予以介紹，於每一則案例中，其內容除個案事實簡介外，尚包括訴願及行政救濟之理由，並附有訴願決定書、法院判決等文書連結以供查詢，期能藉此使同仁與民眾對水利法規或相關案例能獲得相當之理解及認識。 本資料業已公布於水利署全球資訊網，開放資料係公布連結清冊。,Title;UniformResourceLocator;UpdateTime,經濟部水利署
