「提升本部公職人員財產申報網路系統上線率宣導作業暨獎勵計畫」,法務部「提升本部公職人員財產申報網路系統上線率宣導作業暨獎勵計畫」,14091,法務部「提升本部公職人員財產申報網路系統上線率宣導作業暨獎勵計畫」,講義;連結,法務部廉政署
「新進公務人員專案法紀宣導」成果 (節錄),法務部「106年新進公務人員專案法紀宣導」成果 (節錄),85656,法務部「106年新進公務人員專案法紀宣導」成果（節錄）,資料名稱;成果資料;摘要,法務部
「更生人就業狀況調查」成果報告書,「更生人就業狀況調查」成果報告書,13186,更生人就業狀況調查報告,資料名稱;資料連結,法務部保護司
「替代役廉政宣導」(節錄),法務部106-107年「替代役廉政宣導」（節錄）,90318,法務部106-107年「替代役廉政宣導」（節錄）,資料名稱;成果資料;摘要,法務部
「本國律師人數」資料集,「本國律師人數」資料集,90965,本國律師人數,資料集名稱;資料集連結,法務部檢察司
「民法債編商品責任及定型化契約規範之檢討-以交易地位的不對等及消費者保護的發展趨勢」委託研究案,「民法債編商品責任及定型化契約規範之檢討－以交易地位的不對等及消費者保護的發展趨勢」委託研究案,14147,研究報告,資料集名稱;資料集連結,法務部法律事務司
「洗錢防制及打擊資恐-法規彙編」資料集,「洗錢防制及打擊資恐-法規彙編」資料集,90970,「洗錢防制及打擊資恐-法規彙編」,資料集名稱;資料集連結,法務部檢察司
「海峽兩岸共同打擊犯罪及司法互助協議」案件統計,「海峽兩岸共同打擊犯罪及司法互助協議」案件統計,72060,「海峽兩岸共同打擊犯罪及司法互助協議」截至106年10月份案件統計,資料集名稱;資料網址,法務部國際及兩岸法律司
「海峽兩岸服務貿易協議」公聽會報告,「海峽兩岸服務貿易協議」公聽會報告,14907,「海峽兩岸服務貿易協議」公聽會報告,資料集名稱;資料集連結,法務部檢察司
「炎夏『漫』活，創意說『畫』」 2019 年暑期青少年兒童犯罪預防4格漫畫徵件活動得獎者名冊,「炎夏『漫』活，創意說『畫』」 2019 年暑期青少年兒童犯罪預防四格漫畫徵件活動得獎者名冊,120824,「炎夏『漫』活，創意說『畫』」2019 年暑期青少年兒童犯罪預防四格漫畫徵件活動得獎者名冊,資料集名稱;資料集連結,法務部保護司
「炎夏『漫』活，創意說『畫』」暑期青少年兒童犯罪預防及服務利他4格漫畫徵件活動,「炎夏『漫』活，創意說『畫』」暑期青少年兒童犯罪預防及服務利他四格漫畫徵件活動,77757,少年兒童因自我控制能力薄弱，加上易受同儕影響，而衍生偏差行為或犯罪等問題，尤其在漫長的暑假期間，多數家長仍需忙於工作而無法陪伴家中就學子女，易使少年及兒童有較高機會從事不正當的休閒活動、或涉足不良場所、或因懵懂無知而不慎違法，甚至被害機率也會大增，讓青春變調。法務部基於「多一分自我保護的準備，即少一分被害危險的機會」的理念，設置「MORE法狀元-兒童及少年犯罪預防宣導網」，以有效防制兒童及少年的犯罪與被害。,資料集名稱;資料集連結,法務部保護司
「特定營業場所執行毒品防制措施辦法」資料集,「特定營業場所執行毒品防制措施辦法」資料集,90975,「特定營業場所執行毒品防制措施辦法」,資料集名稱;資料集連結,法務部檢察司
「研商重大矚目及刑事案件被害人保護聯繫機制會議」決議事項摘要,105年7月1日「研商重大矚目及刑事案件被害人保護聯繫機制會議」決議事項摘要,70598,105年7月1日「研商重大矚目及刑事案件被害人保護聯繫機制會議」決議事項摘要,資料集名稱;資料集連結,法務部檢察司
「行政院及所屬機關機構請託關說登錄查察作業要點」教學宣導資料,「行政院及所屬機關機構請託關說登錄查察作業要點」教學宣導資料,39477,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,名稱;連結,法務部廉政署
「調降民法成年年齡之民意調查報告書」,法務部「調降民法成年年齡之民意調查報告書」,120445,法務部「調降民法成年年齡之民意調查報告書」,資料集名稱;資料集連結,法務部法律事務司
