資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
原住民族之商業清冊,7107,區分各產業別之原住民族商業清冊。,Seq;DateListed;RegistrationAuthority;UnifiedBusinessNo;DateCreated;BusinessName;Region;Telephone;BusinessEvent,原住民族委員會
原住民族之公司清冊,7108,區分各產業別之原住民族公司清冊。,Seq;DateListed;RegistrationAuthority;UnifiedBusinessNo;DateCreated;BusinessName;Region;BusinessAddress;Telephone;BusinessEvent,原住民族委員會
臺灣原住民族產品拓銷據點,7109,為強化並保障原住民族產業，行政院原住民族委員會積極推動相關政策與機制，冀以設置「臺灣原住民族產品拓銷據點」，建立自有品牌及行銷通路，提升整體產業之附加價值，進而帶動原住民族創業環境發展，可作為觀光遊客購買伴手禮之參考據點。,Seq;DateListed;StoreLocations;Address;openingHours;TrafficInformation;Website,原住民族委員會
原住民大專青年學生返鄉服務人數一覽表,7110,89年至100原住民大專青年學生返鄉服務之人數統計，作為推動原民文化關懷之政策參考。,Seq;DateListed;Year;NumberOfPeople,原住民族委員會
原住民大專青年學生返鄉服務部落一覽表,7111,89年至100原住民大專青年學生返鄉服務之部落，作為推動原民文化關懷之政策參考。,Seq;DateListed;Year;Region;Village;Tribe;Ethnic;Community,原住民族委員會
100年度原住民大專學生返鄉服務工作內容,7112,100原住民大專青年學生返鄉服務之工作內容，作為推動原民文化關懷之政策參考。,Seq;DateListed;TeamName;ServicesItem,原住民族委員會
原民會歷年補助各縣市設置民族教育資源教室一覽表,7113,89年至100年原民會歷年補助各縣市結合部落自然環境及人文資源，設置民族教育資源教室之各縣市現況資料。可作為文化交流聯絡資訊。,Seq;DateListed;County;Year;Census,原住民族委員會
專為原住民族學生設置原住民族教育文化學生社團,7114,各校之專門為原住民族學生設置之原住民族教育文化相關之學生社團資料，可作為文化交流聯絡資訊。,Seq;DateListed;SchoolLevel;Important;Hometown;SchoolName;MassOrganizationName;MassOrganizationNumber,原住民族委員會
原住民勞動力參與率及失業率狀況,7115,原住民族102年原住民族勞動狀況統計資料。,Seq;DateListed;Category;Year;Census,原住民族委員會
原住民族社團或協會,7116,原住民族之社團或協會資料之聯絡據點資訊,Seq;DateListed;Name;Ethnic;Region;PostalCode;Address;Telphone,原住民族委員會
原住民族地區農特產,7117,原住民族地區之農特產資料及生產月份。可作為觀光遊客了解原鄉特產與伴手禮之資訊。,Seq;DateListed;Name;ProductionSeason;Characteristic;Region;Village;RouteName,原住民族委員會
原住民族手工藝,7118,原住民族之特色手工藝說明，包括創作者及類型與素材，可洽詢對象等資訊。,Seq;DateListed;Ethnic;Name;weight;Overview;Source;Region;Address;Telephone;FaxNumber;CreateTradition;Creator;Type;Topic;SourceMaterial;FolkandTaboo;Award;AwardType,原住民族委員會
原民特色景點,7119,原住民族鄉之值得一遊之景點資料。,Seq;DateListed;Name;Ethnic;AttractionsPresentation;Region;TravelAdvice,原住民族委員會
原民部落體驗,7120,部落特色及部落生活體驗之景點，可作為深入原鄉之旅之參考。,Seq;DateListed;Name;Ethnic;Region;Summary;TravelAdvice;DietInformation;StayInformation;ActivitiesType;ActivitiesItinerary;ActivitiesPlace;NearTravelDestination;Latitude;Longitude,原住民族委員會
部落圖書資訊站,7121,"部落圖書資訊站以培養資訊素養，消弭數位落差為目標,自民國92年起，已在全台設立56處，可作為遊客規劃深度旅遊之參考據點。",Seq;DateListed;LibraryName;EstablishedYear;County;Countryside;Address;AwardType,原住民族委員會
原住民鄉鎮衛生所通訊錄,7123,55個原住民族鄉鎮市區之衛生所相關資料，可作為居民、遊客就醫之參考據點。,Seq;DateListed;Name;Region;PostalCode;Address;Telephone,原住民族委員會
102年原住民老人日間關懷站通訊錄,7124,102年度「原住民部落老人日間關懷站計畫」設置據點一覽表。,Seq;DateListed;County;Countryside;Organizer;Name;Location;Year,原住民族委員會
102年度原住民族家庭暨婦女服務中心通訊錄,7125,102年度原住民族家庭暨婦女服務中心通訊錄。為改善原住民族家庭遭遇生活上、經濟上之困境，及提供婦女、兒童、青少年、老人等保護個案及時之照顧與關心，排除原住民族在原鄉及都會區面臨福利資訊及資源整合不足所形成的障礙，設置「原住民族家庭暨婦女服務中心」。,Seq;DateListed;Orginazer;Name;Telephone;Region;Address,原住民族委員會
99-101部落活力計畫成果,7126,參與活力部落計畫化之部落資訊。,Seq;DateListed;Tribal;Location;Access;Associations;Year,原住民族委員會
原住民就業者從事的行業－按人口特性及地區分,7127,依人口特性及地區統計原住民族從事行業的統計資料。依年齡層、教育程度、行政區、分別統計從事之行業別統計數據。,Seq;DateListed;TradePopulation;Category;Census;DuringStatistics,原住民族委員會
原鄉旅遊路線,7128,原住民族地區之旅遊規劃路線之參考。,Seq;DateListed;Name;Ethnic;Region;Access;TravelItinerary;TouristSeason;TravelDays;TravelCharacteristics;TribeInformation;ImportantRite;Greetings;AssociationPopulation;CostPerPerson;Accommodation;Group,原住民族委員會
經建處歷年補助原民產業,7129,原住民族委員會經建處歷年補助之文化創意產業之現況。,Seq;DateListed;Picture;SubsidizeItem,原住民族委員會
